ID	X	Y	cluster	func	noise	original_trajectory,,
131550	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-0.493943280784,-16.5968877879,-34.4606666471,-49.585302122,-75.0254149648,-74.4964816635,-98.7827423386,-92.2894640803,-115.217703921,-103.437681894,-115.342020676,-123.699401503,-120.482170251,-138.660686547,-140.5105558,-133.318814926,-128.339188808,-132.354382755,-146.661285577,-132.331937146	3	exponential	0.2	88000,,
131182	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	34.2583560662,-0.0172607960849,-9.53844638382,-37.5503587933,-43.3115322599,-62.0005284227,-61.4033070367,-65.2467045339,-75.9041792672,-89.0710705417,-84.4966412874,-97.3915677101,-93.5005169098,-103.086872656,-110.913475591,-95.240216802,-111.106841274,-115.194718101,-116.689804486,-117.53094149	3	exponential	0.2	88000,,
131871	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	164.730691653,133.008232221,117.788157934,104.45748993,91.8408289437,65.7407863526,60.1671843614,43.5755466266,54.9037855395,40.3847506292,29.541123765,40.0985812395,17.7219964411,19.8392817355,30.8957077714,13.2884332475,17.2326176904,27.0119237776,19.2677247417,24.2533407653	3	exponential	0.2	88000,,
129042	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	92.0473913511,67.4757115912,32.7409266687,27.7041975897,-2.36089213643,1.60024945499,-24.7012911053,-19.7357741795,-32.9293925559,-32.0631539304,-49.2173050811,-51.5319387643,-52.7209482411,-54.6379047514,-56.0913518681,-64.165965675,-57.0149989005,-60.3533613351,-60.4223811024,-51.5542424268	3	exponential	0.2	88000,,
128539	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	273.320005511,257.435554712,243.230455357,220.949475303,194.268187188,190.426623501,168.332399033,166.552366882,169.438631052,148.498860255,159.366799304,154.162903882,147.930441432,133.759165383,149.26811824,129.939775228,136.897661553,139.293591359,138.417093106,126.522023215	3	exponential	0.2	88000,,
131936	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	278.878708324,258.82762643,248.94246137,226.281211527,209.691949823,194.215350814,193.093977009,182.985306147,168.012422811,157.829831882,168.471518798,148.622265287,164.074422762,149.633376225,143.183858616,154.025535904,148.354168935,135.983483513,152.817194837,142.311201425	3	exponential	0.2	88000,,
129108	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.472420179,180.627432116,161.02791629,132.553432823,118.638196449,113.016030914,94.0153536447,84.3473327463,90.0464261266,79.5949955906,79.5590277131,60.8186221136,70.2254982925,71.7449411171,54.179797964,52.7964572837,52.5497156717,66.7261799779,56.082202421,53.2592000932	3	exponential	0.2	88000,,
130427	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.679767646,177.108665188,158.553936,129.528307939,112.501188436,105.735640736,99.5709286991,77.6242855713,72.1923200916,73.4830185351,73.2002776429,70.2915929816,62.144106858,60.5196318766,62.941554664,55.9668210892,56.4322062747,48.4807344556,59.0432825413,49.5492213015	3	exponential	0.2	88000,,
128730	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	123.533831261,104.411560149,89.2447280434,65.0921258072,56.5007058583,47.5571163036,19.8840334055,27.4095808283,21.5840445452,0.442826797395,8.93340457843,-8.42509232015,0.907863133046,-10.7852221295,-9.32948705186,-15.3050277918,-19.4736913548,-22.4578031573,-17.4684455037,-19.7667658628	3	exponential	0.2	88000,,
130436	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	37.2865186657,11.2812970087,-3.54000199271,-14.8191118446,-29.8739700899,-55.8900140005,-66.4192586027,-78.9581940078,-86.0906232132,-75.2606260933,-78.215005351,-90.0157128523,-90.2912397218,-102.118603899,-104.140086097,-110.066923689,-109.151060176,-110.215733092,-107.194512112,-103.375990484	3	exponential	0.2	88000,,
130388	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	97.4659601629,62.6702597122,47.4932367811,30.2461637973,25.5076108448,3.60221673525,6.35738600783,-1.14548154676,-26.9619082502,-30.6721684637,-23.2000656119,-23.0859422472,-42.5321526012,-44.0875362715,-31.9075232942,-44.1082203397,-39.4164212659,-48.8837230157,-42.7405925078,-37.795631343	3	exponential	0.2	88000,,
128836	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	153.199758776,127.866897132,125.250169764,89.9226393868,81.6049930842,80.5056653405,72.4499025818,60.2809716838,51.4166975992,32.1922969131,24.8468355662,35.3300472349,26.4754296877,19.2216342127,24.3238019038,18.71403487,18.8616564929,10.0220872674,18.849687264,21.2931446214	3	exponential	0.2	88000,,
129458	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	266.049827473,255.951692501,227.40031443,216.135512398,194.436058068,189.665971932,173.89258502,166.690559498,153.81871277,147.939105344,153.189144559,132.414078307,129.945976341,139.448915942,135.857456879,140.779943806,127.737271126,130.287439588,122.752545586,134.638924466	3	exponential	0.2	88000,,
128527	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.633467978,160.943208727,128.595128849,111.060034984,92.8105913239,81.3726832398,79.6157838017,64.8396919336,68.5345191705,60.4892801334,58.8453300375,44.327629899,34.2075589208,45.992175961,38.3600906539,34.1083961085,36.0391469443,28.584453231,38.1304421555,29.1628684209	3	exponential	0.2	88000,,
130084	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	10.2741500458,-12.2273311787,-28.9808797122,-67.6711432692,-73.94052957,-84.3952978053,-104.051049713,-91.8454497097,-114.148182238,-106.693821079,-123.937314588,-117.86503983,-135.26098506,-120.459330515,-137.777965838,-132.263759669,-143.506071249,-140.307319069,-128.66948667,-132.631669214	3	exponential	0.2	88000,,
128461	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	153.599234256,132.900394135,97.1332968113,80.4950204395,83.8851709271,52.4205575297,58.5042199176,45.2499971413,27.3270644277,40.6174408177,37.1917899569,24.6184667916,18.441847811,13.7317977111,23.5209719704,22.2326157361,7.78407979916,13.9177932175,15.6843410755,12.6194150174	3	exponential	0.2	88000,,
131249	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	67.0366905304,42.9111637759,8.56889764236,-6.45036568324,-17.1260528007,-36.5304002557,-39.4297493177,-45.3684487432,-65.6339777905,-54.8340436286,-66.220970056,-66.2217752463,-66.0718180719,-76.9124664061,-77.3490905697,-73.4209066163,-78.1757962047,-91.0187001114,-80.0881921303,-93.3619288541	3	exponential	0.2	88000,,
128293	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	167.712593452,132.272202521,123.809579891,104.361239183,90.3148570759,66.5857183687,61.2208984312,49.6424638211,50.0004015939,47.3866438266,38.1818284091,37.1995293759,20.9678707971,30.1676238856,20.9468648914,24.8846511312,17.9538263053,18.9609427955,18.8873145946,10.6307420052	3	exponential	0.2	88000,,
128850	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	54.0604385302,42.5835984124,13.2622279038,-15.1554497198,-26.4866148429,-24.1351091594,-46.6018092534,-48.1763127048,-54.8710480758,-69.2578719488,-76.7074515675,-60.8021904073,-65.9912150213,-82.5727669517,-87.7588743642,-76.6304375501,-78.6094864298,-80.0188388384,-79.5218889562,-81.0430760872	3	exponential	0.2	88000,,
128632	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	112.545582399,81.3844536428,74.4150680147,41.1557397206,40.3470746079,25.5720710762,9.85422948943,-0.829549381527,3.29394684742,-3.82727468816,-5.16743388156,-20.6526075969,-20.3941489187,-23.6044159543,-35.0494213148,-34.6294419787,-32.2415537517,-42.1513380464,-25.8629884601,-37.0158015262	3	exponential	0.2	88000,,
129257	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	251.100866192,226.389658172,222.797875352,189.125880583,189.246624213,170.984761632,168.847831114,152.868081539,142.554594748,127.48327345,144.182198359,124.605332309,115.99957846,128.764437914,114.050225329,129.271734748,122.911730533,124.572474756,114.532946645,110.687858956	3	exponential	0.2	88000,,
131329	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	105.192883941,65.6944792176,53.9322341239,27.8135918151,30.1234006439,16.0959475845,9.09496731465,-18.6062270884,-21.0848777366,-22.6976660044,-24.6554112432,-20.2119489175,-28.4126749247,-34.1386779048,-34.4042298734,-34.3155825664,-53.7249658691,-35.7116343619,-48.1512444871,-50.9173106357	3	exponential	0.2	88000,,
131344	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	168.486366028,132.315319474,110.154971395,107.312509627,84.0483148111,74.8297855211,69.3747702744,53.8586491261,42.8762918436,34.6504665144,26.0508231068,31.6151935552,32.8844373907,27.1797359857,18.7166410598,15.2949491899,27.964405041,14.5976691403,8.12489195074,15.5211045641	3	exponential	0.2	88000,,
