ID	X	Y	cluster	func	noise	original_trajectory,,
130897	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	282.077312362,260.333545673,236.330461256,208.813763557,190.982898815,183.773200253,169.660003404,169.341006335,162.320451392,156.276196937,158.95641131,143.346802041,146.044898134,132.58214441,130.709514571,139.675503701,138.681507865,137.136884851,122.776669577,134.48424389	3	exponential	0.2	88000,,
128130	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	111.688819928,83.6196829178,76.7641718421,52.1992468844,37.8597814349,29.686888722,7.69595352414,1.62034312623,2.40932459674,-5.60277209035,-20.0289911355,-13.5396674999,-22.0673424593,-20.0255790912,-26.5598687071,-25.656557579,-30.3296989223,-37.6339944574,-36.9961104282,-37.1933760431	3	exponential	0.2	88000,,
130501	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	110.266945664,88.4388743989,80.4986110823,52.1232147005,36.2223585146,28.2203366743,8.42715902658,6.87950898783,7.59616918504,-7.64314501404,1.51349042841,-7.9729635447,-23.900146748,-27.1288696977,-15.1802848962,-14.7389109241,-20.5527625012,-22.3274345202,-23.5536137618,-20.7733887945	3	exponential	0.2	88000,,
131998	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	131.802822608,105.352600339,75.6302231678,70.8399898229,42.3630908625,37.7016520586,18.5547924279,28.8012901369,8.0380649316,15.6319644401,3.30642939419,-6.88707888351,-1.08253437588,0.208338929286,-3.71250583113,-16.6978151931,-18.011831262,-23.2606770758,-25.6768528293,-18.1893358211	3	exponential	0.2	88000,,
130251	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	270.99203954,247.102268428,232.688918796,224.744032043,206.773870858,199.229387176,171.985848735,167.202292506,159.844221195,156.017377611,144.641061478,148.318861857,143.227692669,155.558021739,142.509131409,130.859780375,129.678710419,139.027401123,131.324136757,140.717825672	3	exponential	0.2	88000,,
128032	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.304152896,163.554445117,143.038074565,116.531558091,107.199891367,87.6815307915,83.961641137,74.3833084287,68.0323611073,68.2616443509,63.4747901779,46.7089456795,57.6293617396,52.578985179,52.6750301411,38.1189400408,45.7038006969,37.7587933135,48.7952790991,32.0550538589	3	exponential	0.2	88000,,
128367	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	173.710408984,143.754759887,108.824475186,91.16162335,96.1539795346,70.7597810992,66.2181496579,61.2551378644,44.9318067582,42.0125042018,29.4919583949,38.5171383609,35.3670791393,21.0252868858,16.1750991214,20.4108003062,24.3383993888,18.0058878253,19.5370564465,18.8671440063	3	exponential	0.2	88000,,
131020	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	66.9576571096,49.677173533,24.9707832008,6.21554978987,-16.7329666825,-24.8005904381,-41.4907084545,-39.5009212941,-43.3855571144,-60.8560054562,-54.7676874546,-54.9218029519,-63.0531040709,-76.0764180348,-60.931334701,-65.851012268,-73.8078505331,-69.3381010932,-81.6351317798,-82.7685908751	3	exponential	0.2	88000,,
131713	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	27.2559978567,1.44476509571,-25.4829678323,-31.80344517,-37.8056236055,-69.4824646288,-69.4300082532,-70.4393784229,-80.8391464021,-81.3525915849,-88.4120391954,-103.983337037,-107.68797922,-113.563117011,-116.670651976,-112.077518684,-119.193254253,-108.547402153,-122.667623709,-124.31441213	3	exponential	0.2	88000,,
131841	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	37.0629186717,10.3182540584,-8.18487010415,-45.8772463305,-59.1649076549,-56.1135009552,-71.5122140975,-86.8720954814,-85.8050267502,-99.0527435679,-96.7358550517,-107.378051005,-103.185838254,-114.097549418,-117.212333718,-119.4940518,-108.337868496,-110.533966453,-116.558081885,-123.398350069	3	exponential	0.2	88000,,
130963	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	258.165035307,230.806529605,218.430993765,196.69705812,181.850506461,169.147726996,159.843201016,151.190571751,159.484083544,143.831179066,148.232595299,135.761130944,122.854507553,139.125116487,130.311598281,134.012117586,113.366677349,125.160431426,110.488141594,117.58861089	3	exponential	0.2	88000,,
131853	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	44.6930424481,11.0379506389,-17.0931547196,-21.2512292684,-48.101969333,-39.9298258477,-53.518916038,-71.1911163745,-77.356476236,-72.8205823779,-86.2249715657,-80.4577142098,-90.2708695405,-91.3848269284,-91.4384380577,-102.776584268,-98.3174521325,-94.9070435198,-111.193312709,-106.922171252	3	exponential	0.2	88000,,
128799	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	262.810329718,247.122714819,237.135812457,199.989067617,189.393943029,180.123454647,167.501044535,172.460135153,158.065277416,159.410908433,137.060894054,144.769291444,148.812033515,137.549094188,126.35157471,133.364831846,123.265595968,135.182219361,131.909006067,133.936896436	3	exponential	0.2	88000,,
129620	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	227.620838832,197.27157234,185.814073982,151.784216081,145.633898635,140.189565034,124.933006167,116.620766418,112.699397922,104.887669676,95.2276871742,90.9927136248,98.3466760811,75.5818448196,84.287394719,73.6171640763,73.5464586059,78.8503442155,74.9186006203,82.6509147176	3	exponential	0.2	88000,,
130466	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	45.9137947619,25.7561279577,-6.99169721364,-23.3888027262,-33.8400392005,-52.6550848336,-47.055809136,-55.5424721497,-74.4942503725,-84.1645262387,-85.794682118,-76.2556097394,-87.9312178046,-93.4557417996,-85.1483263626,-93.1285670348,-107.623993092,-93.3826488274,-97.7194636047,-93.3366741662	3	exponential	0.2	88000,,
129556	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	18.2985778016,-4.72663970728,-23.917415351,-31.2301988018,-49.1768321429,-55.2893905399,-63.1248236935,-83.9619798262,-84.4385839247,-87.0056155591,-106.388086854,-113.725080909,-99.0719606502,-104.7230686,-103.283432262,-112.180170079,-105.32970262,-107.708391044,-124.406853284,-109.468935297	3	exponential	0.2	88000,,
128898	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	162.356705221,137.524126109,125.31943973,103.31046992,89.1883259832,84.6758651544,61.1668166553,59.4814128839,49.4660703592,53.8007620377,43.8727046528,42.8175127843,27.4136388535,42.4835409971,34.6593376714,37.287755543,34.7756653881,20.4765806868,17.2452886079,32.0573133115	3	exponential	0.2	88000,,
