ID	X	Y	cluster	func	noise	original_trajectory,,
130441	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	225.999868429,202.232995319,185.349224104,170.011554917,145.065600314,142.305148646,134.40245069,125.987759936,124.375592455,116.035587961,116.743795393,92.463299076,101.588809824,93.744773284,86.8330610541,96.9619238546,89.8080029418,81.1143597517,99.0449556426,85.2150511765	5	exponential	0.2	88000,,
129201	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.001221386,163.210112081,133.676750726,118.332249849,112.946899196,110.7212165,83.7128338256,81.0384495432,78.8263317445,60.4328678789,59.0149899721,65.7023938233,49.1693949929,65.1114439871,41.7329620831,51.6058135023,55.3057880319,40.4816114115,48.9192016041,40.0637235719	5	exponential	0.2	88000,,
129982	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	115.110379615,77.8875964057,78.0919900384,40.5989610322,31.3059791722,19.5475311554,11.3780052293,-5.52537467049,5.4638623454,-12.2611807009,-6.36405377005,-20.0239234254,-24.7332010667,-25.9215529235,-23.1308484979,-27.7201662996,-27.1401445417,-33.182295235,-32.0531964249,-31.9582325911	5	exponential	0.2	88000,,
130854	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	75.7226855764,52.4361356456,27.6483007424,6.05828111254,8.86566348115,-13.2256694507,-25.5294153271,-41.1062872147,-32.9199849748,-41.5411717245,-42.1606459422,-47.9233062448,-58.9153139635,-52.313268313,-59.476312544,-73.2522021496,-63.795768097,-75.9252031225,-67.0184595718,-63.5501473367	5	exponential	0.2	88000,,
131907	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	153.588232836,131.511582555,116.807192606,97.9966493909,91.3605599939,61.6544218216,64.9675605666,43.8573217745,53.5343129479,28.2528902208,41.4661192374,39.1191789359,15.6332217159,22.0610434144,13.8483802724,14.3866026606,13.3891133263,7.92830567223,3.03991009181,10.4501890101	5	exponential	0.2	88000,,
129708	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	94.8023391031,76.0203135793,61.6208663005,41.7151971237,16.509891045,2.82338441536,3.50841712823,-3.65559081239,-21.9478979631,-9.9545362675,-31.2598537148,-26.8888247549,-30.8007739082,-38.3329450138,-30.4469948401,-32.8328258563,-41.7149019039,-52.1237129077,-40.3464105589,-49.0596462511	5	exponential	0.2	88000,,
131076	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.27887525274,-5.09787505564,-27.9198049597,-42.7892687121,-62.2528275067,-87.5174457019,-88.0885416298,-104.155890406,-112.097176796,-112.157241497,-112.024987711,-116.346354539,-125.824433976,-130.361048824,-126.756087435,-131.307553727,-140.534832155,-142.494556467,-124.436237662,-124.313778668	5	exponential	0.2	88000,,
129436	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	239.000408243,225.352816266,192.951119913,186.635290275,177.32736504,162.183180172,157.18262181,143.565169756,131.702431693,132.433826526,111.369082471,111.168972802,106.252692358,118.039936154,110.673075167,99.6507009867,115.542787878,104.227891276,110.358465306,104.335001958	5	exponential	0.2	88000,,
128422	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	247.249090598,223.639896975,202.859317209,173.760294742,165.60472209,142.521497814,142.128534041,127.963912681,115.805441571,110.597714756,110.581186919,109.862371327,114.945069301,100.144563684,95.1076059324,102.801729537,102.216321722,97.9634471673,100.206411304,92.4374111295	5	exponential	0.2	88000,,
129140	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	172.812265952,153.215681132,132.767080378,126.406922777,99.2417074756,100.810735008,78.6390544992,80.4718142911,69.5516756357,55.267175385,47.1699733397,42.9610199579,51.2513069291,53.7562339021,41.214967188,50.3396221876,42.4817838779,34.1151297025,38.7538507813,36.9960105594	5	exponential	0.2	88000,,
