ID	X	Y	cluster	func	noise	original_trajectory,,
130386	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	89.9806452922,80.1203840502,56.8852634649,38.8300053313,24.9563071909,11.7616093483,-8.46207379027,-5.11962764643,-23.2853615354,-18.5469064808,-20.1104858941,-25.6218650722,-41.6073814643,-42.5897551864,-47.8354597581,-51.0026393951,-40.569845295,-45.5324946172,-48.1208911184,-51.4170784476	5	exponential	0.2	88000,,
130209	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.175549547,170.245840706,169.010777177,134.007171564,124.307660113,116.177137589,114.781961187,98.9095109316,97.6867366757,80.7589032328,78.1681178035,79.313073322,72.6481487503,70.2807399618,74.7913834989,63.1213815842,63.0380754496,63.2970276287,62.5288785755,56.6746768443	5	exponential	0.2	88000,,
131948	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	29.6569212623,11.0895926913,-25.1559207923,-27.3580143832,-50.6931852955,-56.2192587657,-67.2527824683,-84.3736220674,-89.6877518066,-90.3324060953,-103.186383334,-105.907904492,-114.912445247,-108.249994924,-102.465153776,-123.824718283,-123.156049058,-107.426010932,-121.321929744,-130.082501039	5	exponential	0.2	88000,,
130722	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	248.866967005,224.788426244,214.195285334,197.512643315,181.383336114,173.02186444,145.970247161,144.999763101,136.509669036,126.785413427,118.040599045,119.996154127,112.116397642,114.255459196,109.513310951,115.21974367,118.103424666,109.623387058,112.016378385,104.557287976	5	exponential	0.2	88000,,
129233	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.66560617664,-16.1456338898,-41.8429539569,-54.5505781714,-74.8159111117,-77.2988135344,-99.4482100476,-95.3227047575,-105.996037912,-110.822970664,-122.989220291,-128.750877502,-125.699405079,-123.055216509,-130.855894978,-139.300383213,-140.92400913,-139.315784559,-140.129312739,-132.822915342	5	exponential	0.2	88000,,
129153	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	269.525228797,242.759824567,213.840887386,207.297989435,184.143416642,174.396512255,168.795146269,164.433089133,146.686383682,136.313231604,130.136883147,132.681784894,139.4044266,120.108653939,124.70187951,119.644803471,124.192579447,118.118603194,121.142766862,113.249507322	5	exponential	0.2	88000,,
130927	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	216.781355663,194.580920083,165.681825699,142.23640879,145.790769271,121.808676387,120.181383508,110.318983978,103.872639445,87.860013473,93.6857243986,77.1317749394,69.7112825551,76.7184901042,75.1202840262,64.8593299757,63.5974272481,62.6270260791,75.4035849521,76.100796781	5	exponential	0.2	88000,,
131234	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	167.47375579,140.816465618,123.437126429,107.256791868,98.0191087883,79.0320067044,74.0617609705,64.9163823106,43.5657568989,43.7214228123,48.7422094172,31.3132786034,29.0851980166,36.7823243867,26.5090763195,24.8270418328,23.6429540308,23.6785651515,17.558315669,13.3197080788	5	exponential	0.2	88000,,
131567	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	161.588225199,149.606650033,115.86032899,96.8955516155,82.5134103817,81.8098711173,58.8265697174,70.373896442,50.0129538147,49.230919572,47.2925832067,35.3964736592,37.2283060145,41.9326051795,28.5848150378,22.6129525153,16.862008015,25.2106197822,27.5322328823,20.4086191371	5	exponential	0.2	88000,,
129498	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	34.3227940974,11.2912039541,-14.0056066567,-35.3588072388,-45.0286711804,-51.7679664368,-53.9385257171,-64.9007954626,-72.6648744533,-87.8737459385,-81.5259805452,-89.3405067906,-104.035100805,-89.3191299826,-103.522409756,-103.747189304,-95.1402854838,-113.501401258,-118.38936435,-118.662546749	5	exponential	0.2	88000,,
