ID	X	Y	cluster	func	noise	original_trajectory,,
96177	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	56.3024573165,31.0174028458,9.80522659678,-8.61614975019,-25.0634462183,-35.5398206995,-46.7961212912,-52.7502083961,-59.1516286098,-66.8537282852,-71.1570846906,-74.9603681277,-78.6590293952,-80.2794093739,-82.6032236503,-87.7317592378,-87.63436424,-89.5944020322,-88.4542085995,-91.0461640271	2	exponential	0.04	88000,,
97947	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.9886511148,16.7746577969,-2.62786371979,-20.6959440846,-33.5855325191,-48.5849086027,-57.8819764194,-67.1357407573,-71.680913723,-80.3364971493,-83.0434181173,-88.8071212041,-90.8020861226,-92.1659130607,-96.207098714,-98.8297814045,-100.565858593,-101.324914969,-104.144739981,-100.891449742	2	exponential	0.04	88000,,
98488	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	224.036958493,195.843102378,176.531596084,161.356962576,145.691581163,131.846757472,123.347347793,113.498880386,107.67914673,100.709690205,95.2345970236,91.1913370712,87.6796081552,85.8918124711,82.8638754262,81.9389866979,79.3984450651,78.1347244537,77.266952786,77.2184516143	2	exponential	0.04	88000,,
98396	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	25.1603247334,-1.27457259731,-19.5385761892,-37.662860191,-54.2175593277,-63.3781037003,-74.5572944927,-80.9390876529,-89.1299068002,-95.4021552021,-99.3681325085,-104.247798696,-106.001027593,-112.796612395,-114.631147151,-116.265717057,-118.278735648,-118.197126245,-117.219409966,-118.369583121	2	exponential	0.04	88000,,
97664	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	219.558014644,194.993521033,176.129451811,158.413030633,142.115266856,132.50185799,118.989353353,112.021663061,106.597666511,98.0344061844,94.843558647,88.4476821397,86.1978968019,86.1286737567,80.3440480406,80.4888575781,79.7463807644,78.2636287322,73.746248037,76.2161327669	2	exponential	0.04	88000,,
98286	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	103.680754712,79.8469618658,57.3454648198,40.6032397168,27.6900909173,13.3300508923,4.85951568044,-2.21296010492,-12.8269225993,-17.3822665518,-21.5583618178,-26.9267551371,-30.7959339776,-30.5199451068,-33.6858344216,-36.7444085597,-35.9599397405,-37.1140417153,-38.3350581977,-43.2918834169	2	exponential	0.04	88000,,
98360	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	190.715342541,165.772468702,144.069757055,126.089570642,109.215040031,97.4079380028,87.5869781391,79.364085303,73.7354203648,66.7125887364,63.4112151103,60.0798799506,55.2113589065,54.3299597694,52.148228333,50.4343811913,45.513344674,45.6792181165,46.0075051455,43.4622014708	2	exponential	0.04	88000,,
96898	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	58.5373526625,34.0423687756,15.0352258525,-4.50715933698,-19.4103687604,-31.500932561,-42.002029747,-50.0087712669,-55.9524940097,-61.7929021475,-68.2052802867,-69.7451977038,-73.4915032789,-77.9338825238,-77.5003528089,-79.6833183979,-83.2317016949,-83.575053937,-87.1419541577,-86.0854352586	2	exponential	0.04	88000,,
98232	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	251.563553769,227.961479718,207.185828028,191.336414611,176.082808143,163.461816771,150.829967272,143.215351915,138.941258335,130.21602668,128.634431175,121.31423965,117.512750237,114.951073597,113.784628897,113.806064626,109.391723356,107.579885577,109.067090917,105.579077628	2	exponential	0.04	88000,,
96308	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	100.210994978,76.7422033178,53.5412951748,35.717920807,23.8062092078,11.8291872147,-1.07173113345,-9.25371616687,-16.0007816288,-23.2625196293,-27.3590513133,-27.9254300245,-31.7107730643,-37.1114335269,-38.7018747666,-42.5732677966,-43.7125243166,-43.1609538743,-43.4060553732,-43.9368997869	2	exponential	0.04	88000,,
98822	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	239.578243433,214.741544959,192.518864882,176.514961447,163.653807177,148.364695021,139.291014395,130.715149848,126.429248867,119.462319033,113.504054138,110.050368318,106.478180325,104.721413325,102.302264789,97.5456419549,98.0970547266,94.4516647324,96.4011854278,93.5812914132	2	exponential	0.04	88000,,
