ID	X	Y	cluster	func	noise	original_trajectory,,
105703	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.748393291,181.669138888,158.589436052,144.821631387,130.239640492,118.306993256,109.813193043,101.797580482,94.7414821836,81.3040854605,78.9058318305,73.6735679369,71.3987207061,68.0906444407,68.7195825465,64.7018368618,61.5012156623,64.2664409093,64.6168457796,56.79316549	1	exponential	0.08	88000,,
107070	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	217.601173519,190.418850714,169.021442199,153.704975893,138.303749491,130.565583221,116.268086149,104.703312983,104.255999861,92.4114803859,93.5998252619,82.4509653172,80.5197904419,84.3365327306,78.7224962226,79.1653204844,73.0034454574,73.7788322483,69.4513425413,70.9003438619	1	exponential	0.08	88000,,
104428	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	225.08167828,203.416003395,179.584649997,160.902596659,152.950002781,137.324208834,126.128092974,116.844848547,112.4679531,107.190809369,98.4024094294,97.4082286107,91.7492423817,88.2466061424,92.3272841276,84.1518141615,82.2159253511,80.6853287776,83.9073438498,82.6403111429	1	exponential	0.08	88000,,
105880	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	14.8386131255,-11.6005014525,-26.5470554236,-41.4884701463,-62.119730842,-73.6409977609,-79.5390392141,-93.3696445026,-95.5259983464,-104.729058315,-105.213720095,-112.391635365,-113.113151485,-121.705390853,-118.341351174,-118.901170458,-126.569323426,-126.558554461,-129.184772318,-131.227490544	1	exponential	0.08	88000,,
105526	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	47.6212317501,26.499790652,4.71871823524,-13.6103542628,-25.8778058126,-44.493804969,-50.9520651821,-59.2732885523,-64.0290322045,-72.3132767082,-76.2200419056,-81.7525798594,-81.4033696167,-92.2688151665,-92.4478747631,-91.4921185521,-94.5407654396,-95.3176648577,-99.5923604536,-101.52393252	1	exponential	0.08	88000,,
106209	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.576390715,180.032964404,158.402078959,144.611282514,126.433733783,118.518192276,102.718405343,97.9510776032,91.3518979774,88.0209188171,75.8916880423,72.1998880583,69.0963437579,71.2469563613,66.826492216,69.378062587,62.6259922548,64.4996686431,58.7139233261,59.2368158083	1	exponential	0.08	88000,,
105276	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	260.237933466,232.010786362,214.84767422,200.631816134,179.986382191,172.560869174,159.107307226,147.639206876,141.422549099,138.500393832,136.889032223,127.671660035,123.638763016,125.170841204,122.902452454,119.793404953,115.015959047,114.71069947,114.152131095,111.830069197	1	exponential	0.08	88000,,
107217	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	228.738127923,208.635267677,185.079267848,167.79404099,149.881573388,145.261823706,135.765822394,118.990744604,119.986887753,109.869386866,109.305979061,105.840163289,98.4676071674,94.4755375762,95.7000429765,92.249135774,85.9630804795,84.5736590964,85.0697801417,87.4365863562	1	exponential	0.08	88000,,
107144	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	134.932898721,113.664336006,95.8459858843,73.5298971365,58.8307952105,44.1392285399,39.0368335121,29.2052927263,24.9650410978,19.4356994117,15.5887513373,3.38458465483,6.67229036346,2.67238924146,-3.6591886069,0.765226640819,-7.5770902058,-9.83060722705,-5.55599787858,-10.9307798085	1	exponential	0.08	88000,,
106438	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	60.288691599,33.7367438895,12.0996960278,-5.8422324103,-16.060411523,-30.1879760975,-40.3628094319,-51.3965747496,-57.5107252195,-63.8242070343,-65.4369893643,-75.2113988264,-77.4059272835,-81.349443065,-76.8576033964,-79.7253254901,-84.3615132593,-83.3755104521,-84.2149932815,-86.4802186887	1	exponential	0.08	88000,,
