ID	X	Y	cluster	func	noise	original_trajectory,,
105830	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	23.6084590814,6.42549843529,-21.7007337205,-39.5753123931,-50.5917265441,-65.5214151219,-75.1723357024,-77.0015137013,-84.0625843981,-96.7798133419,-95.2782430707,-103.021133308,-104.336095934,-106.975891453,-113.670139701,-108.934537975,-116.415233636,-116.984712665,-117.338793363,-119.482773448	0	exponential	0.08	88000,,
104906	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	218.459448133,191.102329657,165.44257989,148.723036545,133.512351552,122.450848342,113.852008754,102.083332951,102.489757101,93.3335517254,86.8520370534,81.7187891129,78.4624761764,81.2029018121,80.246977538,70.7764669658,75.0586613026,68.8887013026,67.4954201553,66.4165728134	0	exponential	0.08	88000,,
104083	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	102.778431241,76.7628925573,58.6389444601,40.4685644859,23.3815599694,14.1080104379,5.3810842147,-6.598810743,-7.25012575384,-15.0076246934,-21.7179302616,-20.9028737376,-30.8883785003,-27.5525373263,-31.8784979666,-39.5383374668,-34.6959231065,-39.5505961059,-37.2456594024,-38.0769882277	0	exponential	0.08	88000,,
106105	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	110.1697427,90.4238645911,68.4912920086,50.8876543032,37.6639441197,21.4788679147,17.0428116334,9.6262677138,-4.54269447407,-8.49551268648,-16.3097731735,-17.6352078721,-23.7520758022,-18.7864899319,-26.5725759283,-23.6663428382,-31.362152514,-27.4888480593,-32.4495847037,-34.9891604151	0	exponential	0.08	88000,,
107008	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	10.5243850722,-9.57797199282,-33.3210433016,-54.1532344838,-64.8280708414,-79.6104178474,-88.5123661256,-98.8396376145,-104.978619159,-112.508664124,-116.142759532,-116.35868154,-122.475773799,-119.92965154,-125.235725138,-130.252636263,-130.410658167,-133.106251574,-128.541253368,-132.227458888	0	exponential	0.08	88000,,
106622	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	102.408952636,80.9245889577,62.0635201002,39.72103467,24.4861833483,15.656027709,3.02778497831,-4.96856196693,-10.2104480613,-16.3478843059,-16.5882099515,-19.6404605753,-30.9410653696,-28.0411250375,-30.8300147598,-37.8361410919,-31.1465620463,-34.7575646222,-40.7598104012,-42.8440728669	0	exponential	0.08	88000,,
105822	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	8.18488880122,-21.2587632518,-42.5628721897,-57.4477028782,-76.1682482624,-81.2027682956,-95.0679530569,-104.482277804,-108.288007925,-115.200004142,-123.241681719,-121.749807337,-128.262354444,-126.828985166,-135.862852216,-134.865219647,-137.480314338,-139.418144105,-137.23238881,-136.311537794	0	exponential	0.08	88000,,
104291	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	53.3978322115,33.0038379339,11.3647560592,-12.43373702,-21.5976324051,-32.7894816384,-48.0090124193,-58.6362151613,-62.9973242781,-64.4276430226,-69.4472447994,-77.6247180632,-76.2424275263,-81.1109817668,-85.385551628,-85.7141796399,-85.4979790413,-91.5246354377,-89.750271174,-90.4003213468	0	exponential	0.08	88000,,
106374	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	107.194755384,80.4418413015,60.1139633328,47.4304644848,33.3123810675,19.6786159031,9.82844477484,-0.975158235994,-3.31032862001,-11.5931554466,-20.5953440675,-18.9584201942,-22.8680305155,-29.8686892404,-26.8713330856,-27.5235494146,-29.2734096023,-32.5191599877,-36.6106279593,-34.0501074365	0	exponential	0.08	88000,,
107891	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	121.311818927,94.2979091764,68.7707030627,56.2841478303,37.3922355288,32.6910978998,18.3954029404,13.288908602,2.9053582333,1.48928787229,-10.5904600845,-13.8841560142,-10.3140950359,-18.9226114611,-16.4376334426,-17.8870181661,-24.0344958741,-23.3641201732,-22.6978485139,-25.5077464274	0	exponential	0.08	88000,,
