ID	X	Y	cluster	func	noise	original_trajectory,,
114759	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	34.7639027037,-0.0379798644828,-10.9527134156,-35.1567372105,-50.9681789237,-55.2199573675,-73.3454098117,-79.2651204206,-84.2080553386,-86.2152079632,-93.7671044217,-104.846275148,-101.163844473,-110.365592389,-109.264202033,-111.264249598,-113.556031025,-114.368380348,-110.550805516,-109.903600237	4	exponential	0.12	88000,,
115288	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	13.4701916802,-18.052737585,-40.1063185551,-61.4915915518,-76.0969714581,-81.8603173173,-95.1734562803,-98.7082966302,-106.738841394,-118.519318324,-116.815279522,-125.069909876,-129.304038984,-127.283609586,-126.937805502,-138.680209414,-136.998648065,-135.197567158,-135.2335095,-133.191420871	4	exponential	0.12	88000,,
115079	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	101.37403196,75.0742603294,56.3537842604,38.4673202282,22.7480039828,12.906149785,7.41992995701,-9.41697928109,-10.4712553684,-16.4947448384,-17.2375308446,-28.1677274393,-30.7691656286,-26.5497196103,-32.6153924052,-38.7281527695,-35.2485911398,-43.614216554,-40.6056282536,-37.4330493286	4	exponential	0.12	88000,,
113413	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	104.371757508,78.5741630831,62.397090782,44.9139027051,30.2315119938,24.4370240961,4.09439283588,4.69857162347,-12.286331379,-18.4936570199,-23.6014914053,-24.9283150747,-18.690492081,-25.4652261686,-33.3756570014,-29.0575833849,-27.7135822519,-35.9703786217,-41.5755506175,-31.9265713831	4	exponential	0.12	88000,,
115007	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	48.9626354979,18.6327392267,-4.55827974469,-21.383333332,-39.9373897128,-42.402375146,-58.0181156778,-61.7603157325,-67.7329958543,-77.7569836088,-85.4936228367,-87.1907660926,-86.1114147244,-93.4113521523,-89.795116444,-100.980761343,-95.3424718682,-95.2523963795,-97.8851414198,-104.628614989	4	exponential	0.12	88000,,
112095	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	53.1447871419,39.6780482281,17.3607985495,-8.79406497511,-18.8869117235,-34.6206795011,-47.0324889988,-50.3029041546,-61.2274949739,-61.2569366848,-66.5051078549,-65.6123083831,-80.078054496,-74.0686694062,-82.4547108865,-82.4745437445,-77.9266560256,-84.311608238,-90.9369778887,-80.1041490344	4	exponential	0.12	88000,,
114624	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	30.3723427386,13.2174580133,-13.847947936,-28.0921793745,-44.3391725791,-60.8283679062,-72.6921531125,-79.9531561757,-85.2891658872,-91.6519231786,-95.4573294223,-96.1571960692,-95.3131896548,-104.246838548,-109.02645294,-105.826476067,-114.249600157,-113.358892112,-117.344932129,-117.094328687	4	exponential	0.12	88000,,
113070	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	201.856232473,185.157170844,158.414701246,141.966168016,122.661627045,114.846727017,100.901675569,97.9854916064,83.6782835612,84.9806811917,79.5115517894,79.3710698664,65.1813406648,65.2617553798,65.5337272655,59.4307675368,59.3967015281,63.1393583046,56.7023680974,64.8273531469	4	exponential	0.12	88000,,
115698	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	46.7849583184,29.5423598488,1.42039469063,-8.68220785513,-25.997410739,-40.469380048,-51.6775854322,-65.9553769649,-61.2406322008,-70.7340039339,-71.0875473412,-76.8221474408,-81.7844246579,-89.4183820476,-92.36472916,-91.5965251556,-91.6316136124,-88.9436246111,-90.8266175452,-97.1003548971	4	exponential	0.12	88000,,
113059	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	49.1878207632,23.5691161837,2.99672886827,-9.06015832833,-26.4881845649,-35.9206434958,-42.5631992208,-52.7266330818,-57.1766279218,-62.5981987235,-71.8161951768,-75.7932554453,-75.6752965155,-84.8833697203,-91.7237699081,-88.2452746704,-85.7584949688,-85.5544355109,-95.3429770793,-89.3611272957	4	exponential	0.12	88000,,
