ID	X	Y	cluster	func	noise	original_trajectory,,
121736	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	227.209782154,194.743059037,179.246455561,162.017741323,151.159823147,141.04081854,117.203334465,118.674661417,116.517625922,100.210593296,94.6935509932,98.8310205501,94.5177059998,83.0286038482,93.3632287278,79.3877267442,76.3717829474,80.2650179933,88.6238370701,76.1265758658	3	exponential	0.16	88000,,
123190	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	129.464264502,102.689133979,91.0547308798,69.2703427056,60.029882551,36.9992725248,30.6476828286,22.0021055742,21.6521820087,11.9275356596,1.06185352053,-0.229684863649,5.65416138007,0.57388115072,-0.103118002437,-10.074808879,-15.7052359429,-1.63861568345,-15.8669519898,-15.3881181924	3	exponential	0.16	88000,,
122658	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	252.964082694,219.818048758,198.73992254,182.384274524,180.406201752,155.776536029,143.784636964,149.386945759,136.740920803,133.206170868,129.507384244,115.804303741,110.567046222,117.938134512,105.342336512,111.611546731,110.435701364,106.739899885,103.317547265,101.221033649	3	exponential	0.16	88000,,
122006	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	165.61528685,134.486761147,116.383197399,104.878400878,77.9670309609,75.4056128546,69.2664046856,61.1591747202,43.5537395926,43.1382714629,42.7532361602,31.9917792402,20.8883281839,23.9467195905,17.4623900758,20.0666086552,24.5647513075,13.869333043,18.8536203534,22.8937444685	3	exponential	0.16	88000,,
122299	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	85.9785418709,72.2121349314,41.6411164566,32.3447980739,12.9526364624,6.88936680887,-12.5767414953,-18.8152872744,-25.3308127138,-30.174907025,-39.6580021326,-43.5176796339,-44.3978651126,-39.4486831564,-35.5475776854,-44.2036064495,-52.1336829331,-49.733832692,-58.4898799073,-43.772820858	3	exponential	0.16	88000,,
122561	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	237.994294065,206.099764461,191.096326754,169.937121718,162.578944827,146.31590832,143.417177199,118.826025059,114.054631254,107.825935418,111.983639132,108.494202258,109.958114851,99.63499626,100.564636585,89.0179741733,97.161080846,88.9289401913,85.3650991338,97.4347189755	3	exponential	0.16	88000,,
121406	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	24.1271121874,8.02614597105,-12.6708197577,-37.5622117909,-53.2338670873,-67.8361533782,-67.5243956413,-87.6057714603,-85.7585604474,-101.793881962,-92.8954483695,-109.558356321,-110.369620207,-114.607635717,-121.763135472,-118.566980233,-110.482965263,-119.581737783,-112.242808994,-128.482000583	3	exponential	0.16	88000,,
122704	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	234.743522897,225.448218735,204.90309025,176.217720368,158.92987728,156.690865576,138.297057826,129.173984404,127.242017957,125.495258126,120.443848589,120.169867607,107.457715598,101.852148674,100.027272033,109.145286196,105.806541475,102.9056023,100.362586632,96.3202298759	3	exponential	0.16	88000,,
120510	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	242.153908004,215.432058405,188.928552594,168.67270131,166.47188697,140.00117593,132.989276034,130.945775395,130.782259564,119.541060734,119.618885049,105.795696262,112.580931826,93.3022642824,101.114292964,90.5628750205,87.0625362447,91.5716387603,93.2794800456,92.0200336709	3	exponential	0.16	88000,,
123935	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	121.516486052,99.0339627017,84.655073153,66.5430386937,56.6232809445,36.5091002563,26.9223611976,11.8567539186,12.0256712558,6.83869359377,-1.51843159195,-4.87208152843,-10.803361684,-2.42112535675,-7.15237758064,-12.4982808739,-8.1631624446,-8.5350335628,-15.8996004461,-16.6162312428	3	exponential	0.16	88000,,
