ID	X	Y	cluster	func	noise	original_trajectory,,
129279	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	212.942243092,208.354815106,184.483283895,168.071844464,153.905635016,132.006097692,133.716484238,119.312518996,108.659861641,101.747549184,94.311914445,84.8215475329,87.6630378331,91.0796243643,83.0933034351,77.5448309559,91.5961081922,75.6583910039,76.6710658498,80.5994320838	3	exponential	0.2	88000,,
128191	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	229.939527722,193.378785521,181.689217244,158.350417518,151.560858533,128.909466052,118.860045348,120.861371303,109.388908062,108.698385643,89.2690120098,101.732408331,96.9252187478,94.5748235875,95.2513312248,93.0806974908,80.0130291428,89.956791123,85.3730290506,82.8426519901	3	exponential	0.2	88000,,
129716	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	25.0119047618,-19.5864220883,-28.3529349515,-47.3043207043,-61.022063463,-84.4566676203,-76.1213922512,-103.55268488,-99.1130293176,-113.639903808,-116.893372389,-108.322946153,-120.4055213,-120.087910849,-127.711264134,-136.071226687,-123.048323274,-130.058859538,-131.702908071,-134.032270421	3	exponential	0.2	88000,,
130798	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	117.552410678,100.609465957,86.4966528116,68.1203702332,50.4946837581,42.3143466837,27.8234991031,21.5548677218,16.3013421926,-2.14757376301,2.56431896185,-0.156641657751,0.74682795911,-14.7080264338,-12.43031879,-19.0722082325,-22.3981568508,-22.8781934388,-26.3690348151,-9.86414919095	3	exponential	0.2	88000,,
131684	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	260.298658567,244.607747945,218.398600386,208.425389073,195.419089908,178.064790279,156.307117611,163.15905175,146.546231873,140.126886065,143.688528884,130.774526143,139.881065857,122.917474773,132.316533408,124.840774715,117.156225206,129.146174797,124.26187899,118.306531828	3	exponential	0.2	88000,,
131804	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	67.4284700683,24.0501529355,12.2307396262,-7.59892486519,-24.7446190347,-28.0442389523,-30.2167370823,-51.8802350233,-48.8307575159,-54.3217503628,-58.433346484,-66.6832571631,-85.1236752249,-71.2489098833,-68.9833163301,-71.5331176992,-79.9778395635,-90.1012615078,-91.4060505759,-92.0123045037	3	exponential	0.2	88000,,
131411	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.254344041,157.481863667,143.777333977,128.120744276,103.383918396,89.0680341361,76.7236068524,86.8280595109,60.3670753899,61.4922135991,70.1864614922,66.3747560375,47.5755550194,46.089788624,57.4876893487,35.9192644313,37.2675998439,53.4281795783,45.0595121814,31.071837658	3	exponential	0.2	88000,,
131751	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.2274736351,8.74300340698,-6.81287518096,-23.8951547131,-47.6741583309,-56.9463677599,-76.8313816134,-80.8802211773,-89.8970681523,-81.9745643296,-97.2099384276,-100.277784815,-90.9276458913,-95.1788661598,-100.545268792,-114.426774508,-104.396228388,-101.700555571,-104.159794886,-110.545297081	3	exponential	0.2	88000,,
130372	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.543337378,179.476813659,166.873006127,146.588316076,130.091117734,125.498008154,107.942979828,98.1281524031,97.577404713,90.4516689337,87.1924303021,83.6871675283,63.605848553,80.8793340986,76.4710965289,64.2139869076,64.8675934132,67.3589901007,62.456380504,58.8424107406	3	exponential	0.2	88000,,
128726	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	32.9369018894,14.6960503332,-3.01202631963,-22.49695647,-42.7124067894,-52.7345040926,-71.011076676,-78.2456286312,-90.7952813644,-90.0928733068,-89.7204000714,-104.219894241,-108.42626428,-96.7452025724,-113.010947571,-113.888751325,-110.619790448,-104.857225369,-101.667182576,-122.852408203	3	exponential	0.2	88000,,
131262	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	54.4971071731,22.5560154485,12.9661831041,-3.28449892873,-16.9713014681,-28.2097582778,-50.1221041791,-58.1620742129,-52.2085176295,-55.3877876818,-76.7023549363,-68.6966425092,-88.895960096,-81.3765079978,-73.4955926033,-88.624388796,-82.4922138656,-81.1948949535,-81.2192937588,-97.8816693906	3	exponential	0.2	88000,,
130042	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	85.4202639732,69.8697849392,50.9082287667,32.5702246951,13.4174060006,-8.9593716069,-18.7117672398,-17.311465204,-29.9775740706,-33.705992263,-37.6083778118,-38.7646422404,-41.7019766073,-54.6173290384,-58.5185443509,-41.0578483833,-52.8421206858,-57.5469118906,-57.7099861129,-55.9266776882	3	exponential	0.2	88000,,
129684	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	83.9255279488,58.1681520165,28.2376043829,6.50380624579,-8.91380026014,-4.35277454127,-15.1710745107,-33.677553257,-40.1349136704,-49.016650721,-50.1232649619,-41.0006022555,-48.8174538412,-46.2128382049,-56.5325416938,-66.9337089711,-52.2041337673,-69.6253421804,-55.2497368879,-58.5698569801	3	exponential	0.2	88000,,
130359	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.38210229,204.908557101,179.271960205,159.151391275,147.238009621,129.853112566,112.072083567,118.816521897,114.39707115,94.9371200928,85.2992527686,100.105141575,86.3198235098,80.7284817459,76.4161784083,74.4281907166,89.1677997354,84.9978255472,86.270237332,72.355735845	3	exponential	0.2	88000,,
131043	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	257.095272093,233.567643497,218.083105456,183.768543658,176.683180793,168.867794474,156.206567138,152.926228403,152.736221565,146.290316956,123.48706104,124.999760651,115.713834471,112.12204248,125.613451865,126.541147005,111.63395856,114.853203159,113.515101952,104.332549404	3	exponential	0.2	88000,,
128320	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	264.570342879,253.454326099,219.800243411,209.667081571,200.367592685,188.700941902,165.020666624,170.019652144,155.207689794,154.745248541,134.669291951,148.124300924,135.194845441,126.626499448,134.729196175,119.753391678,119.932604182,122.477781363,132.491972646,115.059700127	3	exponential	0.2	88000,,
129862	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	11.5796808243,-16.6213012681,-39.0688188808,-60.977527272,-61.3500434509,-86.3781900293,-92.4411639901,-103.342719544,-111.221888163,-113.040243332,-110.265762989,-126.954590407,-115.03966127,-129.822004761,-128.407831733,-124.374686457,-122.417839319,-139.626299349,-124.026998652,-126.833566189	3	exponential	0.2	88000,,
129395	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	130.579469054,103.672569586,76.9813776678,66.0120603575,52.6440113839,44.5394510478,30.063187402,21.0546441727,4.47314821918,17.0226981629,7.10304900929,-9.14760970953,-7.55643468945,-6.77276139782,2.43544486485,-2.58449817134,-10.1689982939,-14.7254983517,-3.17078396511,-11.5413339342	3	exponential	0.2	88000,,
129260	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	291.727942833,254.774706891,248.343376925,224.423159839,198.233940081,190.262622951,175.129878648,173.457256583,170.275168054,173.029065436,164.328530571,145.754700239,142.303613936,148.888466791,155.629989821,147.545816571,143.976619372,145.418506648,136.311907015,133.46085461	3	exponential	0.2	88000,,
128060	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	237.540841068,218.75066027,198.33694135,173.370487744,166.172198746,144.870619811,146.28687389,123.067240688,135.105936136,125.897645564,125.071484188,103.865672765,108.650428174,111.376786642,100.857586436,101.441834978,89.6898894445,89.0202446573,97.6579707187,85.9073565648	3	exponential	0.2	88000,,
131384	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	254.630524787,221.764146671,195.186573357,172.374620824,162.814448717,146.117082465,138.568700153,127.192234531,135.330339464,124.924690059,121.614975772,110.437083744,117.893424848,100.081687841,114.750579675,96.5694004253,99.3210389973,95.1669397105,91.2479893341,104.019119796	3	exponential	0.2	88000,,
128203	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	59.6270450955,36.1311725865,24.2186722562,-1.87983106178,-5.76937627915,-24.022594711,-33.9444348752,-40.2184801063,-51.4555700949,-48.7698840054,-57.8566121568,-65.5476338255,-68.1291544869,-66.6285229862,-63.0125299683,-65.115721942,-81.1354121465,-79.6689486586,-85.1835593128,-78.400213245	3	exponential	0.2	88000,,
