ID	X	Y	cluster	func	noise	original_trajectory
112213	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	266.096807004,240.792514031,223.298709688,204.723735179,188.625771673,181.687370207,177.345374187,159.546183208,153.065146791,152.611590064,150.052324532,143.1675777,134.248554358,135.958422098,129.318673169,125.292008243,130.359668834,131.793640289,125.726241151,128.62640507	B	exponential	0.12	88000
112854	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	107.262599274,79.7259429551,59.4836898882,46.0402977608,22.5390535194,15.1569000232,6.26494043412,-5.99617469609,-9.37858979319,-10.7328839874,-27.6941170536,-28.4774438782,-34.086077101,-27.788567561,-35.6569935648,-34.3806125157,-37.7981624157,-42.3494669856,-46.4181163253,-46.6526252698	A	exponential	0.12	88000
112112	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	263.610657406,240.101341995,224.953414991,204.818520378,188.694144674,175.367497907,171.065920412,165.191700091,156.776528908,148.990700434,144.394615611,138.3034768,131.42131113,131.187441599,133.798334493,128.521978958,132.064544114,119.716542917,123.760795272,129.50642759	B	exponential	0.12	88000
114031	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.077903437,177.435752888,155.423428822,138.225557752,124.172966649,108.459051745,101.807639326,91.0458353566,86.6045511499,80.859685778,80.8194731791,67.9251248324,62.9134576903,64.2672642855,66.7660838341,63.277440786,62.9695771116,65.1826270759,63.7296378204,54.2069693998	B	exponential	0.12	88000
113992	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	234.375593738,211.064766752,196.158485931,180.249791637,166.758164673,143.959131448,142.245531203,133.915547782,124.575043217,122.62259982,113.505428096,102.734648835,110.176154768,101.031361737,101.143511587,103.442191741,92.8943886208,93.3196123922,95.372520285,95.239850361	B	exponential	0.12	88000
115399	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	145.182925816,114.358977309,95.5995461941,82.0679001338,59.1669094083,49.4353549127,43.217653399,31.862864338,23.8122805103,18.9360242485,21.1001828237,11.980546952,7.68012249036,9.19498432614,-2.43969598123,0.021126360803,-4.94702830219,1.03015713057,-0.525399128536,-10.4241946416	A	exponential	0.12	88000
112359	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	36.1872907301,7.24839818748,-9.29140240602,-29.07157702,-41.6442038979,-56.3518085138,-59.7775763947,-75.7316960971,-74.6790480232,-81.6328180174,-90.8707813103,-89.3385230746,-101.012737199,-95.0560982533,-107.698550505,-107.056353019,-110.554602111,-104.620130535,-110.361805546,-106.847936954	F	exponential	0.12	88000
115512	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	21.6276841527,-9.59026480004,-28.1953305927,-47.2025572584,-61.8887483604,-70.8205716649,-79.47566779,-84.013846273,-94.5454796821,-98.0275639426,-102.787770416,-110.313138383,-112.195506145,-120.394808075,-117.296726227,-126.247176304,-124.596894047,-118.198599919,-122.285101182,-120.514305115	F	exponential	0.12	88000
114331	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	164.336291137,136.977306165,116.488869072,96.5460562684,87.3444999525,73.5668225842,69.0819740948,56.9265752582,49.9255048785,41.1449457253,40.4572638128,34.3853104134,31.5346816207,33.6581067839,25.6989539849,27.9396919154,18.3893086663,20.3930115393,19.6206573736,18.0083783859	A	exponential	0.12	88000
112967	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	104.955672816,82.907297296,52.3734540347,43.4899653984,30.7229043344,14.0402582319,7.18459396553,-3.38657205196,-9.35446116874,-23.4580650179,-21.2973854486,-29.4745991989,-29.8400696764,-40.304092505,-38.293466619,-42.7839189677,-39.6663081513,-41.1111251936,-41.2207523163,-44.6564658904	A	exponential	0.12	88000
114095	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	100.94977614,77.0912176822,62.5305741103,47.0432711892,29.473470301,10.7857466119,7.68866317544,0.208243613088,-7.12287764141,-16.1796375336,-16.3766426069,-21.2780185678,-28.3900494349,-34.5897106787,-30.8049571664,-38.5971734933,-39.1597408988,-34.0432267153,-39.0650573377,-38.2878479568	A	exponential	0.12	88000
115419	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	104.37876341,87.947875429,60.1014338192,39.8937167849,33.2943488665,20.6385529366,6.56226868286,3.54269444595,-7.93799794366,-17.3680707089,-21.7311160045,-24.1652501764,-20.9124108542,-33.9552228604,-35.4135856345,-30.449669702,-35.9236498925,-37.872600335,-35.1054060614,-35.1244628058	A	exponential	0.12	88000
115509	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	27.3040094066,-1.65201060089,-18.9750735293,-42.7846856029,-57.4814197006,-70.308552929,-78.7265062774,-84.529775323,-97.6962815887,-95.7133037586,-105.350114684,-111.142084809,-112.357950201,-109.323896957,-111.16089643,-124.246954946,-115.182139453,-121.818905114,-121.893572797,-130.140817371	F	exponential	0.12	88000
114516	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	247.928335317,228.366612452,202.063515888,181.983398661,169.677515794,153.800580253,146.794263483,146.400880715,138.952007997,132.911937323,119.711152251,125.45539433,111.965676223,109.720441083,111.930935655,102.572751729,108.653089405,107.427924526,108.104720326,105.264102946	B	exponential	0.12	88000
112998	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.070382324,161.975555124,146.883075906,126.161683562,109.223984217,95.7984622898,94.5375689847,87.1816889095,77.9238386377,64.845065504,65.8145076417,56.4207690168,61.3060258709,49.7423399739,49.3146531207,49.3043629724,52.8396641304,42.4769549047,41.3748950366,44.9094359307	B	exponential	0.12	88000
115886	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.9040645605,-4.60528680718,-31.0631336845,-45.1408975929,-64.1872087016,-68.9859937783,-79.202700179,-87.5956366845,-102.570552952,-104.833941207,-109.105023709,-115.499517546,-119.211568598,-115.722673391,-127.147407217,-129.010232555,-124.468891434,-120.791754216,-128.604365123,-133.10596506	F	exponential	0.12	88000
112289	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	135.7496845,107.757775719,92.4552421203,70.9592120641,64.6856808243,47.4436446383,39.3146682457,23.6054431595,18.0740269799,11.1945646088,9.06569550199,5.52690372888,-0.848836096861,5.01974472031,1.65031090592,-8.25608540162,-0.95020492472,0.997671651768,-6.16626791422,-4.67421435401	A	exponential	0.12	88000
113875	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	247.567450066,222.070550942,208.932682714,184.841645736,175.856903256,163.23877149,153.634235444,147.457935634,135.176959281,129.89139914,128.104277045,114.448213789,115.994726234,110.467517053,115.883869966,104.634941077,105.863245277,105.686031254,104.548865274,108.862127236	B	exponential	0.12	88000
113862	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	248.140880558,229.279677158,201.752313686,180.572626736,167.145278506,165.755438549,149.722644436,137.434908359,129.941158082,123.429157387,129.239865297,115.336485381,120.787292854,107.923732341,109.237072649,114.791786381,105.561196429,107.340711525,105.455831075,103.764348279	B	exponential	0.12	88000
115262	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.152229561,162.022416946,137.822709725,114.548943451,103.63685538,98.0850257462,79.6936873428,71.0545881848,62.4288666768,58.5143730821,54.8434651258,53.0522761297,52.8110273367,51.2651580936,38.8204447911,37.5204219245,34.4077325047,39.6544723912,43.6299752029,37.7720790509	A	exponential	0.12	88000
112699	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	256.287101442,237.915740815,214.297143119,205.804222463,190.106916748,174.486908937,160.22075,149.799965643,146.469879335,140.558672854,139.771098198,135.942753544,134.321107212,130.305364886,126.140148085,122.358142217,115.423474158,120.923391999,117.728814204,123.060291591	B	exponential	0.12	88000
113948	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	144.095982775,122.048733516,96.8643360157,77.839875873,59.3202889488,47.8102920101,37.8597381324,32.6824525644,20.9712790119,22.182664912,17.2890456709,8.59421390971,8.84533669153,10.6359319977,-2.74854907981,-1.3586852948,-2.53871065273,2.16441595034,-6.81080312564,-1.24715014975	A	exponential	0.12	88000
112401	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.588052282,157.116240259,128.818813641,119.264478754,98.5294105033,88.9281392322,83.6542361931,75.8567747614,66.7675819558,50.7450472882,50.7115216067,46.7067163359,51.1329195798,36.5658223863,40.9093069186,31.6538022583,33.4484848024,37.2853557016,35.8734020555,26.6351738762	A	exponential	0.12	88000
113690	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	247.557043052,222.740155267,200.347350097,181.212624035,172.8506694,162.515602735,148.453928281,140.844007873,128.866439607,128.396876519,117.849065802,119.73567996,110.369964286,112.535769819,109.11264689,105.109791011,98.8664727667,106.694197466,100.107432401,102.66539837	B	exponential	0.12	88000
