ID	X	Y	cluster	func	noise	original_trajectory
131687	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	15.5195234588,-4.83134030816,-25.1805093705,-35.3930061546,-65.3548874718,-71.5133780265,-88.8304287876,-94.0142725319,-106.030708629,-107.560227233,-117.854281488,-121.279676919,-109.333707293,-116.70775097,-118.132108574,-117.609661561,-118.07492804,-124.985863519,-121.524310719,-119.302449945	F	exponential	0.2	88000
128941	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	262.863417501,230.400383952,228.188599551,197.644330597,194.329010337,165.036782394,158.358526634,162.303446076,138.88321749,146.991144102,139.03523418,126.002407419,120.725476136,135.958267016,129.416905537,131.067006317,115.373334866,120.580618776,114.485013323,113.076715881	B	exponential	0.2	88000
129348	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	247.337722076,229.931772556,216.166571468,180.762915081,171.060490051,164.373528354,148.222527958,132.784896325,127.561518767,125.105166265,125.769320622,120.856888307,120.901595691,119.982902144,120.774144039,102.096543441,113.493782777,102.608741363,109.675410973,108.59820232	B	exponential	0.2	88000
129591	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	262.293459233,223.739480758,200.163622561,193.168133957,169.950615084,155.819258048,166.917969619,144.719672708,143.072911069,138.734374247,135.072512109,121.592104156,120.396130989,119.581966644,119.817885147,112.296378787,116.373833245,117.892827654,105.126047757,113.133064722	B	exponential	0.2	88000
129754	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	132.004942025,109.647773954,89.6070122411,78.950954422,62.7712856503,56.7449684404,43.062983822,33.7811483244,22.863575924,20.1418426211,13.5770592117,18.8322538019,-0.189391826389,-0.979667896373,-0.0916861163035,5.51034804424,-3.41037317211,-10.2522955924,-3.70522932349,-11.9492228205	E	exponential	0.2	88000
129877	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	47.535638664,13.6768771899,-9.91926941229,-29.4119038404,-46.3809717428,-51.3306820194,-57.1581325027,-74.0288205843,-71.723525541,-85.6602198049,-83.53364472,-99.5280938696,-82.5341743261,-98.9701610709,-105.595307908,-102.758186344,-91.3393764216,-93.107488549,-108.831308032,-97.2725163838	F	exponential	0.2	88000
130624	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	237.876220971,217.512747248,177.658529861,160.471749133,156.041948561,154.614889898,138.196051486,115.182412577,120.682225052,106.48826771,108.862486941,103.832845975,107.887329605,92.731958805,105.571154818,83.9748297982,87.6730609026,80.6808450618,91.6979558216,94.3579062093	B	exponential	0.2	88000
131845	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.2535892528,78.3410529007,54.9034260574,29.8934911253,19.3708483686,15.2603551332,-3.8789448329,-11.3412423174,-14.7714916389,-29.4558773602,-27.8056390799,-42.2809556927,-39.2108447879,-36.2945764259,-45.9138510026,-35.0475284103,-43.4847614246,-54.3391160388,-54.7263524105,-57.7879276095	F	exponential	0.2	88000
129819	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	152.689217217,138.739515085,103.048095759,89.6599626432,74.1879704169,70.5698091725,59.2796252142,50.8923912299,31.3072906806,25.416407525,30.5387875457,24.7908757694,17.8886791653,8.58687143346,24.5650339132,13.6860993519,20.9128505021,18.4877355549,1.77463582409,4.42775526868	E	exponential	0.2	88000
130704	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.35726549,170.148473218,151.326404043,137.925755195,123.313150835,95.8529401696,97.9850112881,84.8809325492,68.0518164957,75.1926724253,67.463896574,55.3170919217,51.8793567261,58.0655761705,42.5262556983,51.794918844,57.8743781723,40.3719759057,52.4220139679,44.9878776653	E	exponential	0.2	88000
131537	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	85.7017022129,77.8654609945,57.0820231439,22.0972914101,12.8385693406,-3.51581028455,-2.5158037741,-21.5309282565,-11.8243610448,-32.8246474502,-30.8592498992,-40.8445945261,-36.7594776188,-33.8020861056,-37.837626945,-50.8762244231,-44.1699813081,-56.2146474481,-47.998596251,-59.5686002897	F	exponential	0.2	88000
129184	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	131.254139932,105.396386932,82.504004662,69.3223008453,68.4226382339,39.8278633748,44.2614649623,19.5367325464,30.2230418581,16.3396002193,17.291553701,19.1678609442,8.20884795484,0.164411270996,4.0778621709,-5.92503200709,-1.55904720456,-13.2126284001,-11.7470049716,2.13957266132	E	exponential	0.2	88000
