ID	X	Y	cluster	func	noise	original_trajectory
114665	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	37.019530598,19.6586907462,-8.8821943822,-26.6955945866,-35.8567835326,-45.6571132977,-54.228663038,-59.8184176322,-69.6430813603,-76.7551563947,-85.5702108662,-85.9456331979,-90.847926182,-96.903136395,-95.7170577028,-104.682426058,-100.464250187,-104.865031602,-96.7161862173,-102.118576306	4	exponential	0.12	88000
113727	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	28.5725603749,5.27274097465,-22.2356493592,-39.1776934753,-56.1164752081,-58.5992468849,-76.4336498081,-77.8594439657,-84.6026998609,-93.699487326,-105.155065428,-98.6093025931,-102.628156775,-107.337104784,-113.598570299,-120.393451103,-117.582099058,-115.932753263,-116.139023622,-121.986323211	4	exponential	0.12	88000
112504	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	220.548681058,184.961855271,166.59790504,149.203542955,134.598407817,127.459177413,110.455047566,107.319270238,100.15128723,100.07504008,94.7218128149,83.2656610311,77.086116052,81.1620356764,82.4290194968,70.1024873408,71.5160162951,73.3932232034,76.7571621085,64.9517849938	4	exponential	0.12	88000
115012	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.139658243,170.995224737,153.899919019,135.791425279,112.457995394,111.431660801,93.9750519739,84.2165093586,82.0461533182,72.1235818207,70.0472561885,62.039998239,64.8312782465,60.9076347419,54.2346529165,51.2544916821,50.0326077814,53.2986996722,46.4456592022,53.0841809532	4	exponential	0.12	88000
114219	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	46.4642497077,32.0356196813,9.43673598038,-7.43679592075,-28.9293011034,-38.0045460134,-46.4307613028,-55.6185466724,-67.3290711345,-65.3867506333,-77.9280763185,-75.3793551276,-78.3593421075,-84.9561054941,-84.9817282473,-94.9664815518,-87.5379284853,-92.3508452262,-98.9825991625,-94.2498693886	4	exponential	0.12	88000
115364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	148.022565697,118.025226078,107.764408353,89.3283520028,66.3626441635,54.2840379695,46.8485665669,36.8781406075,31.2382435791,30.0929106579,19.4951480541,18.026466139,14.0253305195,10.1831808296,11.4240573354,2.40948276189,0.640011981476,7.79357007668,9.24311507388,4.39284145873	4	exponential	0.12	88000
113298	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	270.557983837,240.56704691,227.020646104,207.215493735,199.059410661,186.011968515,167.945667111,168.194450117,156.489466254,150.284112364,141.905061131,139.287698994,131.963812532,130.529250996,126.021685932,130.508524715,128.476370087,130.278124624,125.031941291,123.014271627	4	exponential	0.12	88000
115027	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.46335436,175.63700632,153.600851553,128.472977961,124.522193952,111.417826893,91.8601266526,84.8966526159,84.44714024,70.8969745833,69.8773473141,74.0278125568,61.0632703402,61.2365300803,65.3971003192,52.1173235159,56.6623747896,59.9516978804,58.9987630827,47.4640335889	4	exponential	0.12	88000
112990	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.93214122,100.678152788,84.3430776288,62.3473882135,45.0018725536,32.918237293,26.8905498597,19.8703059423,11.4437393493,-2.78824511819,-6.02019243044,-11.8047041218,-10.315872851,-11.5915313609,-13.7233951325,-20.9828135902,-17.0865810793,-14.9084588625,-23.2087408427,-20.4978644243	4	exponential	0.12	88000
114279	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.4237282867,69.3745766057,41.8487297053,22.6754909132,15.2149397888,4.20476394816,-9.41169744977,-16.2143088113,-32.041593371,-33.6717722935,-30.9642309344,-38.7932469672,-48.3010284311,-42.5015207347,-54.9325049951,-51.1498561293,-49.4024001776,-51.8010560289,-58.1175894995,-55.1530555682	4	exponential	0.12	88000
112012	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	123.993049494,102.031264983,85.2501531294,59.0449391125,46.4722304159,33.706659291,21.6361555885,25.8567898544,15.3873764004,7.25641603056,-0.213586991979,-6.14541230309,0.693118457558,-6.49999598954,-4.32007500205,-8.75922616062,-15.5834683289,-12.2291568973,-10.4907432364,-14.231224449	4	exponential	0.12	88000
114286	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	142.102522256,110.592113094,89.4556844906,80.8115604414,58.9813682927,45.8214593209,38.165350755,28.6383671768,24.167909503,22.2999053973,15.4951821218,9.24649140723,6.6311801847,0.195545554048,6.51733340345,-2.83125673944,2.31238478423,-8.04127385778,-8.12648868792,-8.44919909567	4	exponential	0.12	88000
113262	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	123.625592624,98.3027253709,87.6299324318,67.4337041319,45.8225108248,35.3212289574,32.7587145724,17.1041612369,15.9421794488,9.66689521934,8.74565105398,-5.59311689094,-0.062781938241,-1.22913626531,-10.8653824136,-12.9021732674,-8.50160164755,-18.7279563746,-16.104481012,-15.4121871777	4	exponential	0.12	88000
112250	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.220400256,173.542328666,150.038036606,137.701710302,117.227873027,108.490535437,98.8313924678,84.9566645766,76.7598318808,69.0566917304,74.9963200722,61.6633745983,64.1709943309,60.2862736319,58.3924740445,58.7485391898,50.4244470882,45.8839466533,49.9085212861,49.2141150499	4	exponential	0.12	88000
114652	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.7926836887,29.2790889387,15.1905785436,-5.09244455817,-13.2647399999,-32.8018445814,-34.2416666692,-48.7666894281,-54.0328061718,-55.1980606588,-72.1629716693,-70.8000294985,-78.4033777513,-82.4282415438,-82.4100861949,-79.902474803,-85.3043241801,-87.8173111794,-84.608158168,-85.9439763082	4	exponential	0.12	88000
