ID	X	Y	cluster	func	noise	original_trajectory
114409	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.4398577984,61.4377118098,37.4652091698,12.2688541851,-1.84520779555,-9.8122960833,-23.6453604266,-21.7233632933,-36.7915321931,-41.5671520054,-41.6714027158,-43.0926227225,-55.9526641574,-50.6272952004,-56.3318403607,-55.7257854848,-60.8152732534,-63.5957070447,-66.8071677604,-68.3286566415	3	exponential	0.12	88000
112311	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	72.0049360342,44.3474364991,26.8061820937,11.2741041293,-8.34517216591,-19.9789681266,-23.6041584504,-29.7844527805,-40.6761059676,-45.2217900949,-56.9601767708,-63.6171269507,-55.1634904217,-58.1340582458,-72.066996296,-65.9400418629,-73.7232777992,-68.2174412606,-76.0602506511,-68.3813807463	3	exponential	0.12	88000
115935	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	238.131200788,204.030822925,181.419178305,175.471122681,151.619614354,140.35976435,133.025868494,120.765419416,123.761938546,114.472659513,112.382173274,107.255389835,93.6008350346,101.083949305,92.5173610106,86.530665404,85.9126731913,87.3058268948,93.3470997367,82.3585530556	3	exponential	0.12	88000
114623	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	30.9680202512,9.91122913637,-11.5685272732,-30.051909688,-46.1504189816,-57.0277481009,-68.0402705192,-76.8379592419,-89.5088915355,-89.6414883229,-91.7611743374,-107.14281175,-100.537851645,-111.244432822,-110.724553811,-112.020411088,-110.713042371,-110.297125957,-115.528457469,-117.50990352	3	exponential	0.12	88000
113699	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	262.364350966,236.379096015,217.498554023,200.457036381,191.046957707,173.274679917,169.344022299,158.700745858,145.285481599,150.060181119,140.991708772,138.173671488,128.015465089,127.89230507,123.773007757,129.174000791,126.370264588,123.395994602,127.514215876,113.846992308	3	exponential	0.12	88000
115378	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	30.145941464,14.4712792535,-6.26702224926,-22.4049475046,-40.3435858367,-49.9154463405,-71.0865500014,-72.9443826844,-76.6043259191,-91.6762002108,-91.3131836307,-99.1999567186,-92.9804447274,-101.368950716,-99.5103419967,-104.396330512,-107.058686224,-107.840054531,-115.651147882,-104.945265643	3	exponential	0.12	88000
114222	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	40.7128552895,12.1368838118,-6.38294748644,-21.4720205787,-33.4867097692,-46.8602860983,-58.6558100143,-70.5749309047,-70.4560308887,-78.5680588714,-87.4808718553,-89.0276977151,-83.7243096805,-94.5024388797,-89.0389014339,-96.9831538876,-93.1526614095,-98.0385613301,-105.514737837,-107.397072736	3	exponential	0.12	88000
112301	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	235.854431363,204.083892727,186.342668232,167.286607021,151.179041786,134.459250131,134.558439376,118.972694746,110.439945244,103.953064361,102.371166855,93.2259922946,101.160759054,99.6298457685,89.5468629274,83.6879231576,93.8961510611,80.5775533185,89.9821884278,81.7927741778	3	exponential	0.12	88000
115320	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	168.442414941,135.52951266,120.06323653,98.1095991652,93.2745860352,69.6523344586,65.7528036746,53.6310271121,55.6569960243,50.5812532521,38.0762976098,41.7149164689,30.7712775339,35.8598629905,25.7052779678,29.1992358935,26.4822622214,28.6681684337,27.1617017973,21.4123125542	3	exponential	0.12	88000
112171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	275.50627017,239.213372319,228.035888085,205.706915381,193.956826362,182.958932945,169.555386715,168.8574874,154.55780406,143.712993596,146.404191333,138.367439156,137.725592448,137.479147437,132.730499317,135.032343279,124.590598925,133.05612276,124.123820423,122.051850909	3	exponential	0.12	88000
