ID	X	Y	cluster	func	noise	original_trajectory
115476	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	249.289435995,215.146509623,198.100114571,177.082541103,166.015335657,155.395952654,149.325845876,137.009354614,133.905934119,126.844962456,124.524025004,118.724235656,111.31270675,111.608242825,106.052716425,108.692807513,108.647207198,96.5699213423,106.546693991,93.4475027555	1	exponential	0.12	88000
113809	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	280.827982065,261.773228041,244.042923565,225.433837066,206.63281191,200.67188104,185.72664708,174.021618481,166.516379374,161.297272599,164.405065111,155.41031968,148.952075784,149.392194691,151.222926928,147.178168267,146.097175432,141.879931929,141.347845507,136.838939322	5	exponential	0.12	88000
114730	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	140.640781909,117.590829102,93.7204328243,79.0961270686,63.3870389094,49.9801247544,34.9412129936,23.6782587192,20.3748975843,18.474355899,5.9614342591,14.212813018,5.33050265072,-2.89049595091,-2.85767888751,-4.0325669506,0.526082764348,-0.0251331940023,-3.51676380352,-12.4721862374	5	exponential	0.12	88000
113090	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	158.785971823,123.320658131,108.738504388,85.1679871117,71.4493916092,70.0571020645,51.3669677354,41.3078551035,44.2778155679,36.7757362124,25.1523132017,21.1747365643,20.8560202201,16.2997480674,10.6724602081,14.1500366202,6.78509466091,9.14167389965,9.09813186726,12.096757348	5	exponential	0.12	88000
113302	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	237.434614288,210.530475995,191.200793395,180.314857967,157.336349916,144.926457069,136.803107108,135.307623327,127.930147395,112.016513082,109.592241562,109.488161856,109.065993683,103.026958554,94.884071743,100.500448821,100.089569867,100.841103224,91.0890611505,89.1683814324	5	exponential	0.12	88000
113341	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.756317124,168.405197549,139.652580486,126.127134534,108.0354964,96.4112682719,86.1905934703,78.5371610912,77.8257727948,71.9860528055,71.7923312138,62.7078064552,56.0982115485,54.2500041204,57.5212197335,51.2531941331,46.1344213246,51.6979957136,42.1711020587,44.5581151713	5	exponential	0.12	88000
112727	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.0250913097,50.9399376234,38.1255865506,20.2833250804,2.32861877585,-12.7786513732,-19.3174025785,-22.5212777627,-36.515197379,-41.1527568907,-48.0186393081,-47.0328280417,-57.7151791906,-60.8868713444,-63.0788081233,-58.2752340666,-58.9631573864,-67.2112285756,-65.3847351292,-64.8796325467	5	exponential	0.12	88000
114578	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	49.9707018926,33.3748151603,9.00908671551,-9.79427606537,-23.293989079,-40.3135059947,-42.68779807,-57.2564424514,-54.7989886885,-59.6415515368,-76.711111821,-78.437282078,-71.5515499991,-81.9047922065,-82.4530962287,-91.3697553101,-80.4276008676,-82.9286546245,-85.2071019761,-85.7942545342	1	exponential	0.12	88000
115292	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	143.830020791,119.411648074,91.5106358069,74.6146260864,57.5364398423,44.1572767264,40.8690271896,25.0872055404,27.3373196555,19.3751935544,11.8534184767,8.23097748262,4.65927094721,5.24464555515,3.30017638171,1.71053460568,-2.20801692914,-2.34631997987,-0.224080991557,-8.70546264941	1	exponential	0.12	88000
115328	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	275.829292364,246.679781075,229.738850083,207.575591674,194.168817643,184.819889294,175.279200925,163.217699922,158.016123628,148.141152745,146.527701058,146.449305062,139.226926279,134.126800877,130.616304418,125.370052904,130.962593854,126.776455163,124.388606452,123.610283571	1	exponential	0.12	88000
