ID	X	Y	cluster	func	noise	original_trajectory
114505	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	168.979945682,140.149135205,111.656717986,96.7277184214,86.7982498217,71.7237539893,59.4073724478,50.9009393498,45.8909187039,47.8245095788,32.3757908074,38.7910445907,32.7986244826,25.026460028,20.8588308157,17.3051559144,16.1818756623,20.9720307631,14.1024641284,22.4882304718	1	exponential	0.12	88000
112099	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.83242743697,-17.9733472119,-38.5789201137,-55.5188881204,-68.3932383031,-89.4797124565,-96.0050330139,-108.191357777,-114.773089508,-112.398888197,-122.432961336,-127.718866624,-121.902590992,-132.767622076,-132.148004889,-138.546650441,-133.176004589,-141.731040184,-144.562773108,-134.659383797	1	exponential	0.12	88000
113381	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	114.853153702,79.2020145736,58.6251899214,45.3531418575,34.8936333694,22.4828504138,12.9006242374,3.55799898655,-4.94674679791,-14.0920033752,-22.1852849484,-24.5814404298,-29.3082425694,-24.3233913461,-33.988235787,-30.7007658825,-31.4587955474,-33.2568739964,-33.5782351503,-40.4425524623	1	exponential	0.12	88000
113251	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	39.003147477,14.4478228225,-15.4799541925,-35.0010314243,-45.5761588133,-58.4485332732,-71.9717538732,-77.0911393641,-76.5236382461,-91.030721938,-90.862954275,-94.4570312175,-103.358302673,-100.987719002,-110.062856336,-106.348978593,-114.681781909,-111.413899171,-106.409066104,-116.871756145	1	exponential	0.12	88000
113833	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	290.67649925,268.969320995,252.852459588,234.148674036,214.931393499,204.0328805,192.797415666,180.207382641,172.632080266,170.985154328,172.671188199,166.783461306,159.84331479,156.970589648,158.502513675,154.328373964,149.918853193,145.628262646,145.725791663,149.206757103	1	exponential	0.12	88000
115539	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	91.1663913537,62.1649225592,48.3642637899,22.6825918048,7.78486578284,-3.33922540359,-7.93770967722,-16.708535497,-22.4829353095,-24.1779578756,-38.0858834918,-37.1412500458,-37.4206972849,-49.5638175888,-45.5543690017,-47.3976424194,-53.8392681068,-46.3338191927,-52.9651254515,-56.8891813383	1	exponential	0.12	88000
115133	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.929338212,143.387438015,124.938857045,104.046130064,99.4243317851,85.009959002,73.1382154188,68.6607525915,55.5198505597,56.9087775377,49.8568581357,47.9672818752,35.1248300355,39.6424514841,34.5772972291,31.1185795969,34.3110883255,23.9705530595,34.1863031175,26.47860843	1	exponential	0.12	88000
113659	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	280.412620845,253.89358502,235.257018781,217.308635649,208.314668178,188.65549452,186.024989803,171.33421498,160.210218589,163.974209652,154.66428956,146.407358459,148.081752498,147.931939099,145.221213911,142.168690336,132.436275254,135.807577281,141.759909651,130.108825393	1	exponential	0.12	88000
115502	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	291.057826862,264.074684527,247.507215272,236.065922378,219.07103874,209.172636207,194.749856812,184.7107102,174.222560319,179.453860208,167.484808999,159.949513463,160.491625442,157.066837095,155.85561153,159.00344739,147.784172814,150.298238681,154.208374157,144.901144206	1	exponential	0.12	88000
114115	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	169.389659216,146.134895736,128.898712541,108.474917914,94.9069215156,88.7696148803,71.6025929161,62.0533695741,53.2820061305,49.4013127081,45.38101978,43.0792528176,37.9316977475,35.8717381244,33.2231328345,36.5772125977,33.1106991161,24.9316136077,32.6857998792,28.224820991	1	exponential	0.12	88000
