ID	X	Y	cluster	func	noise	original_trajectory
123470	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	152.032678494,133.426257852,102.553923578,98.5015049078,74.4281822689,58.9840896486,50.5680854635,42.880481413,33.3116552582,36.9769284421,35.3381190326,30.2479789229,16.2082955865,15.4827458127,17.2685983119,21.4862308553,8.87787219192,3.38460948747,6.36365047959,16.2475580834	3	exponential	0.16	88000
121340	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.478981754,159.67994363,135.7699171,120.497533077,100.289667307,79.8304319503,76.9455151939,72.927303717,61.636932614,49.0944116854,54.6168549789,56.1645103207,37.2607534404,34.5214657233,41.7858607821,32.131050597,31.0914167347,38.2139009728,39.1408963903,25.111824161	3	exponential	0.16	88000
122428	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	283.862366539,257.952852527,232.035133908,212.993214121,199.154163866,191.927548586,173.628984081,166.589810629,173.043636471,159.029488525,160.109132236,146.372183592,152.721135031,144.155610606,146.630882034,149.110200612,146.440347268,129.726971232,138.346722552,143.383978202	3	exponential	0.16	88000
122649	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	24.478154432,11.3208948357,-21.671048264,-29.083304142,-50.3500846091,-68.2121389155,-66.1712532594,-87.3421010061,-92.38782542,-86.6329185246,-99.1581247133,-109.500750215,-112.969590809,-103.135014555,-101.282946337,-115.937941414,-120.808218118,-118.309874318,-108.85437532,-111.077060004	3	exponential	0.16	88000
123383	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	93.1609153097,76.4025853789,57.5367716073,41.4735553738,24.0073384843,7.77142334393,-6.5251806139,-8.2986190728,-18.0296519739,-16.751359249,-30.2377595733,-25.7155605839,-25.4722461958,-45.2216171998,-34.7806896928,-49.0297116495,-45.6771930941,-42.4317275183,-48.4721303034,-54.2875925424	2	exponential	0.16	88000
122239	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	156.737014435,133.189786347,111.661157402,80.1622277361,69.6696565697,52.8720759691,47.4524200612,47.8506721612,36.8247884034,24.6369715879,25.9948195114,25.4159738451,17.0006395222,6.236752413,17.9514824887,16.0203507132,6.9055658372,7.09576704496,0.896281356166,7.31188298609	3	exponential	0.16	88000
121537	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	108.207048402,84.0737554122,57.3086929341,44.1786846644,33.0683571765,8.30962408237,1.89814303144,-6.45267103843,-5.20028734758,-9.02512741846,-17.196858216,-22.4242779398,-32.3261357741,-35.1609012888,-40.0011126773,-36.4320099191,-30.0356536995,-30.6722645996,-45.0402535277,-38.8372461997	3	exponential	0.16	88000
123541	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	59.9596191201,45.5931883393,23.3701531554,1.20054953807,-18.1073470808,-34.569267606,-29.7318876143,-39.9119039219,-49.6960967386,-65.5900602635,-66.79922658,-75.2496148617,-79.4396026786,-82.3894207069,-71.3294815731,-81.5688197298,-85.3511199376,-73.6324825464,-74.0629754547,-78.2009611891	3	exponential	0.16	88000
123944	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-2.33181449153,-20.6913218106,-40.1250278612,-52.6934301711,-63.7482837849,-88.4371479828,-87.7497065237,-105.350654724,-107.824689223,-115.044034479,-111.455583118,-116.684162047,-118.777692254,-121.273568705,-140.327638356,-136.398131582,-129.215017241,-143.35015045,-129.756451405,-144.77221663	2	exponential	0.16	88000
121943	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	96.7414409225,87.640070892,51.2181488459,40.249506825,24.1010076763,20.0659612589,-0.437457701442,-5.88797134663,-12.2997153337,-17.0655830164,-21.5256166507,-28.3987765586,-34.9982147935,-23.7974352349,-36.0189253007,-40.4776189669,-36.0315155065,-38.7097259686,-34.3709448076,-42.0678688767	2	exponential	0.16	88000
