ID	X	Y	cluster	func	noise	original_trajectory
128861	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	152.535815766,131.99146199,102.001409225,95.9664738411,68.5244408986,61.3820891048,52.4547374933,47.9767496231,38.5710399329,27.6762539349,20.7626023527,26.238882388,11.652345743,25.4934952359,8.66923914521,12.0115657729,9.19071809319,2.03757079285,4.92312707222,-0.064710197969	2	exponential	0.2	88000
128113	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	36.2974121534,21.5891736269,0.387668112075,-30.3639898403,-31.3031109617,-58.8587891719,-59.5043945835,-67.0474801118,-78.1236362759,-87.1418155029,-93.3478570071,-99.3615221194,-87.1653442241,-94.5974765118,-99.9853306359,-91.6435143702,-100.409912693,-103.112308414,-97.5859602084,-109.449709814	2	exponential	0.2	88000
129717	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	217.115342394,197.801514911,168.082458164,169.82199692,152.074241447,124.009161311,123.179013512,105.515696099,99.323094405,107.110162436,89.607137138,86.2308087177,94.922618323,95.3384204533,85.6110835803,89.9235831127,80.0719318191,90.2449513873,79.0124321812,75.3591915526	2	exponential	0.2	88000
130400	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	236.599844632,220.486897184,197.17624579,182.077758546,160.436885098,141.878421951,135.215377632,138.948374307,127.069962344,121.799397627,108.2899516,100.955953214,98.6694038002,93.837995666,95.1162393274,90.5148509325,87.7703317411,106.086693502,85.7835371518,99.4234225209	2	exponential	0.2	88000
131272	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.559074249,190.131113463,168.400575053,136.7874588,136.536097155,110.64585852,114.427498021,106.381947095,90.445524044,93.1740439355,85.956371028,85.0729159203,61.7727346381,70.3300237458,75.6476529812,65.7816147691,53.0094689399,59.7966160403,57.9785553025,60.5260146798	2	exponential	0.2	88000
131555	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	241.525900044,206.336427568,196.390554798,175.939358672,147.090320011,143.829249351,132.883838791,128.234075385,119.315360393,109.194277313,109.007441622,100.425374797,93.0362356393,94.2773006843,104.34541321,81.0372511194,84.3234767398,87.4337173736,95.0518043869,91.0322616249	2	exponential	0.2	88000
129247	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	279.453569066,244.682809788,239.22013616,210.13933138,207.056069684,183.381257666,180.674578548,173.599204295,153.10185133,160.208258701,148.249751135,149.163412773,147.259281166,139.807924139,139.163890307,133.148492502,138.38645154,134.529941173,138.128161222,134.299157831	2	exponential	0.2	88000
131257	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	255.720060236,231.423195528,225.749782111,200.520805991,183.116225404,181.565765172,153.191101868,158.86886979,143.868476601,136.684849676,146.000173497,137.296022805,131.462946449,120.475095905,121.475141559,125.141968361,117.47739387,126.307900698,118.410456515,109.779515257	2	exponential	0.2	88000
130132	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	72.3917326273,41.6813782565,17.8086877197,-6.65066743379,-11.543421466,-31.059773658,-29.7764717172,-45.123705125,-43.1303414607,-55.7214948923,-64.6117342762,-56.1090188329,-60.8878240068,-63.9693348642,-69.517564445,-73.5215598728,-74.550899434,-72.7978106873,-83.5624143516,-73.4523148826	2	exponential	0.2	88000
130074	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	45.0832935328,15.6315979322,6.49998541517,-9.17545687828,-37.8599415476,-46.8475833856,-63.1399962483,-71.9540480502,-62.0967632709,-80.7581971137,-75.0039724406,-83.7308478376,-93.4795388496,-87.5827726202,-86.5308792163,-92.368659773,-104.133344827,-87.8717583814,-102.477724815,-89.8371526374	2	exponential	0.2	88000
130407	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	132.220156369,93.251072898,85.1712464205,70.063326651,43.1993599273,40.0941108707,32.3239482488,15.845138972,11.9561008239,8.5143901168,3.89046141699,8.41505141848,-15.0208023613,-6.97764622896,-18.5664808922,-14.8353402193,-23.2315925491,-12.1098301241,-20.2852957583,-26.7544970099	2	exponential	0.2	88000
130158	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	101.309372144,70.954136542,42.8121530915,34.2818737582,29.3701663121,15.9207664995,-5.7956636051,-3.24294401277,-20.2117658913,-24.616466991,-23.171340624,-29.2316310726,-32.22081769,-26.5100618014,-29.7419728258,-38.3130406304,-38.1276819995,-46.8262802776,-55.4469410329,-45.3191497681	2	exponential	0.2	88000
129774	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	161.943842126,136.02481403,121.000941248,97.2020885398,80.5984895049,74.8052466767,64.1359929275,57.202018845,54.2343364289,34.880090589,46.7457599867,35.4440476285,27.5401942108,22.2261355193,21.281862785,34.978910579,22.2760907291,11.7954331213,18.7435568803,18.6683640004	2	exponential	0.2	88000
130495	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	117.463004497,91.2050531652,74.2701491015,61.1554976805,31.7262927325,16.4001328946,19.4049965497,1.09682919238,-9.31163987549,-10.9274240099,-2.83994766636,-20.1608566953,-11.5900878259,-10.4926735656,-30.4518175356,-33.9846306302,-34.5949583206,-28.1875393348,-35.6019948849,-22.3856278414	2	exponential	0.2	88000
128632	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	112.545582399,81.3844536428,74.4150680147,41.1557397206,40.3470746079,25.5720710762,9.85422948943,-0.829549381527,3.29394684742,-3.82727468816,-5.16743388156,-20.6526075969,-20.3941489187,-23.6044159543,-35.0494213148,-34.6294419787,-32.2415537517,-42.1513380464,-25.8629884601,-37.0158015262	2	exponential	0.2	88000
