ID	X	Y	cluster	func	noise	original_trajectory,,
96504	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	144.688888674,117.944884437,98.7758243281,80.4679098055,65.8551749182,53.1719477379,44.8542049741,35.6713140662,25.5974158282,23.7134165504,17.8653488203,13.5797600053,7.91520941161,7.25446109584,5.10131779182,3.57264156797,-0.34118875112,-0.111161116847,-0.0839577472783,-1.36984488706	4	exponential	0.04	88000,,
97964	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	235.503830837,209.563999778,191.387178608,169.889514801,157.787270233,144.509102038,135.382971557,126.891604219,122.094068871,113.167779552,108.29035929,103.629398235,102.021433972,98.9523743345,97.3658342596,96.5551200412,93.5133516762,91.8446063703,90.0003843897,91.8011686449	4	exponential	0.04	88000,,
97821	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	278.647171736,253.643447465,232.517766147,217.466956285,202.989343008,189.750160184,182.294538125,173.280794587,163.488135212,160.012264664,155.686816076,150.029857386,148.431762251,143.117334689,143.620512502,137.872146479,139.697147215,134.999751592,133.821317046,134.793601331	4	exponential	0.04	88000,,
96365	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	275.192836988,248.655927688,230.353039572,210.022732775,197.783653917,183.03575898,173.545700638,164.739682926,156.936436573,155.148199429,146.914923352,145.458705434,140.298720593,138.014962395,136.160581184,132.870485649,134.129888495,130.321427899,131.675414281,130.723480328	4	exponential	0.04	88000,,
96527	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	77.0506454543,51.4944634241,30.9918328449,15.3203396021,1.03764987048,-11.7112466027,-21.3341971803,-30.7867385293,-35.7324615445,-41.8311903418,-47.7121511094,-51.0307115224,-55.4463557977,-58.8109652039,-59.0362741465,-60.9601949482,-65.098408909,-65.3132203576,-67.9790305757,-66.2407543602	4	exponential	0.04	88000,,
97613	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	156.064513284,128.246832453,109.056191472,92.2163868556,78.8867727917,66.1621705893,56.0104274397,45.6449116891,37.7349104644,35.1806949773,28.7828289341,23.0981420909,23.7749509071,16.885878426,17.0514567416,15.9090638839,14.8805558533,9.58774570587,9.12903599028,10.7582114752	4	exponential	0.04	88000,,
99682	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	49.3049047094,24.1262591097,6.44136785767,-11.6189442417,-28.7117841604,-39.1343549039,-48.3040431456,-59.1104506703,-62.8023175751,-69.1795330618,-77.6866033087,-80.7637009573,-84.3786965138,-86.7066811695,-87.5066613783,-91.728791125,-92.6997205487,-91.2603451188,-95.4901502217,-96.6771906455	4	exponential	0.04	88000,,
96275	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	152.234910641,129.436163884,106.540468008,88.9259238954,77.9305818306,65.813561374,54.4494633757,45.7310322166,38.6883438579,34.5303021718,27.6986913804,21.8763881753,22.2496833429,18.1845012119,13.3460258033,13.3134122052,13.1042139523,11.9119290358,8.26080727309,9.58156267284	4	exponential	0.04	88000,,
99793	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	152.319449277,126.080002439,105.591702577,89.324392398,75.4133200813,62.6637975528,53.0148912559,44.2550907163,35.699463103,29.7436005108,26.966898177,21.7838082775,19.1874189222,16.8297572205,14.7947996653,12.7216755353,9.28217825463,11.1052976248,6.44001364053,8.22081696761	4	exponential	0.04	88000,,
98164	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	15.571461361,-9.156322031,-29.5235211686,-50.6472841863,-61.8391779295,-75.3065510757,-84.1929164638,-92.8814782941,-98.688706647,-107.028788067,-110.439978779,-114.494343765,-120.089888043,-119.510106189,-121.730652021,-123.837255133,-128.181529572,-130.628853002,-128.660884833,-128.613251139	4	exponential	0.04	88000,,
