ID	X	Y	cluster	func	noise	original_trajectory,,
98348	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	286.440066196,258.559828647,237.774338692,220.685075013,209.318938536,197.279981244,183.694086912,177.70468834,170.007433057,161.872298842,161.031037297,155.715204617,149.808615101,148.067019389,145.897462552,144.236506098,143.406477849,139.63346283,142.201106962,141.268416433	3	exponential	0.04	88000,,
99107	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	63.2076102615,38.0787286446,18.2030768664,2.31402075288,-11.9253380674,-24.2298586471,-36.7914462676,-44.829083905,-50.7276994049,-55.3195483471,-62.6366100716,-64.2031483381,-67.2071168983,-73.6735512666,-75.3303050785,-76.8470046855,-76.9131954498,-78.382907622,-79.7364562092,-82.8137728417	3	exponential	0.04	88000,,
99311	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	138.339810679,115.224734416,93.1819983607,75.4657122628,63.2734423989,49.50355201,39.8369217558,30.7313552643,25.2556259166,20.5584694669,13.7047922874,10.7751546018,7.01860544518,1.92652494506,1.08147260089,-0.017159126291,-2.54007608812,-2.74968113615,-3.81679497245,-5.42981885409	3	exponential	0.04	88000,,
98303	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	31.5300227606,4.14945724576,-13.5329420635,-31.7614557156,-47.5071781131,-59.1528221262,-68.408211922,-78.1649332553,-84.5246842138,-88.2011209749,-93.2487709941,-99.643456691,-101.996635057,-104.089890259,-109.178886427,-110.40148827,-111.869853524,-113.731789171,-114.096830915,-113.989797723	3	exponential	0.04	88000,,
96286	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	30.2572727499,5.49045929786,-16.2634323982,-30.4714357465,-47.2307793346,-58.1595838417,-67.3486846443,-77.3099368643,-84.7837104775,-90.7372399395,-95.9993381305,-97.8583565335,-101.575188246,-102.982452828,-106.974897689,-110.274777529,-110.598356993,-111.057626706,-114.642263779,-114.307769109	3	exponential	0.04	88000,,
97113	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	234.990490638,207.521285885,188.367750863,170.196946489,156.331589751,146.629258693,135.918681492,125.53500466,118.711661632,114.817963835,109.38832037,105.18372673,101.950279413,99.3546450576,97.1383464187,95.8760097142,91.963342298,91.9732764117,89.4402185743,89.7548026015	3	exponential	0.04	88000,,
99173	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	11.1759721098,-11.5510892141,-35.9825895593,-50.3872713824,-65.0773333727,-79.0593771439,-87.9560303517,-96.1319109834,-105.557568093,-111.540527376,-114.553260915,-118.218234986,-120.520851637,-124.899276342,-128.739646337,-128.85673985,-128.678019634,-130.134438084,-131.383945815,-135.718079686	3	exponential	0.04	88000,,
99768	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	22.4879383944,-1.07898966595,-20.0559473448,-40.7645105017,-52.8955468245,-66.3337679599,-75.8859220272,-83.808972584,-90.1498019628,-94.8871577257,-101.195751597,-103.450718507,-106.891971241,-109.315452288,-115.52279398,-116.818143733,-118.872178662,-118.912922859,-121.080342435,-121.314017602	3	exponential	0.04	88000,,
99063	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.116900632,167.102182696,144.912302369,129.745016937,117.202402897,102.930488328,92.5796306194,83.1927145747,77.8744335281,69.8279894234,65.6561646609,61.3673275575,59.601720936,56.00694851,56.324658272,51.89750073,52.3882743462,48.1563004033,46.6907861639,46.6462983316	3	exponential	0.04	88000,,
96537	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	263.730049891,238.50929365,216.643212715,199.439908074,186.384723115,176.381666294,164.29438897,155.417560468,147.968173495,142.634064526,137.801120723,135.102933856,129.300161956,127.593671284,125.749231091,123.52894611,122.412598247,122.578043879,121.021562114,120.361288982	3	exponential	0.04	88000,,
