ID	X	Y	cluster	func	noise	original_trajectory,,
112475	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.28475769,163.894018655,153.907071471,127.489899852,117.533767717,105.642299105,91.3748206821,89.1458800984,73.988073688,74.2678777557,66.4052125357,66.195221151,64.1924580113,61.9297858057,54.4341173156,54.7106335452,57.4383118631,52.6012078549,52.6879363777,51.4455153946	2	exponential	0.12	88000,,
114352	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	3.45148218209,-24.1629003582,-43.1550281772,-57.4965008176,-70.8594657999,-80.0929866755,-97.3171403248,-106.723659685,-110.18026723,-119.183600574,-121.653995661,-127.522948478,-121.617931089,-131.125948332,-128.586267632,-129.224578101,-139.227933007,-140.869716928,-140.629314866,-134.438658422	2	exponential	0.12	88000,,
114858	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	35.2400046606,7.12141490511,-12.4090874281,-31.1399155104,-43.6823579286,-59.9994765244,-62.3445065032,-70.4203670983,-77.0872418948,-88.5304308977,-92.0482914145,-94.5677285372,-101.140028421,-106.261421927,-107.727286236,-112.91779099,-110.284001424,-110.252310414,-109.905165189,-115.718532862	2	exponential	0.12	88000,,
113643	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	240.741670306,216.364062607,201.971241318,174.422507297,170.858865855,150.686147291,148.713538458,136.15773201,121.416157078,122.506785578,116.628345521,107.801884345,107.048512949,105.600122882,99.6203338912,104.076120362,98.8521905984,97.5153421692,97.5838816208,101.133898962	2	exponential	0.12	88000,,
112148	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	78.0090251679,55.7090655886,28.4006304995,12.1035483557,-2.75510543639,-14.9001987723,-26.8180706717,-29.3235242517,-36.7137950192,-46.7511043668,-44.5174649717,-52.1373625394,-59.7632772408,-65.3490433757,-57.4021284978,-61.2023368103,-70.0843132344,-64.6378845938,-64.6074575278,-75.0839015283	2	exponential	0.12	88000,,
113092	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	229.000699236,205.847484179,184.389386153,162.149302447,150.019456996,135.334153296,135.97679556,125.10310332,117.434427222,115.545629291,99.2501810334,97.5831920235,99.7375208564,99.4976308159,98.3143328987,87.8202684878,86.1495455772,91.9820886666,86.213181148,86.8488961201	2	exponential	0.12	88000,,
112522	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	177.177887722,156.092513874,140.403065841,122.376465817,107.996638326,93.9833176707,81.5609654493,80.2579270329,70.9944729824,65.5001757433,53.7841029572,56.4585443076,47.6035225564,41.2060493594,46.4622967491,41.3459980246,37.825206305,36.9344346804,39.4360561589,36.1125686169	2	exponential	0.12	88000,,
112991	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	10.2554234769,-25.9410679727,-36.6272998466,-62.0550038263,-75.9850412148,-85.8664570489,-93.2223601069,-107.902682242,-111.44683636,-117.388615731,-121.607406306,-130.429906399,-132.933647093,-131.844455709,-127.417311675,-129.240515974,-137.815728909,-137.269081315,-138.687174245,-137.088817008	2	exponential	0.12	88000,,
115398	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	84.8660041678,56.3448104049,37.8781172926,15.5079686786,4.98502706175,-5.87334574603,-17.3021764754,-21.9030309295,-32.3470791993,-35.1977941008,-36.6844561206,-45.0395878384,-50.201279258,-49.5308814862,-54.2839933118,-50.1580416733,-60.400106287,-55.6979188835,-59.478768236,-66.9263111306	2	exponential	0.12	88000,,
114109	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.595024631,171.885522738,151.90375662,142.913207504,126.797167786,107.475239966,102.381478559,85.5323528617,90.7371092115,73.7699030624,72.0334370568,66.4337980967,61.4487394999,64.4862650645,64.4606951771,58.9216531003,61.8728550962,55.8802765068,57.9709378667,57.0423152233	2	exponential	0.12	88000,,
