ID	X	Y	cluster	func	noise	original_trajectory,,
122553	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	71.806576702,46.7979107402,20.7235581952,11.1635904797,2.56527639155,-21.7397227163,-28.8120234611,-40.6987777394,-44.3269376698,-45.5622107309,-44.9092740814,-57.6152408768,-60.5370742411,-60.3529761598,-65.8048402761,-67.0999183931,-61.7620695175,-74.5611732132,-65.905279544,-73.6461456348	2	exponential	0.16	88000,,
121130	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	178.58846429,162.359364101,134.188478008,121.547434424,104.30071136,86.2329606071,80.4539340307,78.0191548483,63.0717816448,69.8283337208,54.3809193741,50.8729821494,56.6530354639,54.1675716294,45.9540882297,50.7026368688,40.069717845,43.215796125,47.2310228107,31.8970487921	2	exponential	0.16	88000,,
123514	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	254.284191813,227.981353746,217.414571458,195.901124043,177.184391687,163.743412334,152.10250966,153.057985758,147.062097691,142.467673266,131.925567848,117.887641814,121.912843506,112.782246712,118.15144566,116.597614447,106.711851854,106.565162687,115.596055468,117.49026787	2	exponential	0.16	88000,,
122549	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	258.839864064,226.82030188,202.216190274,191.064551928,164.397165294,165.953219143,147.038982756,150.13212883,129.264869439,124.04890811,116.020799412,127.249863044,115.939781633,110.151727364,104.718383783,114.52686169,113.202637987,101.377346185,109.724819146,96.4631778556	2	exponential	0.16	88000,,
121222	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	142.059800734,112.12418017,83.3703122668,78.3462045359,55.0098010392,51.1949389442,35.9560825139,22.5570645902,14.0031930883,9.20937577882,17.4365082334,-1.55946847717,0.815965128598,-3.98466992864,3.76756264205,-4.50999862321,2.76773965234,-3.13812628575,0.824946882438,-0.957963038829	2	exponential	0.16	88000,,
122037	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	171.329435054,139.737042534,123.431635427,101.010699079,96.7608825527,83.8513975748,71.706190424,49.7714392822,56.3565211035,41.6375082412,38.9610353808,34.69265909,32.2806860811,33.6152333032,31.9673735757,25.2476467103,26.4996990726,22.8688588621,16.3007442534,14.0196675118	2	exponential	0.16	88000,,
122083	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	229.336242959,205.371465531,184.772753382,163.587726888,148.000576515,134.884182759,130.823772628,124.98013611,103.681077527,97.4618641326,107.410747867,99.1198605469,95.9661426727,93.1558873222,85.5489663546,84.7573651392,77.9965966084,90.849647075,83.1979998409,88.8168972974	2	exponential	0.16	88000,,
122419	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	109.163727913,95.5647258062,73.8030927561,57.8562380238,44.3619185793,25.0084627274,17.1352715307,10.4408273154,0.745676384055,1.74886511962,-14.0951579117,-19.1842934166,-13.9352176557,-14.8723328255,-18.9741956161,-28.1557898943,-18.7619196135,-36.0060671756,-21.9181358475,-30.5412717853	2	exponential	0.16	88000,,
122565	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.136548068,188.155488782,170.283629256,137.027515543,131.43502571,122.009483728,101.262865384,97.7817377312,93.2283309547,90.4630060707,87.8643082554,78.6712716662,78.0604392814,73.8329944907,78.360805516,63.8590023319,63.3846908548,70.8093305902,56.7251303321,69.7843533523	2	exponential	0.16	88000,,
121282	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	169.170273311,139.321233905,113.354046522,104.46436005,87.0411827606,83.2373143089,73.2793985568,51.5669999078,50.4666708164,46.1421433792,47.001301982,36.3166114112,26.282657555,22.3043352192,33.515475044,19.057687227,30.7108786994,20.1769691155,22.8210606961,25.7439610111	2	exponential	0.16	88000,,
122474	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	123.927213314,100.736584094,86.6851353615,70.610239012,44.766561113,43.7054921105,23.5639404577,11.3530849623,3.64834236902,8.38799318597,4.38635430909,3.56660525882,-3.83552229072,-14.25215901,-10.6304219128,-17.7901332476,-16.2999704057,-12.7926030312,-12.7892113829,-26.6742553239	2	exponential	0.16	88000,,
120945	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	95.1710322466,83.8593658693,63.3705131118,44.2000554653,26.3706232255,7.0547035412,-0.125001322698,-8.46361355291,-19.1311412991,-16.9657882751,-29.9256805683,-27.8957274883,-38.426168842,-42.2463248173,-38.3580391268,-46.7429636757,-49.0988119676,-43.3086013772,-41.8115754571,-40.5965778347	2	exponential	0.16	88000,,
120473	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	89.5836323597,68.7463266932,38.7307696086,14.9769525198,12.838431204,-2.56187356305,-8.01804128876,-13.974477267,-30.0917556726,-34.9776360325,-39.6440857455,-50.8578958018,-42.8032778074,-50.8901064002,-48.6931597924,-59.8893355413,-48.1968766118,-56.039648134,-66.0038127083,-67.1260448414	2	exponential	0.16	88000,,
122242	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	94.1877074461,54.8013760545,44.7288435323,16.1496765837,10.5244095875,0.631833935643,-10.1814416446,-21.9307314664,-22.3889042605,-33.5370092262,-34.5204761375,-39.7011964814,-49.4583687028,-44.2359171911,-54.1914023051,-51.5154439135,-49.5229838123,-65.4969514766,-55.2366741939,-60.2852865853	2	exponential	0.16	88000,,
122972	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	134.119655701,120.3625516,93.6776865343,72.1774870331,69.1920287008,53.9816587546,49.2300234023,38.8788087084,22.5222591322,21.6135374164,21.8006873746,10.0233413086,12.8978559975,4.57237501545,-3.57013969328,-3.83927644553,-1.26549291053,4.04561565146,-6.79672507172,-10.6984192454	2	exponential	0.16	88000,,
123599	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	48.1830793691,35.208671192,11.4830006673,-13.9387234701,-18.8390445166,-29.088302169,-42.9036521661,-43.7357356811,-49.7278621367,-60.6807002109,-74.4231754636,-75.9695748674,-75.3835952059,-86.8878208355,-78.5374058497,-88.6418874911,-81.9249678201,-78.258725847,-91.8571344305,-96.7517049576	2	exponential	0.16	88000,,
123576	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	12.71976954,-10.1269129541,-37.5552392944,-53.1980079818,-57.752267944,-82.1042209427,-79.8579175365,-91.608263543,-94.824005718,-101.408905015,-114.629763375,-115.466867053,-116.853436604,-122.794003687,-121.15565145,-128.030912918,-133.755203006,-132.364456587,-130.791508579,-132.009661548	2	exponential	0.16	88000,,
122712	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	18.8618630598,-2.68827961054,-16.9476284306,-42.5178935403,-58.8844749833,-69.1345848083,-65.3876125479,-87.8261352996,-87.0156109869,-90.0607717616,-101.471235042,-101.857933004,-100.451344695,-108.919520473,-114.067595958,-121.157585162,-119.213384735,-123.284024336,-119.279946861,-114.298540917	2	exponential	0.16	88000,,
121343	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	122.621131521,97.0427014775,72.5846442421,45.6302745515,37.3835597426,18.9123134382,20.7513138302,11.3966408536,-1.8819610392,2.29613062554,-10.765883405,-10.779560747,-12.2304830028,-21.2978342116,-14.1862587451,-17.3142379626,-18.8995969095,-25.3369032016,-36.8007495539,-22.9563599571	2	exponential	0.16	88000,,
120027	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	25.3456713607,10.4661484452,-24.246228777,-40.9077875084,-47.8778917482,-64.1391063919,-71.7397236423,-74.8730102682,-82.7016432324,-95.3481526672,-94.6841826074,-103.386401137,-102.271932333,-107.260117682,-111.192139014,-110.997055949,-109.634561765,-109.984916077,-113.925369401,-123.713829889	2	exponential	0.16	88000,,
123064	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	233.83400417,204.725487985,193.056426957,166.963598334,158.660136705,138.968569491,140.478185331,128.944267794,122.11779313,122.943190153,113.004713481,111.372355928,97.8326088525,100.649117814,100.703866979,88.2232502567,93.7449362876,86.0254605335,89.0561261773,91.4658140504	2	exponential	0.16	88000,,
120173	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.055315932,187.111601141,167.457459019,158.643718916,136.957785766,118.267983234,110.761834974,113.501013981,107.639112621,85.5501553828,87.9314775492,82.1787388238,87.893383482,73.8950335288,80.6333088868,66.6005925357,69.9716428441,67.6892996198,78.5965895664,66.0118686987	2	exponential	0.16	88000,,
123229	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	247.790419383,217.540500237,196.96230566,171.521478138,167.742251447,152.846086894,138.321614355,132.413662689,119.910253329,112.634980728,113.983886112,111.580832203,113.814055538,95.2982239034,93.5528608504,103.177518535,96.3826905039,94.7653353882,89.3165512534,93.9124461797	2	exponential	0.16	88000,,
120047	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	234.243519373,206.20437917,185.798467016,176.509807375,154.010936334,134.372382874,127.274554558,118.252068536,119.476775167,115.961867211,100.355337412,94.7200225037,96.9100830168,87.8327118663,90.8897437611,85.4631046386,89.916864487,87.5012678351,94.0577027301,81.7444408715	2	exponential	0.16	88000,,
123980	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	243.192705405,219.742919934,195.099968155,192.393142413,171.301631308,159.597614578,146.897021088,132.752863207,140.66170535,131.638036555,127.689747843,112.265597332,123.216174688,110.662318095,113.441718718,114.396671498,115.241852361,102.547910029,108.174617221,99.9392274524	2	exponential	0.16	88000,,
120765	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	150.031564305,108.635166418,88.8901383661,74.9992810656,58.7074478114,60.9546151119,48.449919475,38.3346850153,25.1021229902,25.8641905865,9.06641082522,6.34693068351,10.7145512121,3.24406047379,4.71813679299,-2.17202222686,8.27731436642,5.15432976795,-7.68465321771,-0.508942545203	2	exponential	0.16	88000,,
122676	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	67.8467698576,46.1319832785,11.3858960933,-6.16949938649,-9.26730292014,-32.7211111297,-29.2780561995,-38.0499193284,-47.0496463137,-59.6937785258,-65.2171091711,-62.3391021194,-64.5936174446,-65.5235781126,-80.9999947885,-76.1330488604,-71.8842091675,-86.4549009354,-87.7400470198,-83.1048746433	2	exponential	0.16	88000,,
122025	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	135.130046905,107.742683977,90.1340362441,67.7284457969,56.5790821921,40.2944602011,25.0431437906,21.1212173572,10.5488674561,-2.07247436779,9.47323726773,-0.566281026915,-8.91435471658,-10.4188436597,-7.56615536032,-14.7314697279,-18.5401981546,-9.68553910375,-13.6900634039,-24.5629256458	2	exponential	0.16	88000,,
121034	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	141.359989891,108.666044907,101.063189116,68.4866322019,54.1334273883,56.2135663733,34.6317220886,30.5361285327,31.5980208304,25.3521894645,20.9541910269,9.35056972008,10.4559871992,0.0213944349276,-3.77152596562,-4.52233598223,2.67058396539,-3.65242254626,-5.09712630315,-14.9017012776	2	exponential	0.16	88000,,
120076	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	148.839063749,129.252743156,113.352837068,91.0936569968,75.1840909419,60.7133882031,59.6784371179,39.0131940395,36.6645117147,26.092757021,35.2596354198,20.4740544429,23.3307271472,24.3395136885,19.0080397812,13.146433798,7.32578803809,10.8110760689,9.24766216501,11.2230648645	2	exponential	0.16	88000,,
120932	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	82.0077314107,56.1616596319,22.8840638828,8.99589363277,-8.85268925099,-10.8580829948,-18.5551237543,-30.8206807395,-30.3006721688,-46.4525025854,-54.7632223134,-50.7476191171,-53.2739675876,-52.8582266454,-68.7503662066,-71.6569606165,-65.7764795881,-72.6113126732,-62.5293095357,-60.3505854223	2	exponential	0.16	88000,,
120223	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	167.812312167,153.574297319,126.086576449,112.244056783,94.5051794254,83.2879116993,67.0774634317,59.2231826863,61.6152825223,54.879151363,43.5366955449,41.9465690036,47.7860411718,29.924179708,34.3507805067,24.7280446981,24.9635217519,25.0436985897,25.5862959064,20.8806597938	2	exponential	0.16	88000,,
123482	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	121.626298884,93.3024864596,81.181623064,63.4194638672,45.977499766,32.2820322869,17.0401702296,7.78185086064,12.318612942,9.634242841,1.75264291679,-1.7113647052,-13.1744117279,-5.86462082579,-16.8543820845,-23.940915269,-12.6184945758,-27.3677213878,-28.9259547994,-26.1476160636	2	exponential	0.16	88000,,
120418	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	285.071752097,257.086528945,247.05133577,229.135883077,209.435502319,196.712146025,185.431888413,180.135338231,169.657704099,158.955572541,165.252714418,148.283436861,146.829088352,146.966899265,142.222213411,148.583934015,149.693476169,147.273411651,143.727359253,133.971471905	2	exponential	0.16	88000,,
122346	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	175.919788041,149.377725455,129.245246658,120.780349082,91.6574773243,80.9825284811,81.571217041,69.679747288,59.9057777791,52.8545329971,43.5963594063,40.9517701796,48.9630429661,41.8845414449,40.7531545711,27.8697934351,40.5461262852,33.5878664774,36.9548482836,32.7741861435	2	exponential	0.16	88000,,
121354	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	76.9180155723,62.7353524343,29.4191160728,25.3011156587,-2.16689037809,-11.980664277,-28.3688518996,-34.404039348,-31.3159585665,-48.9482369807,-40.327871895,-44.5520641796,-48.5402518965,-55.5090532011,-65.5234446956,-62.7200818321,-63.7234026545,-55.3810074874,-70.3581722071,-59.5830366032	2	exponential	0.16	88000,,
123114	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	45.5489315711,17.1250193789,3.24732749752,-22.4946011946,-24.5663068503,-43.3044247238,-50.873783089,-52.8155135669,-59.4745999299,-65.9104843346,-85.2770549042,-84.9950461431,-90.5763343664,-87.8064962213,-84.9222247983,-91.9229679536,-90.689829598,-96.5894830718,-98.3375375365,-105.043561886	2	exponential	0.16	88000,,
