ID	X	Y	cluster	func	noise	original_trajectory,,
131407	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	75.9640249327,50.1471931072,30.6006291736,10.9292386091,-1.64095988242,-34.3631528571,-23.2070851985,-50.13307303,-38.8775565688,-63.5990310405,-69.2662179861,-59.4940981309,-70.5678528954,-73.3621271003,-68.0619377337,-70.2258129917,-73.1193586496,-85.3048642063,-86.025331187,-77.51889973	2	exponential	0.2	88000,,
128642	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	112.084086871,81.9141126497,69.0458325963,42.0107511306,26.0885662943,20.7436951848,1.5420035358,5.40394637699,-3.43896432272,-18.0970416083,-9.84851495031,-28.4799902122,-21.1676399393,-37.1282306324,-34.5410281907,-44.0841935633,-36.2664389779,-38.9050542548,-35.0204134422,-49.4050219913	2	exponential	0.2	88000,,
129176	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	257.990139205,227.195596292,219.687031564,194.418924498,187.931612144,172.090694888,154.626657706,144.038913597,150.33606131,151.102461612,131.897381478,140.218571792,118.603555694,132.628103066,127.399564889,115.230113836,119.708272453,120.796097293,116.471444887,122.14215621	2	exponential	0.2	88000,,
129610	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	236.712300117,201.70450746,190.378579902,162.615783949,165.329114573,145.2179839,146.400108876,118.988181243,131.811054724,116.318625281,109.463980958,101.295225846,112.145198973,109.761116084,106.235306527,85.7185610128,87.3655114478,95.1633637344,86.7047163016,87.8792034605	2	exponential	0.2	88000,,
130984	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	103.442942681,80.5486766491,56.9032177447,26.0391217429,27.488888652,2.71305866893,-11.5089640052,-0.792703963948,-20.2938295976,-28.3482932667,-19.9908041759,-36.8823422071,-36.8864849685,-39.8271936046,-48.4218701176,-37.2936450372,-48.9678566583,-40.6528818961,-42.45214422,-56.7782898781	2	exponential	0.2	88000,,
130706	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	235.270275249,206.376250215,180.23189613,154.915958742,142.095172964,144.32750409,133.72278854,115.334479457,121.143343428,102.43235959,94.2632428744,88.4502244685,88.5160959944,96.4568240887,84.0382019689,94.2964442523,81.4900622453,81.8859523898,92.0761774165,79.9847870688	2	exponential	0.2	88000,,
131513	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	155.827903803,137.29166514,112.380412334,104.587841512,86.5100240886,66.2955380631,56.2489983347,56.8215912332,41.8381617837,43.2883860539,48.6899361536,26.5898165045,40.0773238489,21.4717209416,16.8024610259,32.2149588158,31.3464741312,13.1767434159,30.0577404306,29.0806938142	2	exponential	0.2	88000,,
129596	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.622695566,175.347507257,160.313191488,134.197293701,135.480078752,118.732543073,111.986513626,104.546601237,83.0198865526,81.0154050958,75.4203328455,72.9514857022,77.4276364854,72.2808610151,68.8473439035,52.2180928886,64.7626838592,61.1672152214,66.642390956,57.466100193	2	exponential	0.2	88000,,
128664	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	108.965775356,85.5956011965,51.5616883248,41.5669078479,34.4494985442,16.2234172654,6.44745713577,0.743290848283,-18.3879171122,-21.4044489967,-30.2325448614,-18.6871603727,-28.5472117357,-32.28376317,-32.068281581,-41.5245822189,-44.2274283864,-37.6058906732,-51.6180461142,-46.5617609474	2	exponential	0.2	88000,,
131866	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	130.113309776,109.637366102,87.6415192381,55.1816107284,47.0462695445,43.2573383363,36.9198941363,22.5629640037,12.2528245055,17.8493158077,2.1468904795,6.32799340154,-3.48490005924,-9.92705951978,0.697310704718,-12.5725900751,-17.0294124888,-24.4384246495,-16.5803356342,-26.2750770815	2	exponential	0.2	88000,,
128290	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	261.928678302,232.021223398,220.927137101,187.252849421,190.048516384,178.671412051,164.873419793,145.061178868,147.498988923,141.096668243,139.267512982,132.803508491,125.693606421,121.350587321,126.325248355,112.577771363,120.975040227,111.872845909,114.23455286,112.568843766	2	exponential	0.2	88000,,
129134	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	21.8397688199,-2.82052484521,-40.907066847,-44.8307408621,-51.8958103946,-84.6546709039,-84.4719059868,-95.8112191788,-92.2598379519,-115.837160355,-115.911474613,-107.118905506,-125.896224648,-125.823793078,-117.079742205,-118.095918111,-135.78095589,-135.392930619,-133.091621496,-129.600610042	2	exponential	0.2	88000,,
131702	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	14.6224252879,-24.4020669827,-26.1214618455,-60.1732426108,-61.0986094294,-70.0195032925,-88.213216707,-101.648863279,-106.208786337,-113.596424968,-119.644747345,-123.533860751,-116.043138829,-124.941774004,-118.625826573,-123.757219476,-133.700538204,-129.553584827,-141.880102732,-132.675707943	2	exponential	0.2	88000,,
129447	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	75.524475754,61.7835455993,42.1339719067,20.6898533823,0.710167887193,-16.5025666765,-18.0677648408,-31.8195565226,-30.8762324299,-36.8020710531,-53.913054901,-48.4023919937,-46.7329108043,-56.3171637162,-56.3166397871,-70.4481970084,-74.7938387687,-60.0384294285,-61.4871242149,-65.6596915707	2	exponential	0.2	88000,,
129125	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	99.3280806517,70.120226966,45.1682974014,38.6114972971,13.8671457176,9.64121652026,-7.12085380465,-20.2834748993,-22.9088700036,-15.2915162617,-26.6189038737,-40.4841101777,-31.1475048209,-37.9277234214,-39.2273220717,-45.8535300845,-41.3588876264,-50.0013089768,-46.4031046301,-39.1285724108	2	exponential	0.2	88000,,
130027	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.410128193,186.381286033,165.844287794,152.751242688,123.890184628,106.683456771,111.983301312,105.474714498,92.0678624938,82.3363394163,89.4899933536,72.0362148797,70.1106804933,78.2017484504,57.6285712838,60.021880005,69.6895741304,52.0386950429,56.0471866363,62.5215306345	2	exponential	0.2	88000,,
128636	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	61.5687568382,36.8519526174,18.2733434175,11.2399870242,2.56823703564,-10.5653505453,-36.7944067196,-35.0716461756,-54.1703358069,-60.6141914352,-64.0389493677,-55.1389307906,-68.6820551542,-64.4235929259,-79.3761824213,-76.8505707851,-69.4600221573,-72.9904322401,-77.153792046,-72.153587987	2	exponential	0.2	88000,,
131076	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.27887525274,-5.09787505564,-27.9198049597,-42.7892687121,-62.2528275067,-87.5174457019,-88.0885416298,-104.155890406,-112.097176796,-112.157241497,-112.024987711,-116.346354539,-125.824433976,-130.361048824,-126.756087435,-131.307553727,-140.534832155,-142.494556467,-124.436237662,-124.313778668	2	exponential	0.2	88000,,
