ID	X	Y	cluster	func	noise	original_trajectory
99765	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	133.897889736,111.854897302,90.9969733997,70.9404367833,59.2930774346,47.3826164432,35.9644038995,28.2581469157,17.7660927732,15.2666344392,9.65805177311,3.87785718607,2.81301550413,0.104415032332,-2.76835218867,-5.75341958389,-7.36912660347,-6.2586590371,-8.70034937372,-9.5029974499	4	exponential	0.04	88000
96743	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	248.0186596,222.643722722,203.424029471,186.004923524,170.296024846,160.545967396,148.874979072,139.697787032,133.868610774,130.259637975,125.034867808,121.20438065,118.170277439,112.027615356,111.714776532,110.322343822,107.619014683,105.027392016,103.825743751,105.241282491	4	exponential	0.04	88000
97108	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	295.37681413,270.375982082,246.978356964,232.353666601,215.240693692,205.129324294,195.742131559,187.180453384,177.828520792,171.967982167,169.040241458,166.563130784,161.030283248,157.021864211,155.754047115,153.700294111,151.096883937,149.196075029,149.787013156,148.74060539	4	exponential	0.04	88000
96027	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	57.1739130635,33.7757230056,12.8687465284,-8.38264523771,-20.6626954525,-33.0332011015,-42.4776203511,-51.395259539,-58.1515665773,-62.031011521,-70.7291961831,-73.514220255,-77.3460024206,-79.2121217379,-83.0940205545,-84.7718228848,-83.6741513065,-85.0727784672,-86.8763744764,-89.6770197802	4	exponential	0.04	88000
99852	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	264.895172215,240.71700408,219.273862541,203.263690317,188.089941764,173.970447484,167.656245719,157.722810156,151.777905696,142.92214201,138.699406908,135.578053465,132.838362335,129.59911568,126.60440098,124.291180507,122.769048847,124.031943611,120.987884763,122.230136896	4	exponential	0.04	88000
99868	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	128.717391492,103.985965001,81.3506144702,66.5319750014,51.0977109229,40.3735467429,29.9958685441,22.8911672559,14.6043027345,9.79391346928,5.04176241114,-1.22396518373,-2.39959006547,-7.38406527092,-11.339217634,-11.4364130258,-14.3499967812,-12.3259762105,-17.1877758126,-18.34405788	4	exponential	0.04	88000
97090	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.693671696,159.43995217,136.373542312,119.172733211,104.534623783,94.7213439937,82.18934363,74.4057422505,68.8607287346,60.3965824243,55.2850961708,54.1983307567,49.1780688269,45.5215618757,43.9164374776,42.9299379928,42.8184959882,37.6865532903,36.9735816798,36.2546928427	4	exponential	0.04	88000
96479	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	142.527189846,118.559960077,98.7442725828,81.3642823624,65.0694210109,54.8361734149,42.5842717586,35.6340683377,28.481239084,24.5801847445,16.9500255369,13.5536200379,10.9513060755,9.85601398896,4.83320742889,2.50361136773,3.00388348021,1.15289609092,-1.72769781737,-1.37424216284	4	exponential	0.04	88000
99799	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	41.5291739933,13.0626116685,-5.0383994344,-23.855039417,-39.8709977561,-51.3275692886,-61.3722909887,-67.3224590204,-75.4633940099,-80.5427555627,-86.3565033462,-90.0799108761,-94.0899006606,-95.9152833009,-97.7050394845,-100.453965259,-100.424237828,-105.156187773,-102.783593321,-104.891055386	4	exponential	0.04	88000
97268	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	72.7570559693,49.1056152394,27.2142113803,12.7537531167,-3.34685502025,-14.2457009397,-25.8223720018,-35.6733383979,-39.0770005343,-47.6156583859,-51.1487463111,-53.9489262608,-57.5366919663,-62.4394229551,-65.6341044856,-66.171046751,-67.8128662846,-68.1169989943,-71.0158803643,-68.7937203796	4	exponential	0.04	88000
98943	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.442822268,100.30101683,79.2369596372,63.9664324178,47.256772286,36.2012017671,26.9896988402,16.1617954369,9.08092754065,4.48676553772,1.40107503772,-2.44130329348,-7.93355646085,-11.036208337,-11.5488794772,-13.0627158652,-15.4637681905,-15.5746658543,-20.4941731076,-18.724210254	4	exponential	0.04	88000
98555	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.322127311,159.346456714,140.546238033,124.202960418,107.436910283,96.3562116368,84.1791577025,76.8176972827,71.5645682835,63.3545479538,58.6873379247,56.1134626439,52.1482204902,50.1000173338,47.2213252047,44.025698334,43.5312240361,42.5495664726,42.3759899958,41.0325738378	4	exponential	0.04	88000
96431	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	72.0107122308,48.4910160519,26.4085819949,8.86170692675,-5.6201559216,-18.2210407936,-27.137844608,-33.6087868338,-40.942015659,-47.0060311954,-51.4789794937,-58.9593052932,-60.3345575064,-63.9039218648,-64.1158766853,-69.2815590983,-70.0041378473,-71.3094148709,-72.6362321308,-70.2789386472	4	exponential	0.04	88000
97265	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	154.423787448,132.429940601,111.333933008,94.6091722391,77.110863734,64.1375207534,54.4914755047,45.7225652504,41.0278083902,34.7150612865,31.7901389436,25.2165716074,21.0859700482,18.6992479412,16.111685519,15.202377085,15.8153562373,13.6977686251,11.0336541067,11.1419809467	4	exponential	0.04	88000
98122	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	249.050186645,225.343585461,203.513319951,186.27096684,169.045737399,160.57363756,146.74607036,140.141674322,133.51622552,129.384257569,123.934482253,118.282725729,116.809316502,112.469761722,108.605263629,110.22998526,106.02836849,105.442052588,103.260783232,103.6205106	4	exponential	0.04	88000
99967	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	281.904267652,257.10683566,235.845065067,221.955529392,204.575083934,193.773091725,184.635431391,175.85462165,166.629467098,161.712383959,155.48277357,152.245490815,149.98123847,145.217198337,146.546489406,140.867294369,142.765657788,139.646908211,139.924751201,138.213405344	4	exponential	0.04	88000
96494	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	125.611319526,97.1803234709,77.1100146805,59.383228303,47.9393503212,35.9039066186,22.6339850794,17.3383982684,7.01753882333,5.14974935761,-0.987085156521,-4.16347960278,-8.02005738112,-10.1982739218,-11.9839244919,-14.6267827861,-19.2650398733,-18.3733215903,-18.2252325905,-19.5540879914	4	exponential	0.04	88000
96429	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.285656916,158.218579461,135.554148249,121.638395224,106.888811076,92.756123045,85.2048039231,75.8259536167,69.6419492318,62.3911839272,56.5958852672,55.4089852557,51.8419016013,45.2230213799,45.8984177543,41.9316025486,39.5501474223,38.2678905872,39.5469691243,36.0062809343	4	exponential	0.04	88000
97680	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	244.274402215,217.767296263,197.31803999,181.20980138,164.965493256,151.645996057,142.620966908,135.448105566,129.370360841,120.234540124,118.580080602,115.187625497,107.828233139,106.101080181,104.515658833,103.918344836,101.309969429,101.771717177,99.8434372872,96.0275168384	4	exponential	0.04	88000
96350	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	287.266297184,263.856379339,239.482647483,225.415777939,208.817419878,197.35307084,188.206714341,180.489574936,170.260629214,164.685385761,160.492113076,156.020611805,155.657248159,152.046200282,146.605694786,146.033967654,144.704068361,142.563557121,140.282662292,143.279644556	4	exponential	0.04	88000
97139	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	241.164654949,217.358573508,194.033690315,178.702351297,165.242142281,149.10947406,140.153270164,133.608403228,124.671848484,119.282048578,114.98742131,111.595856375,105.906625013,103.513613235,103.353304523,101.344457894,99.7868934691,99.66961851,94.3575639099,95.6828666747	4	exponential	0.04	88000
