ID	X	Y	cluster	func	noise	original_trajectory
113703	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	24.6862708828,-5.87558098139,-16.7968822488,-38.6625145669,-58.3573032346,-61.746424727,-69.5482271795,-84.0553928878,-86.019268055,-91.2700449532,-105.032882739,-103.433279147,-115.380545546,-105.377394444,-118.183566891,-116.444199081,-118.72897534,-116.916848889,-120.429143079,-118.196603764	1	exponential	0.12	88000
114123	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	23.1867862174,-3.99984255234,-28.4925214253,-45.6701977156,-56.2622044794,-70.2441019581,-83.7440505284,-88.0729085615,-92.5136245346,-101.807763246,-103.977317782,-110.173850066,-118.497214791,-115.47338344,-126.193794573,-121.020440053,-122.59025194,-128.90050406,-132.75184603,-127.897529297	2	exponential	0.12	88000
115469	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	105.802881793,79.86203787,56.9973493458,42.3522001635,27.6560819874,21.2611877852,3.94520996024,4.13155230268,-4.43236939101,-14.2175933869,-25.2322658281,-18.0252907796,-29.5911268113,-33.8240384817,-37.6393566403,-33.1052510269,-37.7330916176,-42.0024893226,-41.2675636122,-34.156662424	1	exponential	0.12	88000
115740	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	286.356553869,267.76774958,249.52084838,222.732271081,212.14951505,197.480975267,197.357506123,182.04181444,180.609698639,175.34317959,164.664905526,163.598805785,151.819036893,155.597164823,157.417977842,155.694435262,149.682790334,152.931282787,147.298354299,150.044836765	1	exponential	0.12	88000
112472	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	82.1218407958,57.8221662325,40.3051334909,21.3920784085,16.4761793894,3.57826816264,-17.7912774153,-14.1526681368,-32.2557161957,-37.8736037128,-37.3584983715,-37.5646010586,-44.2915120006,-45.6500635847,-55.322426267,-47.796480781,-58.1530380151,-60.6146382273,-58.4036238034,-52.7340751492	1	exponential	0.12	88000
113024	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	58.7702393255,29.4564870456,13.399134489,-3.96955204879,-22.6196987918,-34.0779702203,-44.3017281304,-57.1978408857,-63.8470315859,-70.077115706,-68.9720567689,-69.1181737693,-71.0672397221,-84.8652805431,-80.6090946264,-89.5197905037,-85.8320594528,-81.0352727055,-83.5185567414,-93.2916321849	2	exponential	0.12	88000
115940	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.9873919099,35.0323041248,13.7117930901,-3.63155066718,-16.2294072238,-31.5617081315,-41.6575762836,-50.0070494673,-55.1328239026,-64.5854541847,-71.8363533965,-74.773435401,-81.6110785969,-73.6766836299,-84.0240270555,-85.4081722947,-85.0985356987,-86.9218322705,-92.4205639323,-81.1549764262	1	exponential	0.12	88000
112308	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	234.169705072,213.091650855,188.823445016,178.273783681,154.715112859,147.561627847,139.748225115,133.673356593,118.739030006,120.287933892,114.782040107,106.696705797,101.880564129,94.4398910301,101.803810622,95.2409331585,93.079279474,89.2429053419,95.7487413374,94.1470734874	1	exponential	0.12	88000
112458	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	17.1502050196,-16.1176820348,-38.0370162421,-47.7413977439,-72.0556490485,-82.5071611403,-93.824057133,-96.3283794879,-105.255599042,-105.33471121,-108.833038923,-121.242684871,-122.87388354,-128.463694587,-122.255866643,-128.458888602,-128.765144547,-127.744885138,-133.43400341,-134.733015767	2	exponential	0.12	88000
112676	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	59.7476044282,37.1651217394,18.8175153189,-1.33147357988,-21.2953025148,-31.0191308991,-34.9930150535,-45.5838069944,-49.6093693253,-60.8040538717,-69.609595781,-64.9692651282,-73.8961239169,-78.5364855962,-83.0775102571,-78.9173032499,-82.6241931084,-86.2450993334,-82.5938619715,-84.7266792779	1	exponential	0.12	88000
115310	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	150.891051917,123.544747166,101.261193888,86.1917032757,75.3471801677,59.9739031717,49.2996359853,45.7084080437,34.235104022,26.7075527105,21.6100082074,15.9432243411,18.3711731944,15.7050798835,10.8326612965,5.33712770744,14.8947872831,4.69175692779,4.25067909816,2.67391138273	2	exponential	0.12	88000
114995	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	250.202436902,225.929856995,204.255664282,189.489743222,173.84344132,163.54679173,162.548594138,143.098291716,145.78768908,136.408074501,135.374591325,124.776280312,125.789559895,119.278985004,113.028256364,115.913417022,107.461544942,118.530477379,110.334172988,111.116697368	1	exponential	0.12	88000
112041	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	289.669763134,271.306712969,241.515702187,225.921387695,214.895152596,208.018017357,196.757205053,180.389901299,176.312310486,176.291142613,171.553010071,165.733575121,152.533252238,156.961075224,159.69556128,149.45187626,146.632167691,143.620081217,143.282563,143.037670921	2	exponential	0.12	88000
114660	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	287.670000813,259.085162856,242.577849716,223.800652277,200.927967417,191.728866374,189.639673622,180.369472287,166.266095578,164.994585206,152.052729075,157.725903897,153.391723057,149.709210924,146.200644577,138.504182276,136.943307359,145.988864728,135.100895405,135.958285642	2	exponential	0.12	88000
112336	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	173.896218506,147.98594112,127.620906505,112.769945583,103.541842589,86.7892501966,82.1136306216,66.6775166253,62.8147010085,52.3225094202,49.3844425975,50.0231398319,42.2147293326,49.5054559122,46.9091162413,34.8983768023,35.0301187887,34.1259972698,33.9149612746,27.7575521412	2	exponential	0.12	88000
115001	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	46.2471838048,24.3970773331,2.50970266,-21.7947167332,-37.5628898112,-40.6705087392,-50.4120527317,-63.8704908759,-67.8303295486,-69.3584034119,-83.9956934857,-86.267494231,-89.0685119964,-88.6053339463,-87.5588908272,-95.7021340235,-100.391359154,-101.534487465,-96.5909250565,-103.884190533	2	exponential	0.12	88000
114033	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	216.272449261,194.164052849,171.274779857,151.940600314,135.969147618,129.820118652,116.769554226,112.363934554,97.064561456,102.148629333,95.324796024,93.868232007,79.0525856693,86.3933369943,81.5782274642,80.855898161,80.8530529871,79.7483821721,71.0605299968,72.2940211991	1	exponential	0.12	88000
112989	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	40.6166164392,17.139851629,-13.8814840138,-24.0027288691,-40.1711730966,-47.0379611064,-68.7548007053,-71.6677123974,-72.6404456967,-81.1748597442,-86.3437874736,-93.0622606519,-97.0190694828,-103.71013927,-100.230522617,-106.689231667,-100.205233739,-105.253000902,-104.220599192,-102.88874572	1	exponential	0.12	88000
114595	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	160.810532695,135.223110133,120.932409226,94.1507746543,79.8942990988,78.4390498526,65.9497577584,59.8719491849,47.0834885598,37.0076648409,41.684575548,35.4977996892,29.5400411548,29.7201219828,25.527295755,15.8872076864,17.313901906,22.9675619569,21.6627600099,23.3775439599	1	exponential	0.12	88000
112928	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	149.566894786,117.482024857,93.3578186232,84.2079804931,70.4321487597,60.571320939,42.3658801493,37.4718180974,28.7289749359,23.0045847729,16.47438211,9.16182222692,8.20902580794,2.36211419671,5.84184138977,7.02708633399,8.82991486127,6.71531601652,1.03723149548,-3.39223250188	2	exponential	0.12	88000
