ID	X	Y	cluster	func	noise	original_trajectory,,
283248	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.57443264206,2.91059671941,4.06987550269,3.72150344073,4.7598500746,8.09001374868,11.1878779477,15.7628995666,18.3969013701,22.3233117646,22.8612453728,21.0957033645,18.1528365674,14.889220553,10.7571790592,7.47859441903,4.9845949233,4.16894161548,2.74275766964,2.47030347408	1	norm	0.08	264000,,
281278	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.74049529818,2.96854865048,2.50846767203,3.96520414107,5.6860769349,6.7730577994,10.2498799293,13.6833606084,18.8320899329,20.6803569201,23.3894605271,20.447392256,17.8864446071,15.563161458,11.4207297374,6.70226850437,4.54224989381,3.39509097063,2.92466038759,3.62615234386	1	norm	0.08	264000,,
282792	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-4.28192587965,-4.87059683614,-3.966297061,-3.7628089448,-2.40313950514,0.655784817866,2.86190367171,5.95612682223,10.3048309329,12.7010716958,15.7160782465,14.2704371514,10.5222951047,6.66553114131,4.00741309541,-0.974928025685,-2.42688638756,-4.29624620354,-3.97838965181,-5.78352749902	1	norm	0.08	264000,,
283297	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	0.783377038451,1.21368857927,1.77959723052,2.3496855922,4.21578782723,5.96180121532,9.46827415499,13.4686126725,16.8191774484,20.6749287078,20.6434643159,19.3110333918,17.6462334959,12.8287831745,9.97689457012,6.5945459468,4.8811950344,1.79003634694,1.07422737121,0.948180159846	1	norm	0.08	264000,,
281304	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-4.69361570271,-4.36301329946,-5.01183944174,-4.73110858013,-1.65993580867,-0.0502929847589,3.01628171933,7.2668541424,10.2636645265,14.2973544459,14.2464195683,14.2071580669,10.7647579441,7.31436389426,3.19694402614,-0.782885596019,-2.70341181865,-4.52986532071,-4.00360545126,-5.95929633026	1	norm	0.08	264000,,
283870	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-3.59585187488,-4.38161737431,-2.91699924655,-3.31516632332,-1.95233783317,0.997096326867,5.22904349142,9.18900736907,12.1908498832,14.6284397746,15.7690135854,14.6778841277,13.2965203689,8.78535547169,4.30549586625,1.65860748856,-1.7527892823,-2.40454902405,-2.3627771039,-3.50606832196	1	norm	0.08	264000,,
282904	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-16.5346273999,-17.6149084459,-17.2239400687,-15.1561796702,-13.9791627862,-12.0458327201,-8.56156546917,-6.10999216904,-1.15498922291,0.989898247731,2.60406906047,1.34629327439,-1.64105723491,-4.75471190386,-8.97426769385,-12.9615489756,-13.9494257325,-15.589303245,-16.5166805061,-18.1893074774	1	norm	0.08	264000,,
283633	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-11.371396253,-12.1593097018,-12.4639123814,-9.75747882853,-9.39415219251,-7.41441337752,-4.24048686654,-0.109163019363,4.32478234691,6.03419082314,8.1622614623,6.03509687076,3.41510352151,0.581780118407,-3.37065069222,-7.01306478763,-9.06478044296,-9.9173551107,-11.5911819065,-11.3134736656	1	norm	0.08	264000,,
282468	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-11.3196485996,-10.823395401,-11.1187614847,-9.53489905864,-8.91612294295,-7.60437501396,-2.91934920131,-0.257990827396,3.55006914701,7.59104150576,7.88675125625,7.21417746534,4.06294281918,0.334204409061,-2.87094283215,-6.46927923106,-8.34500893562,-10.7651463213,-10.9969167724,-10.7805197186	1	norm	0.08	264000,,
281681	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	15.7656588435,15.4164966393,17.4887178264,17.2263672764,19.5887088956,21.9169302968,24.0847035542,28.2736928835,32.7008388364,35.6425047775,35.6825009282,34.9911700586,33.0162988202,27.9406631093,24.7369674786,20.8447455684,18.9245472401,18.2558763207,16.0184850808,16.5406987379	1	norm	0.08	264000,,
281812	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	19.2701625955,19.0620949142,21.0046623204,21.2684242267,21.385789643,23.6655158011,27.1239465687,31.2902508634,34.5275530921,38.1229877593,39.2907540336,38.8424463694,34.9727928047,31.4942466218,27.8758201007,24.5872084346,22.0938100916,20.8004190597,19.9992803464,20.0033535778	1	norm	0.08	264000,,
280587	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	4.99741445878,5.64338018328,4.7856945213,5.50547937872,7.75892559064,9.9469924606,12.4428704929,17.1886156478,21.645390293,23.6591998443,24.4321912751,23.4166358816,20.1534021855,17.2824952542,12.970948461,9.21537166289,7.46228010685,5.97334954437,4.38634706408,4.05316701783	1	norm	0.08	264000,,
280605	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-17.0155525009,-16.9926460058,-16.2806279268,-16.8097028712,-15.2243339799,-12.4527215497,-10.1563656166,-5.53020761105,-1.71395940388,0.371787164483,2.98653330308,1.11814025579,-2.17577682031,-6.60883452825,-8.93274778119,-13.6296269563,-14.4364169752,-16.2443731403,-18.2398042445,-18.4993332027	1	norm	0.08	264000,,
282830	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-13.3304773555,-12.4843418486,-11.656890929,-12.123503111,-9.79966938531,-8.00759595791,-5.67749314656,-1.53474640834,3.55237163848,6.27563074654,7.76178415108,5.93093160623,3.56561164955,-1.44912734429,-5.12888177066,-8.74863121991,-9.8751106549,-11.2720295119,-12.9675617327,-11.6748857825	1	norm	0.08	264000,,
282052	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-15.2527505236,-13.27207567,-13.6041058975,-12.168811589,-11.1275292525,-9.15798099665,-5.51334824821,-1.91374012449,0.833474517482,3.9351293513,6.1273737355,3.52526144482,0.643170130665,-1.96514853084,-5.89288942207,-8.68626883526,-11.9955343914,-13.1912765055,-14.7272144802,-14.8563749804	1	norm	0.08	264000,,
283414	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-7.37594747984,-7.34011900867,-5.99883038449,-6.82222077418,-4.8860985229,-3.40093939669,0.993844106617,4.84217927756,9.05048747828,10.4649800767,12.5754603932,11.3233936707,8.1118772277,5.16753158007,0.984171453953,-2.89776738327,-4.03806674892,-6.91218536563,-6.85570032736,-6.82267198284	1	norm	0.08	264000,,
280618	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.19450766693,2.20828961437,3.07532633666,3.83481071327,4.44222550805,6.87162214479,9.46703153986,12.9744398551,17.7541189081,21.398328027,21.8191510623,19.9428243909,18.6762399791,14.1251908858,9.67714080284,7.68215105498,4.36042026792,2.10063986022,1.89762461205,2.40449984156	1	norm	0.08	264000,,
280485	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	14.5787231455,15.6493971944,15.59540172,16.2374688531,18.674766031,20.8721664599,22.4701872744,27.7379062357,32.0146089159,33.2056707904,34.1676479084,34.8942331182,30.6402287463,27.0774179456,23.4173901799,19.3804068948,17.0492447906,16.3671460074,16.06326679,14.4668873813	1	norm	0.08	264000,,
280259	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	15.1057870868,15.1749529414,16.7894684917,16.7923259319,17.7775706763,20.3372446392,23.1257611548,28.3311709549,32.2830013542,34.8201147964,35.0796850379,34.7978525183,30.9960632712,28.6607413817,23.9299510408,19.7425317904,19.2347305123,16.495401932,15.2381049596,15.1721585336	1	norm	0.08	264000,,
280267	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-17.2431484831,-17.180699864,-16.9882413216,-15.5902068442,-15.2748699836,-13.0985346129,-8.949344688,-4.55490505284,-1.36084326494,0.361610550874,1.3273727423,0.931446750828,-1.61535109804,-5.62034810837,-9.58769640766,-13.6195804358,-15.8913137404,-15.5245462263,-16.1774373628,-17.7291467899	1	norm	0.08	264000,,
