ID	X	Y	cluster	func	noise	original_trajectory,,
274088	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	4.44149470395,5.14830430919,5.08792337759,5.82884372417,7.53803715774,9.87593874149,13.4576971313,16.6826959058,21.0351485099,23.9217187686,25.1658079229,23.5081196296,21.1312012647,16.8966413677,13.2986727829,9.37849257379,7.26203630671,6.53640681649,5.00261220864,5.0001132218	6	norm	0.04	264000,,
273934	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	1.04892555034,1.85636765752,2.35828947991,2.76548753754,3.7132366793,6.00864751635,9.63587813466,13.5179836222,17.09295834,20.0429017622,21.3617891868,20.6035850092,17.121311773,13.9644004639,9.37623480555,6.39579395391,4.54957441387,3.02877130311,1.49751811746,1.3202128709	6	norm	0.04	264000,,
273271	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-0.607449339691,-0.442040466915,-0.284050790902,0.289057176889,1.67594734795,3.92402213474,7.26711009586,11.5743687005,15.3100119606,18.2923419338,19.2544113156,17.8185953008,15.1716944349,10.9112591979,7.79725435836,4.14757499511,2.30446262173,-0.034463082185,-0.733345204192,-0.184951185359	6	norm	0.04	264000,,
272117	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	5.55060664855,5.89378998484,6.00826278157,7.25142506456,7.90661768477,10.8072033469,13.4116723487,17.2484603744,21.3490205076,24.824783385,25.4113568305,24.6541681067,21.8416218895,17.8512160064,14.0909153144,10.4041427581,7.7871645875,6.43622675092,6.14547618802,5.56223644663	6	norm	0.04	264000,,
275051	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-14.2543270149,-14.3583681818,-13.7468498255,-12.8127640331,-11.7413236709,-9.52015422043,-5.92999895184,-1.79618475189,1.74093822552,4.07587540932,5.71093087642,4.43393493,1.79301629867,-2.71136254322,-6.31653023271,-9.52387963745,-11.8342693469,-12.6971940249,-13.6930906778,-14.0730505855	6	norm	0.04	264000,,
272385	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	17.9874065821,18.8234944451,18.633710795,19.2955724853,20.4762764527,23.4099814561,26.0385928683,29.916013693,34.5532655229,37.3099399626,38.1750567975,36.8436333719,34.5872782231,30.795421138,25.9347583052,23.2063270889,20.9558464044,19.7032955546,18.6212197507,18.0305957771	6	norm	0.04	264000,,
274354	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-6.19582825462,-5.9495888488,-5.38269594771,-4.98459024074,-3.42772550659,-0.781217781937,2.14854633754,6.48314572013,10.2096004737,12.3716380004,13.5014692756,12.3745703204,10.0501921669,5.75934411553,1.64222214391,-1.02437678431,-3.13446164752,-5.0518695292,-5.10407964982,-5.46443362464	6	norm	0.04	264000,,
273202	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	3.84626165787,4.08555877212,3.75017990734,4.75817276164,5.65340003957,8.47570012387,11.8551641074,15.7644341239,19.3170036916,22.2771564114,23.5796525431,22.0085765034,19.582182458,15.1336813363,11.1667874131,8.57946408443,6.19998642928,4.68939351742,4.46445493028,3.82265769311	6	norm	0.04	264000,,
274738	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	11.4050348294,12.1924240241,12.7073058333,13.1062442485,13.9819248314,16.3235017737,20.1774864818,24.2016341262,27.5529462315,30.8528881563,31.8881197504,30.3968084279,27.8674830828,23.560942816,20.2289941597,16.9632291803,14.9564565858,13.5349498208,12.796494839,11.9963160284	6	norm	0.04	264000,,
275631	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	10.7554749589,11.1149094073,11.5363457774,12.1568096788,13.4921646917,15.6588464384,18.6467301104,23.3480025133,26.4639422768,29.9187405756,30.7948501493,29.5473378435,27.2260857848,22.8985168367,19.4603690922,15.3436340878,13.8346876439,11.8068185652,11.5876370831,10.5246014047	6	norm	0.04	264000,,
273552	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	8.67849328456,8.78062400377,8.63651118744,9.84573162611,11.1118897974,12.876923647,15.9294901205,19.8258191922,23.7050503386,26.8325006721,28.0020773398,26.8190781691,23.833432088,20.5175865593,16.5357254513,13.2909575309,11.1844416457,8.94030284243,8.40150833856,8.48148953057	6	norm	0.04	264000,,
272103	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	4.20009659505,4.0627616868,4.83530112906,5.10403797695,6.24042915389,8.639685242,12.0403532153,15.9749578905,19.9440372154,23.3804229152,24.0247651764,23.1151189097,20.2375141269,15.6410008276,12.7201413806,9.49888476279,6.62720729962,4.97333707964,4.90390939156,4.31983548908	6	norm	0.04	264000,,
272752	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	9.55385299487,9.24742348411,9.4190943347,10.7452032566,11.7091942912,13.795255184,17.9165702398,21.0425681603,25.1265556113,28.1539797779,28.9221802039,28.4016140674,25.37576427,21.7662546397,17.6586202163,14.5424009948,11.8593960065,10.3946115007,9.60387022634,9.77256164868	6	norm	0.04	264000,,
272496	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-7.50541798057,-7.46990229948,-6.50195731852,-6.38797094446,-4.48558584991,-2.0092868649,0.478077488692,4.68210414768,8.48299379403,11.6120302408,12.9917371806,11.4521829699,8.41101645831,4.83723424722,1.0052976339,-2.37148469709,-4.10439011414,-5.8551893222,-6.32764814092,-7.2240081153	6	norm	0.04	264000,,
275240	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-1.79304296314,-1.38864752976,-1.53527230412,-0.55738349411,0.838957297251,3.45555374578,6.80595384526,10.4356370255,14.3222011758,17.015134371,17.7196402954,17.1976935806,14.1263930157,10.4304210774,6.82338040237,3.23948859854,0.801938258846,-0.783288008013,-1.24281522514,-1.42851552711	6	norm	0.04	264000,,
