ID	X	Y	cluster	func	noise	original_trajectory
306866	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	18.4891219376,21.1268770492,19.6225133521,21.19460452,19.4685517226,22.8027352975,29.3336355164,29.7669455263,36.4115281461,37.2288258067,38.5512379289,36.1230832956,35.5998038939,32.3661338592,27.2297194719,23.2060239552,22.9531759019,22.1311883964,21.3898690371,19.777229082	A	norm	0.2	264000
305616	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	16.1234837969,16.9374764346,15.05768348,19.4642739216,18.2422018448,19.3579190613,26.3107285107,26.4430088172,33.4408544727,35.1698261567,35.7859028599,36.1021281186,30.6828817442,29.096909748,22.688482146,22.2530196475,18.1132570429,20.1931981489,19.4858438771,19.3231737297	A	norm	0.2	264000
305419	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-3.87080824541,-2.53294309835,-1.62174191668,-1.42938209197,3.00349292034,0.591006295531,6.54580170894,7.66784386223,15.0729371724,15.0965814342,16.4854964695,18.1084971916,13.4516620725,12.1606664483,4.6750902181,3.31946493595,-1.07049389373,-0.544664308807,-2.17850761221,-0.728535237956	A	norm	0.2	264000
307439	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-0.884657482537,-1.8550968572,-0.943382839186,1.14900853265,0.754954445707,0.894255512044,7.90038200737,11.0562894839,11.5616418621,14.661275651,17.8965025828,17.3993305103,11.9634180346,10.6229252033,6.18964017016,4.72087849928,1.70404259541,-0.614589908497,-1.54110015,-4.24237149606	A	norm	0.2	264000
306900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1.39549440407,0.140783955302,-0.936940141329,1.25322156571,2.73598757098,2.71373308312,8.58769901486,11.9792015409,13.9824145281,17.2236983764,21.6133590234,17.4719143643,15.3814902892,11.8187340563,6.41107085697,4.61589424352,-0.424474821973,-0.594896442239,0.369548698412,1.36169426433	A	norm	0.2	264000
304124	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-14.8275480345,-16.9534739336,-16.2127215762,-14.1327173243,-12.7890914146,-7.39409840277,-8.58553675651,-0.589714395845,-0.556603194245,4.93102168428,5.52662555131,3.91717833569,-0.774737303132,-0.428075296995,-7.20522441006,-8.07191136627,-10.215581249,-13.1410846097,-15.438503198,-12.2756003538	A	norm	0.2	264000
307822	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	3.86407431641,3.30164154763,5.91187301616,7.99798233096,5.71429714253,12.4508245572,12.6918535737,18.8500206236,19.1576139676,21.8918934413,27.3905907946,22.7214384925,21.0552853831,18.5506826657,14.908004084,9.09029810928,7.43095770509,5.94359890712,4.86174377509,6.53109230593	A	norm	0.2	264000
306883	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-16.6684927967,-13.4379673379,-12.9550611586,-16.015314554,-12.5383890778,-10.3617128371,-8.81238402847,-4.66859059786,0.909754868199,5.74425831467,4.94132594567,2.01914863108,1.53082972766,-4.70190506614,-5.61743230148,-9.52205629129,-10.9244582218,-15.6597162172,-12.3718673498,-13.2968232492	A	norm	0.2	264000
304187	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-5.81272908906,-3.86645143133,-6.75099527557,-5.60932434845,-4.0917022551,0.439137127717,1.21380961881,8.12185474592,12.3306926212,11.2527987201,16.1753232224,15.2629629147,8.45304787636,4.50158693348,2.19856847898,0.723248775404,-2.9571370882,-3.47064707571,-6.2819888513,-7.91611839775	A	norm	0.2	264000
306922	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	8.12243504169,6.99549312162,6.66628171672,6.32823194113,10.0996704743,11.2716466439,15.0815416796,21.3691229419,22.5212690734,26.6643086159,27.0408848228,25.4745343716,21.5392329842,18.6967228759,15.9921547637,10.9497166214,12.1424827216,8.81458653917,8.82664745136,7.37085439605	A	norm	0.2	264000
305150	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-5.92687207581,-6.85824847,-8.7038784026,-4.34403333173,-4.53587445194,-5.41188557389,2.01588770468,5.4459680904,8.37287009828,9.24710842029,9.34510720753,9.85532370383,8.53052242406,3.68389998606,-1.13672827758,-3.74789097698,-2.91037184602,-7.37054434569,-8.23724186788,-6.7292817196	A	norm	0.2	264000
307435	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	12.9224880144,11.9391499447,12.9773326435,13.4164056547,14.5260824435,16.3109169459,21.088654337,26.2479145164,29.8776817168,31.8774131212,32.5275495082,30.1092037794,28.6315426957,24.6379820983,24.1080963713,16.0620667418,17.0107350457,14.9214844393,16.185750406,15.8618871156	A	norm	0.2	264000
304694	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	0.414818520309,-3.27347938486,0.642927831742,1.94291564306,-0.00525166500548,4.12089808582,4.85792901861,10.6370055398,12.7770680849,20.2091550652,19.9044670621,16.2716674679,15.1579984851,13.2973038899,5.92692765729,4.85139407859,4.21603431141,-1.12700267578,2.05377799946,0.321317393865	A	norm	0.2	264000
306516	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.634645602,-18.6355675154,-13.6011165236,-15.745668671,-12.193631655,-12.5640713869,-8.96754847911,-5.12836149197,-0.113749385209,0.105955814566,3.44635018916,1.73074852674,-2.06424117821,-6.21523516964,-7.35375625491,-10.7406112138,-15.0905425612,-14.2584784331,-15.102771204,-18.5530065701	A	norm	0.2	264000
305019	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	13.016911369,13.4733339531,17.0805123087,16.8973081752,19.3480511008,18.660092855,24.3304983722,27.4559559936,28.8827871806,31.1724565419,35.5469960018,34.8913233251,30.3259822997,24.5832790799,24.6492937538,21.1949838939,15.951707495,13.9706180117,14.2197500494,14.7633314535	A	norm	0.2	264000
307466	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-12.8300406574,-14.6365653194,-13.4074801379,-12.8007231357,-11.5171538731,-9.57715613626,-4.026862507,-1.54584404001,1.66233562385,2.92956597852,4.21421433086,3.36209246428,4.50465441112,-1.16599124875,-3.12027048264,-8.87099949982,-10.4737864068,-10.2379197838,-14.6233239559,-15.3605636696	A	norm	0.2	264000
307882	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-12.5048445624,-9.04882297857,-10.0107574413,-8.78527655085,-10.4271849875,-6.96631461158,-2.75855990487,2.75198764257,6.58133402696,6.72082426303,10.5870968815,8.06092469139,2.68135498368,2.24189850767,-3.62446396609,-6.22111767332,-6.40738816436,-8.35477578324,-11.2302731578,-12.0430922979	A	norm	0.2	264000
306251	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	20.6098517573,19.3090835999,16.8003497058,18.0937855214,23.3214362161,22.0271183305,26.1360441272,32.5188728113,34.1469948782,39.9823406331,39.1649282025,39.1357587864,36.5560526916,32.3903272861,28.6243381623,24.4428755062,19.2437596113,19.8849154703,20.3644379809,20.3785045145	A	norm	0.2	264000
304619	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	3.36809618753,2.62562299457,5.90716819068,3.92771593205,5.13014518504,7.46085964558,10.6003759438,17.0137051517,17.0839140241,19.4466088423,24.7831234011,21.9708256299,17.7038375265,15.1725397178,10.6906779156,9.80101913343,5.02847787751,2.77805585344,2.52787994569,0.881545164585	A	norm	0.2	264000
307965	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.3180204522,-14.1376807027,-15.2696279487,-14.0717586103,-10.3061107606,-9.5907067126,-6.92500407883,-2.4968609427,0.817875289039,2.62718002463,7.08271442452,5.33613824177,-0.303455887279,-3.7913741703,-6.59360388425,-10.2508328989,-13.9489367647,-14.5331132422,-15.0982794521,-15.0523510182	A	norm	0.2	264000
306894	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	3.58031747985,2.25977314519,1.9153931888,3.12934343557,4.08156339854,8.84661814846,10.3580618529,13.2835284655,16.7687439229,21.953491006,21.2470005093,19.2516129654,16.5867250355,15.5168625552,8.8111039839,8.18017456017,5.34716753931,3.61147019672,2.82085663788,0.771822304692	A	norm	0.2	264000
306121	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-17.5956176092,-17.8381491397,-18.1286747131,-16.834869195,-18.477052632,-12.5771730739,-13.4908798448,-8.71777009788,-5.95037617447,-1.94709138836,0.0162100451674,-1.03879450254,-3.45005073625,-5.27420225531,-11.309484612,-15.2026554014,-15.0039203902,-19.8116899944,-17.7784960449,-21.2981808049	A	norm	0.2	264000
305120	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	4.61396511212,3.85864133858,5.88884269897,2.25974527126,3.39594253787,7.89475314402,12.3766187533,14.0033909145,16.4087761247,21.8315407326,20.7328462329,19.8944922773,19.5878045554,15.027302653,10.0376777331,6.98401509013,4.17480427038,2.02633283371,3.31828475083,1.22073166613	A	norm	0.2	264000
304219	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.30399933905,5.54933888976,4.66884023007,7.94036076288,10.5396628424,12.5121631685,13.3903837827,18.5334136751,20.6261925618,24.2277258418,27.5616802958,22.611472204,21.0316169448,19.8468386493,15.9037281932,12.8165947146,9.13434473245,8.75946288897,3.94057015017,5.42881692104	A	norm	0.2	264000
306239	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-17.1248759787,-13.8842763162,-14.3800680472,-12.5014541794,-13.4527123227,-8.93417049656,-6.16712722326,-1.850558274,1.04945330294,4.7958970002,5.07208202129,3.12034108267,1.55719079595,-3.03723992035,-5.93907180159,-13.2231706738,-11.6755530741,-13.3629346865,-17.8108577459,-14.1772013087	A	norm	0.2	264000
305189	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	12.2935110127,13.111366164,12.5191638498,16.5120462936,14.284833074,19.1074613825,23.6282309522,26.903232111,31.1371329846,30.2597304411,31.6021939143,33.4125890528,28.5842228169,25.6931083671,19.4327577636,18.1070112716,16.5618057926,14.7598231254,15.3801050007,13.6323759122	A	norm	0.2	264000
305241	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-8.67013761844,-7.89835797314,-10.1328403766,-6.77522689769,-6.32798809997,-0.857013745893,-0.500757178912,2.32989644741,8.14420826783,10.4539296914,11.4986907052,10.0468197435,6.3990344085,3.97767058117,-1.19655475907,-4.0356742195,-3.8310570934,-4.60417049311,-7.82872150399,-9.46508044161	A	norm	0.2	264000
304368	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	17.1981965415,15.1017932082,17.9348444526,15.6980061315,18.6529238904,19.8661111355,22.0655633036,27.8440373555,32.6397428975,34.8508284354,33.5809578542,34.4251736294,32.7329866483,26.9160144618,22.7767700754,18.2958027917,18.788274125,16.6670905366,13.0863327994,13.4070620271	A	norm	0.2	264000
304155	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.5676672712,13.3262366261,13.4024440044,14.8125276622,13.5844033964,17.5022358818,23.0358850147,24.8914811993,30.3264093732,29.0404910994,30.0643280808,29.4739539443,30.6537106146,25.0913014315,18.6254169498,15.5409182681,17.4175802439,14.698721259,12.5889324982,12.8698239738	A	norm	0.2	264000
305234	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	0.447587106436,1.59187805205,3.8880154124,5.58423642402,5.13665434839,6.30156899772,10.4871953011,12.4817786847,16.2784834503,20.1627350287,23.0183493554,20.3661520628,16.4309544053,12.5002427634,9.76459018296,8.502287036,7.65782306382,2.35542976303,2.95653992912,1.27069153407	A	norm	0.2	264000
