ID	X	Y	cluster	func	noise	original_trajectory,,
291053	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	8.04634419042,9.2190379835,9.09421638209,10.0906432867,11.3930254678,13.8657822247,16.8375180798,21.1537314118,25.2444668553,27.7576160372,28.4313213046,27.3643306781,24.6764164335,21.7971636294,15.2976537227,14.6872192667,9.72833523435,9.62088321936,10.1493318538,8.1192885548	3	norm	0.12	264000,,
289907	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.36494147438,2.73528087588,4.45052256956,3.10612639317,5.03121626592,8.41226590707,11.6683475977,15.4278058187,18.2655580697,20.589629966,21.562226008,21.6028882331,19.0561972004,13.3627623016,11.2701829841,6.22352567251,4.00468875408,3.91907765536,3.67791721332,3.60336522046	3	norm	0.12	264000,,
290551	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-19.7172605113,-20.3631447328,-18.299188476,-17.0092711062,-16.0968155913,-15.6140892894,-10.3078302244,-7.16621026147,-4.76033886806,-1.58931220423,-0.85567968312,-0.973607903187,-4.07676686072,-6.36954108555,-11.1793539288,-14.8910277473,-17.2849641095,-16.8653890011,-17.6665782458,-19.7241765694	3	norm	0.12	264000,,
288539	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	8.37266467092,10.0437131756,9.31960564162,8.63559905712,10.9735186525,12.848628068,15.7453438678,19.7712074468,22.8043015606,26.395210348,28.9087378672,26.1849254995,23.1440346939,19.0991336756,18.0063546467,14.5094329164,10.9072151528,8.70602802225,9.76025784642,9.52960505663	3	norm	0.12	264000,,
290625	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-11.4089011035,-11.2088009197,-11.0051683678,-11.727512073,-9.64724940226,-7.83403818888,-3.50768216461,0.617655210962,3.01108488321,7.32726306521,8.05644907598,8.32088733609,4.80728046071,1.39409816666,-4.65017764536,-6.3587810034,-8.32042786413,-9.82752633906,-12.1008419976,-12.0295527069	3	norm	0.12	264000,,
289457	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	4.37985432232,2.96018389301,5.1138532034,4.34126395156,7.23701582251,10.2854266641,12.0429724182,17.0843268632,19.445587716,21.8482984849,24.4319958976,24.0143985704,20.4156885241,15.9906298659,13.6218767155,8.21007145546,7.2277872531,6.18684716499,4.923491946,2.88352999481	3	norm	0.12	264000,,
290613	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-5.76917361878,-5.29681475553,-4.48923043095,-4.05673742544,-3.60370433237,-1.81260725166,2.61734660369,6.66743003763,8.80628557634,12.7084337904,13.9615434171,12.8324513987,9.06409434276,5.24482143223,1.83452517727,-2.28835638305,-3.49504522886,-3.78833347205,-5.376296074,-4.56883980593	3	norm	0.12	264000,,
289372	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	1.12165143221,1.50704149018,1.56503033012,1.14166094596,3.88709837905,4.79960848029,8.10369369679,11.4477074224,16.2899860037,19.8872490114,19.893620966,19.2505142863,15.3611163398,13.5725830293,9.04852193852,4.37172886865,1.85098025862,1.3287601731,2.3403874861,-0.193989561094	3	norm	0.12	264000,,
288589	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-9.1186641019,-11.3361805617,-9.56756350545,-7.82373333169,-8.95620027672,-6.36763557309,-2.76528888088,0.416998068071,5.01613751342,7.33877778717,9.46501394216,8.08018459992,4.92305962598,2.18494150424,-1.06608208047,-4.17966713381,-7.28190547316,-8.20304676476,-9.23489235503,-11.819758384	3	norm	0.12	264000,,
289263	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	6.47748998735,7.12220716647,6.78747763613,9.05794299772,9.29897481401,11.5087326633,15.1116562614,19.3316611118,24.0531128452,25.5635405189,26.234416943,24.4409508918,23.0013264579,18.3801939267,14.9279518153,12.3040020086,9.38270172168,8.76357202866,8.0787510559,6.55042072549	3	norm	0.12	264000,,
290780	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-18.0669605084,-17.7017438652,-18.7446809875,-17.9889883063,-16.979533501,-15.1756053208,-9.43049525328,-7.07973685172,-3.35097705243,-0.763512515881,0.00744294662191,-0.419041783209,-4.45050674778,-7.90027505424,-10.6173854401,-14.827940845,-15.5531086353,-17.5087807704,-17.207655922,-20.1758038185	3	norm	0.12	264000,,
289458	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	13.0119757675,14.4214138581,13.3359105457,16.125937652,16.3912973543,20.5962674723,21.8745065251,27.0240621169,29.5713316888,34.5775670521,33.0539557092,32.9551679454,29.1454841164,27.3113332755,23.3067152905,18.5293491366,17.5566177721,16.3151793157,15.3149394881,14.3413979534	3	norm	0.12	264000,,
288552	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-1.15440789683,-1.15337898933,-0.58926341253,-1.29900501877,0.363951760798,3.52940691238,8.29045350276,10.18425711,14.2958791376,18.432907897,18.2637908085,16.7086509435,14.2947379258,9.70449967612,5.73205397954,3.60414463508,0.123264257525,1.01586388181,0.516478399573,-2.38668597846	3	norm	0.12	264000,,
289900	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	5.40273964358,4.03929048385,5.9421786254,5.74741028867,6.45110203112,9.29228045244,14.332171436,17.4128163216,20.1742719355,22.8214512235,25.6291309536,22.8453576617,21.0712968496,17.3895581053,14.0871196347,10.887527887,8.44521860393,6.71026020422,4.88663163022,6.30471453017	3	norm	0.12	264000,,
291604	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-19.7137806136,-18.9832720353,-17.2463444278,-16.9102660368,-17.1507992709,-13.4766001152,-9.38332363502,-6.09207995167,-1.89373812285,-1.34223867058,1.52703873744,1.13915444323,-3.23305132006,-5.73887509287,-10.2234286759,-12.7087365835,-16.9138658212,-17.7378455776,-17.698939191,-18.6144877415	3	norm	0.12	264000,,
291987	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	6.77791806241,4.49687358763,6.66678128777,6.82221855496,8.65843608205,10.9854080883,12.6689788724,15.8374458254,21.3349236149,24.08518328,25.8399564448,23.925781613,20.0369590364,16.94247242,13.0155932881,11.2820688973,8.38390940889,7.38471922244,6.75887048115,5.30163740013	3	norm	0.12	264000,,
290932	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	17.5347053464,16.7974835515,17.7945620575,19.3113407325,19.0156669187,21.953776245,26.9337187793,29.5386790938,34.6574954692,35.911853815,37.210854327,38.0975031793,32.8389064134,28.6082026967,24.5815719149,22.189048982,20.6484583776,18.0674813662,18.9810311258,16.7623990371	3	norm	0.12	264000,,
291397	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	9.03375119351,10.0207399883,11.7720695303,12.6100678528,12.9274638593,15.9561720989,17.867853963,21.0578720063,25.0949083464,28.0656846791,30.3854834533,28.5899053249,27.1521849066,22.239913835,19.7919130231,13.7509169415,13.0405769151,10.8329182888,9.36143898762,8.92811917676	3	norm	0.12	264000,,
289655	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.93436544397,2.08479813429,1.79173626393,3.69128682179,3.68463549475,6.8306440985,11.9148952622,15.5813941558,19.6831801167,20.0431665828,22.0661292212,20.0718086332,18.7319421407,13.6018399079,11.5476186795,6.64481200852,6.13437689784,2.81901151346,3.75781727793,4.10488444152	3	norm	0.12	264000,,
291294	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-5.24691474153,-6.31029037719,-6.73584928403,-5.57168082169,-2.27447679486,0.326352919525,2.16416934404,6.3120200558,9.57042902387,11.4418445823,15.4640464897,12.812070087,9.72531627409,5.74879619736,3.56126811177,-1.47395527078,-3.8293896032,-4.71771414417,-4.92044613534,-4.63777931434	3	norm	0.12	264000,,
