ID	X	Y	func	noise	original_trajectory
140447	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-106.601129811,-56.6160714152,-30.9918738051,-17.3475755694,-5.51016795482,1.30513171631,5.91460145076,10.9386067903,13.188917901,18.3865208098,19.7231645903,21.4438994925,21.4490366919,23.6652463792,26.5724455652,26.1237910458,28.8158620218,30.054406275,27.7807514698,29.6610109046	hyperbolic	0.04	132000
142689	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-49.576976005,-0.608440822662,24.3917319375,42.1729698999,50.3072374332,59.0961895748,64.2832277616,66.5393273642,71.8242554365,74.4702762804,75.1298120488,76.5050939675,78.6719308016,82.4327674758,83.2500103534,83.5886445566,84.1931036382,86.6618416494,86.5982425424,84.8807002254	hyperbolic	0.04	132000
141405	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	133.448464809,185.980888069,210.185745198,224.727415841,234.948471458,243.091481095,248.538375075,252.488266183,253.538750464,258.985421925,261.567294686,261.305478219,263.858952275,266.445815977,265.10557402,267.903053998,266.523371677,270.20296664,271.34491555,269.698655541	hyperbolic	0.04	132000
140324	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	63.6121843859,115.660362499,139.767798255,154.910760364,164.109703772,171.804957946,177.640260162,180.841976788,183.447482195,186.923166265,189.843105886,190.784286795,192.44511302,194.973461325,196.668089532,198.302743703,198.66704852,200.144929156,197.8192438,200.695568873	hyperbolic	0.04	132000
140710	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	45.4234595064,94.6568104959,121.648218811,136.553245714,146.570855028,151.361600818,157.811144925,162.493164489,163.707049077,169.237982352,171.590421517,173.641756737,175.495669393,176.727643332,175.52290905,179.219538955,179.143974602,179.610811678,179.920657857,180.477900525	hyperbolic	0.04	132000
141469	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-132.325466505,-83.3876194089,-59.6902662317,-43.0581380639,-32.7474556398,-27.5952987107,-19.934600985,-17.7559586673,-13.6789596612,-12.050101313,-8.52355580377,-6.09573190259,-4.50731397046,-4.98895272497,-2.38124779763,-3.01345625703,-2.29830378512,-0.83908049144,0.0290825579436,0.614309771995	hyperbolic	0.04	132000
140437	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-54.7125993846,-5.05942855625,19.7103235285,33.8676798285,43.7813605096,52.1014104602,58.1187523872,62.6810396369,65.0167907874,68.7086215806,71.0659413547,71.3359296403,73.5549818601,73.6079544728,76.4507877512,78.1131221719,78.9518631685,80.3633815801,79.2366998154,80.7597682073	hyperbolic	0.04	132000
142885	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-7.83533823202,40.9694881654,67.1795027575,79.3010363782,92.2851818821,99.7640796088,102.721937334,106.002682554,110.177920763,114.942481264,116.308826408,118.082215852,121.220287571,122.224710702,122.763246479,124.113094012,124.112781242,125.148528916,125.090284506,126.155447671	hyperbolic	0.04	132000
143147	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	86.9174228396,135.577645144,162.748644614,175.632643086,188.03646003,195.026383975,200.772065364,203.562111621,206.0259182,210.591054979,211.352138306,214.956355713,215.41414286,216.315640598,217.701477637,218.86496178,218.504459746,222.538417899,223.476321528,220.943687178	hyperbolic	0.04	132000
142178	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-58.1412789193,-7.11810634754,19.4394578565,34.4401463824,43.6349609255,51.9840824645,54.3424370131,59.2257671858,61.6529687292,67.5323475181,66.7462951106,71.2167040628,73.4105685123,73.9483037742,74.3155798172,74.2923228459,76.8453067436,79.1231955952,79.5333721148,79.8408909528	hyperbolic	0.04	132000
140843	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-5.04833549792,47.9845096322,72.636640533,86.9994030599,97.5689130836,104.603567606,108.37294772,113.851082661,115.8260078,120.433887373,119.958549578,124.936647183,126.169883138,126.523995363,127.052598212,128.334286875,129.880357257,130.764251165,131.166075922,131.180726068	hyperbolic	0.04	132000
141648	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	7.75574641872,57.7995575236,82.4936377894,99.643303936,108.656487753,117.242613729,121.49550651,125.263283103,128.90403214,131.200188323,135.261939805,136.758825073,135.788839502,140.089260158,140.632940828,141.412415166,143.177356651,142.910983718,145.254218452,144.644551341	hyperbolic	0.04	132000
140177	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	124.018132662,171.834698807,197.455001238,213.091708169,222.697228916,230.691141629,235.519300267,238.85115239,243.102496231,246.674280874,246.608854446,250.880731156,251.802173343,251.169022979,252.315004049,255.806301311,255.704814334,257.334732893,258.243269248,258.263998044	hyperbolic	0.04	132000
143207	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	120.818587682,171.035890238,196.373570424,210.874765568,219.857147473,227.654173366,235.409294998,238.954952489,242.673289036,242.882128239,247.362121619,248.821602912,248.797163494,250.791440204,252.835126178,255.150100254,253.684832069,254.120141606,257.080411414,256.5779749	hyperbolic	0.04	132000
141259	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	18.0248834492,68.9283543182,93.8052954059,106.942270211,119.022865727,126.543149621,130.423486884,134.059125887,139.697798286,141.271124868,144.588889799,145.01667955,148.263481092,146.550704322,149.91105827,151.583619499,149.845526105,152.846368044,154.046359635,153.90175993	hyperbolic	0.04	132000
140189	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	23.8803377479,74.6929851646,98.5605830722,115.592743924,124.125948524,131.964712605,136.206260803,141.600603202,145.847358427,148.627580573,149.049549076,152.525170178,153.806421743,155.742375692,155.588586339,155.83151302,159.309552204,158.881081324,157.959133244,159.836142961	hyperbolic	0.04	132000
140796	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-67.951109594,-17.5549604474,7.92317765447,23.1920458772,34.637686111,40.4775118334,44.6524298871,50.318644285,54.58328537,54.4731130835,57.8811128726,59.6127834417,63.0850112544,63.1550878724,63.5485474371,64.4393635182,65.8480056098,68.3870768221,68.31332863,69.8494788341	hyperbolic	0.04	132000
140655	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-37.0550821901,12.9703490011,38.1413138873,51.7719823568,64.3805201093,70.1306524079,74.5829271699,79.0577336078,82.6963005764,85.9310341165,87.1631037844,90.2033975877,91.1345826499,91.9802038992,92.8326839308,96.3423981489,95.3904447891,97.3189796788,96.7715813925,100.469810474	hyperbolic	0.04	132000
142791	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	69.1215364578,117.777308251,142.418916555,158.419285127,167.575560685,174.640965409,179.372300504,184.912907169,189.440759255,189.120704328,194.286228062,193.520222583,195.53110305,199.449475869,198.270540749,198.48885703,199.502271175,201.113578218,202.431069741,203.363343906	hyperbolic	0.04	132000
142282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	72.2702599521,122.182911005,148.190625514,164.019813499,172.024732814,179.748035923,184.205127769,188.885154267,193.189628384,195.313238853,199.10575721,200.35816261,201.6791066,201.985324386,202.501901188,205.464740009,206.126488915,206.953302345,208.538387774,207.156027731	hyperbolic	0.04	132000
140673	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	123.365443253,175.264218773,199.327471587,213.283534207,223.312906239,229.05531707,237.528348799,239.158786793,242.958501503,248.005892881,247.428103626,249.943957904,252.049935402,255.085234909,255.6584962,257.142954932,255.928313694,257.126034213,259.694497648,260.315300405	hyperbolic	0.04	132000
143908	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-43.4928575954,4.68341330007,29.1381470084,45.2645718527,55.6382487611,63.2533442156,67.0815534932,72.5718590477,77.0447094423,76.728749855,79.7094531619,83.029179805,85.757348245,85.4057774353,86.0380807442,87.6303257915,89.3183130205,88.7888553458,89.6898228093,91.397188718	hyperbolic	0.04	132000
