ID	X	Y	func	noise	original_trajectory
317573	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.551018966,211.277154239,213.253697951,213.932773146,214.790651965,215.117178205,214.745644168,215.599586276,214.318957911,215.608208841,214.975220052,216.432273597,214.985386828,216.577518098,216.871701898,216.53459946,217.45077213,217.838991084,219.052890924,221.577456111	tan	0.04	308000
318086	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.556061809,204.552897892,206.653675803,207.740379362,206.65980502,208.760762554,207.536768211,209.139237396,209.311064846,208.982587433,208.200924696,208.593288646,210.020415187,209.963436415,209.475159969,209.96188853,209.501921397,210.919275384,210.85239339,214.208539798	tan	0.04	308000
318140	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.06310975,190.210447484,190.159928877,190.686006122,191.494663872,191.356621158,192.253519942,192.726059572,192.249319053,192.937983014,193.17012728,193.365196752,192.554091448,193.637952568,193.734611897,194.318945049,194.429342448,194.714071165,195.126131166,199.112493891	tan	0.04	308000
316791	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.565153992,210.695993641,211.07686475,212.311671793,212.867853536,213.136693689,212.083033757,212.724091936,212.709655656,212.938741788,212.850905597,212.74105967,214.375333518,213.297013708,213.764356966,214.328928762,214.96274292,216.260591334,216.101112678,219.032351887	tan	0.04	308000
316564	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.509925252,196.046837394,196.301580145,197.461186561,197.224693872,197.556570714,197.914847229,199.230054442,199.280756752,197.763943529,198.92125695,199.413876962,199.234253761,199.370186927,200.45505831,200.203734454,201.167676003,200.338685826,201.992063033,205.798344949	tan	0.04	308000
316586	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.805499903,183.17135688,185.493529579,185.518757538,185.611435538,186.804943949,187.103028983,185.668732928,186.484500183,187.129016483,187.524017379,186.212174566,187.732449391,187.329650411,187.179526695,187.43031242,187.46313749,188.56418906,189.613779963,192.61411521	tan	0.04	308000
318040	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.229906909,189.631059305,190.256541854,190.862771951,191.580945002,192.617756112,191.347583739,191.91608501,192.473056421,192.23394952,192.796703243,191.82725642,192.300820658,192.453610001,193.685385139,192.680025403,194.823274146,193.939764778,194.837931107,197.996330388	tan	0.04	308000
316778	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.427333743,207.257658486,209.053451076,208.2934453,210.213839927,209.588111741,210.152636431,209.711710438,209.462735533,209.739378644,210.060819762,210.799146723,209.890010301,210.466432766,210.641320494,211.527160053,210.972843144,212.880010886,214.386106721,216.03306172	tan	0.04	308000
316262	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.955093325,183.913523199,185.07637741,185.311761204,186.458594618,186.910281478,186.421276623,185.539452722,185.660422507,187.64656202,187.726550355,187.436952396,187.739100687,187.281182637,186.908474199,187.23659277,188.152057352,189.785395146,189.57447391,193.294682652	tan	0.04	308000
317201	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.484735331,183.997099816,183.985435156,185.219071137,184.576157362,185.951395912,186.312120503,185.03047514,186.89450713,185.883076592,186.257764774,186.16621295,186.653773176,186.579143282,186.314720713,186.462952978,187.373221058,188.036621281,189.469004209,192.024127721	tan	0.04	308000
318411	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.007106963,179.606401476,180.944945065,181.368886976,181.049612539,181.20071845,181.552039447,182.71475487,182.060609569,183.022330272,182.085755764,182.496873718,182.831894275,182.661062532,183.343615615,183.694587173,183.410648691,184.127127446,186.218513178,188.255499636	tan	0.04	308000
318885	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.333400876,193.754370968,196.470736387,196.467895207,197.132249163,196.124161649,196.816344066,196.468796394,197.735815861,198.213506459,196.917569916,198.301877838,197.411761707,197.91770401,197.649329706,198.613898862,199.880813649,199.32816605,201.529899377,204.436310723	tan	0.04	308000
319380	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.809665662,192.754073944,194.306303132,194.490739069,195.778455132,194.400965772,195.339652094,196.315354699,196.05872386,194.930606739,196.74731362,195.395743978,195.967052438,197.154407557,196.876385992,196.658087734,197.605114495,198.291131439,199.569151854,202.534881232	tan	0.04	308000
