ID	X	Y	func	noise	original_trajectory
142095	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	129.18240193,178.839300755,202.853104692,217.847334247,229.299637816,235.109216943,241.247691595,247.328869031,249.860742959,251.532554881,255.493471937,254.667501729,257.176292053,258.686867735,261.838366389,261.674484656,261.697344626,263.640771961,263.392388655,264.778799032	hyperbolic	0.04	132000
140451	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-112.944320822,-64.9623148304,-40.473122859,-24.0416942964,-14.7503202853,-8.28189530761,-2.14970335948,3.5574220165,6.48277367909,7.46463468012,12.5420794525,13.4311683206,15.8513022977,16.1792916742,18.5794372298,19.6280565709,20.7717070434,19.3430722965,19.9394583159,22.7495819317	hyperbolic	0.04	132000
142786	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-128.106317727,-77.0063302649,-52.3144054979,-36.2889673186,-26.0605387767,-21.2354766246,-16.7868942675,-12.468173526,-8.55868376623,-4.2103735563,-4.1962116836,-0.117281821607,-0.220041293887,3.54006478097,4.87168553824,5.5722651911,5.05582479595,7.08266968281,7.78771644412,6.55444299402	hyperbolic	0.04	132000
143946	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	73.6130355048,122.763286147,146.994158265,163.09693893,172.426879625,179.02671347,184.192301882,190.283628454,194.071235077,194.872453195,197.840304164,201.126722516,200.123858079,202.205383274,204.945984033,205.642591933,204.47429573,208.618539894,208.776145358,208.253730919	hyperbolic	0.04	132000
140779	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	132.906874239,183.74171523,207.856641516,224.117892047,234.047415052,239.126975294,246.001582527,249.123304931,254.241880686,254.193689245,257.257415084,259.359358596,263.375186431,261.518016086,263.986182253,264.324010398,267.6777171,265.806128071,269.179839225,267.587773182	hyperbolic	0.04	132000
143427	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-126.991731517,-77.1507266365,-51.2284882305,-35.2811476494,-25.7936673839,-19.8397433806,-13.5875201624,-11.1641986246,-5.39512505202,-3.08248047382,0.424062363725,-0.337845295913,1.28330882007,3.6368982648,6.25184009203,6.53881853657,8.25609845699,9.14683079813,7.31509862589,9.51732607371	hyperbolic	0.04	132000
140448	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-125.181680222,-75.2099168511,-48.6459960921,-34.5921153547,-23.2419490272,-17.3404373304,-12.067232184,-9.33375402379,-5.13974126254,-2.9196762303,-0.947996111175,1.53581035593,2.32426293554,3.83005102474,7.8032257377,9.27228570158,8.98114693016,9.57004343751,11.3909718245,11.6434161798	hyperbolic	0.04	132000
140895	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	18.0306552539,69.1291716602,94.3646546274,109.319919218,118.099606433,125.083669235,130.84690339,135.551947792,138.163767178,141.717895193,144.450782728,143.96492234,147.744800274,146.515131806,150.29858524,151.574663327,153.045355847,150.685335763,153.257331722,154.25604958	hyperbolic	0.04	132000
142206	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.4602061677,139.806008714,163.360471757,179.295536672,190.999438658,197.500927176,201.792503871,204.894191488,208.011726421,212.35268622,213.42868439,214.821703155,219.016780691,218.438329416,221.699677792,220.483079782,221.291459376,224.072397168,224.368908117,225.718413116	hyperbolic	0.04	132000
140843	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-5.04833549792,47.9845096322,72.636640533,86.9994030599,97.5689130836,104.603567606,108.37294772,113.851082661,115.8260078,120.433887373,119.958549578,124.936647183,126.169883138,126.523995363,127.052598212,128.334286875,129.880357257,130.764251165,131.166075922,131.180726068	hyperbolic	0.04	132000
142232	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1.99355839972,53.3843301511,77.1672648215,91.6026900156,102.906248478,110.514457297,115.778824164,119.157932952,123.623434036,126.013168058,128.266207712,130.843803985,132.69948899,134.016888295,133.539785059,133.363914066,136.055230082,136.509034671,136.85030804,138.789674482	hyperbolic	0.04	132000
