ID	X	Y	func	noise	original_trajectory
151353	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	119.996412295,171.85422209,193.883330387,209.26032114,222.04410455,225.151336704,235.287515727,235.754734808,239.694120639,245.065838073,247.033134997,247.254608122,246.402943563,250.673142531,254.759145909,255.41482703,255.504733265,254.324526663,254.763972222,253.997800197	hyperbolic	0.08	132000
149557	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-97.6796742961,-48.9907424329,-24.7259208142,-4.84508121667,3.7635034893,8.52075086268,14.6058825477,18.2982573537,19.9576778087,28.6872740369,26.5385283786,32.4058459605,30.4038390393,35.4897213103,35.9674027091,33.6290124811,37.2759856811,40.5736025591,40.3625999775,37.1049588092	hyperbolic	0.08	132000
149067	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	126.188955496,177.584115259,199.987172606,213.896088911,224.065144498,232.998005504,239.619529535,239.056774127,246.190688513,249.342889751,251.043840916,253.146342627,251.132394661,255.195931987,257.379677915,259.257359065,260.484568874,259.627295499,259.620354727,264.018901162	hyperbolic	0.08	132000
149026	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.4098065734,137.989972361,163.26820376,176.241871546,187.673718699,194.94702787,194.720839155,203.275731346,206.949985106,204.787531932,209.112905072,210.714140473,210.419268487,214.014411249,215.236554255,219.289196821,220.0682785,221.611211088,220.703013561,223.273982407	hyperbolic	0.08	132000
149627	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-47.7442459189,0.843585755339,21.9243884631,36.1263794243,49.4273019112,56.7457463008,63.6584041726,66.0180101918,66.2870618314,70.7468925141,72.6798467242,78.8444685479,76.1727450018,81.9992376585,83.3739724327,79.2586429627,83.2990599287,84.5539042609,82.4891214095,81.8949960667	hyperbolic	0.08	132000
151021	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	110.072774952,159.812641415,190.775130954,205.190213981,213.369118977,221.956244522,227.067946218,232.003683222,230.230158473,233.66815821,239.825586691,241.372121008,242.981158756,242.680173168,247.03018229,247.201747497,248.085798146,248.898961159,245.30338048,247.828067481	hyperbolic	0.08	132000
149520	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-33.1581221973,14.3168665421,40.1165674042,59.7210389272,65.8807537109,72.9846328542,78.3268054129,87.2464051844,85.9281631428,92.3358681933,94.6160857558,93.6732323024,96.456925245,97.3813257427,100.996788554,96.6927043219,100.675492574,99.3988685222,100.012492811,105.593091571	hyperbolic	0.08	132000
151955	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-20.2537489602,33.8360241853,57.5853375639,72.468775328,81.0026320948,89.2581971834,94.2526248591,95.6117211132,101.449052232,106.935288445,107.904225002,106.390677227,111.320452903,108.709104046,108.847822839,116.382303975,110.865142413,117.610542129,114.270722048,116.70730765	hyperbolic	0.08	132000
148275	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	4.99495006711,55.7842852961,80.986954562,98.3308789443,104.859733377,113.079498934,117.179039359,124.6708054,122.92752325,128.172784495,131.420942984,130.390688712,134.353152374,134.578291898,136.39400061,138.282078501,136.005621628,139.371070459,141.93958678,138.956307357	hyperbolic	0.08	132000
148259	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	63.0918444594,109.692242819,136.028781316,151.417264747,160.639083098,169.42874724,177.416413715,181.118930416,185.308454636,185.527386296,190.45028835,187.985287295,192.055973355,195.336200253,196.252098851,193.157347231,195.077179915,196.339944672,200.409578917,201.620432152	hyperbolic	0.08	132000
148779	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	110.857945098,161.546384605,189.752613845,201.854989187,210.532909718,216.8711648,222.872041414,227.919055224,235.391628004,237.072585199,235.4655592,237.557603589,242.576229064,239.719334714,246.270004831,246.924914556,248.122612293,246.857635124,248.266214094,248.332657366	hyperbolic	0.08	132000
150767	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-121.19219211,-71.1877743983,-45.0198676687,-25.0592120688,-16.3097707247,-7.83621335203,-4.42669386177,-1.19474603895,-0.827156502322,4.35115047021,7.85863784109,8.54963724585,8.88917162249,14.2396898479,11.261284165,16.5842154299,18.4282916582,17.5599763661,14.2705081972,21.0954332822	hyperbolic	0.08	132000
150313	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	63.710305252,119.416099292,139.985851853,153.075348996,164.861355831,174.730916429,175.958644785,183.289851284,185.146732138,186.212979706,192.413415321,192.294323914,193.559566632,194.010964529,196.961696524,199.737353524,199.612109618,198.542495589,197.758038894,198.685065106	hyperbolic	0.08	132000
149361	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-126.997787995,-75.1282592147,-50.8354192129,-34.2775084113,-23.2671655916,-18.2360860728,-12.9049642538,-8.23403012962,-5.86695741147,-0.0694004081813,1.71247267701,2.07136670836,4.07762107917,7.87934779996,9.77131025717,7.85297691007,7.58530401521,10.3110626809,8.57118023003,14.2263215135	hyperbolic	0.08	132000
149908	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	102.190214619,149.881286538,173.470796945,191.632165422,198.107790348,207.606298477,213.826712483,217.790669962,218.851785774,219.096938971,226.424773806,226.87424438,228.867546451,228.25349423,228.670809105,233.992835649,229.838294325,235.240491784,237.519112289,236.78691984	hyperbolic	0.08	132000
149691	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-80.1295329427,-25.1593185798,-2.0156725109,9.10926582844,23.1141242664,31.471647366,37.344333562,36.8414093748,39.0982665855,40.8517253729,46.9520857443,46.9396297646,51.0226881699,49.3180756029,52.8499976626,50.6105809993,52.6831278948,55.7442247308,56.1814938582,58.2347465634	hyperbolic	0.08	132000
149969	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	107.97121147,158.742819625,183.152886916,197.362719025,207.477612979,214.617689448,220.8818959,223.027387316,226.303376039,231.655476952,232.28473214,236.18702225,233.26495004,235.02331275,236.438042663,239.812742612,242.167552066,238.55355015,245.364111397,244.256099059	hyperbolic	0.08	132000
150443	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-94.4917610581,-45.7138586079,-16.737419938,-3.98772472936,6.32502087534,11.5353025693,18.6293764667,22.0428449418,25.716571583,32.2752348021,28.6702909277,32.353750149,34.1444668474,35.6300966564,35.6751176419,40.9946107482,41.6734358762,39.1860214465,44.2502817939,40.0542095537	hyperbolic	0.08	132000
149910	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.133945805,124.836478429,146.060006784,167.089602546,171.767510063,179.517338469,184.239593565,188.717839431,197.208771358,200.017227495,200.64385793,200.037390846,199.357953886,201.682188757,204.923537514,208.583779147,206.91605804,208.086522485,209.318289528,212.691087424	hyperbolic	0.08	132000
148823	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.8287421929,133.036612058,158.563451011,174.828360147,188.240576015,196.101883112,198.795058661,204.365287189,206.705600466,206.110235134,208.620518828,214.764169372,213.088417575,215.320572983,216.090457564,218.478371679,218.955030159,217.970566131,221.848996015,221.167558916	hyperbolic	0.08	132000
148128	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.7144608463,128.057519477,153.567991736,167.384267384,179.160133525,183.466171181,191.42288633,197.963170941,198.030758704,202.173511849,204.433692483,207.355830861,206.445180806,209.531742701,212.38148077,208.955306223,215.836546348,210.800501279,216.731344706,213.687419046	hyperbolic	0.08	132000
151450	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	105.794446229,154.390904299,178.549527657,192.153524814,201.1102989,209.68264628,217.554527602,219.666697394,222.227054725,228.907369922,226.063153754,231.246483607,235.01435424,233.8069038,236.144115888,232.642578228,238.81391469,239.721583682,236.876990732,240.760316283	hyperbolic	0.08	132000
150655	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-18.4539499992,30.7935487288,55.0987494912,67.9899831123,82.1270033011,86.0134695526,92.2682720126,97.442560563,99.0986588988,100.580337307,106.387993869,107.876529151,107.017328017,109.916846304,109.426408346,110.18859356,115.55348345,116.511999468,113.93187651,117.677381959	hyperbolic	0.08	132000
150329	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-57.3842848149,-11.3471332149,14.4161028493,26.4981508153,39.1595689192,47.3107217542,53.0342820676,55.9262280597,62.4506151809,64.5424561313,62.4288063763,63.7785802296,71.554478378,67.4420797453,71.4770893723,71.2658540143,73.1514712291,76.4696994831,71.841007467,75.1542133188	hyperbolic	0.08	132000
151700	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	43.691591383,92.3049464729,120.445093231,133.071730256,144.666926578,152.443136364,155.11908501,161.131711486,163.741533622,166.625508209,170.587784618,172.275208257,171.746527363,173.878423983,172.805177479,178.149615209,174.190276501,177.101539207,182.423595004,176.408828143	hyperbolic	0.08	132000
148096	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	4.40320690835,57.7043285704,84.458584259,93.7143405371,106.427959625,114.246148346,118.681091032,126.411169851,123.152730728,126.791701426,128.64808655,130.534986787,133.102671292,139.311714965,135.024730995,136.601550884,137.240358884,138.297690828,143.090043501,141.125491909	hyperbolic	0.08	132000
148772	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-5.65641431622,44.6057986416,70.992932669,82.8917358132,94.0750827796,99.7665511228,105.006439816,110.113192477,114.595410661,118.549688983,118.602616664,122.489575469,125.342356134,126.577678394,124.364401071,129.549681035,124.825749805,129.964435544,130.029430852,128.691503273	hyperbolic	0.08	132000
151880	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	29.8473020211,79.0973474537,99.1154877556,115.594520333,127.096995273,133.606023577,135.678366385,140.358550833,149.674310307,145.954882393,153.76042069,150.836572546,156.694343415,156.368067407,160.361095452,156.097553234,159.945987824,159.536905805,158.184046933,165.608692028	hyperbolic	0.08	132000
151528	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-4.34657628446,45.0374810991,68.5642220414,81.5635228831,96.0630728585,101.305754601,104.106286028,111.825495616,113.761142844,117.249467713,118.126762053,122.579777199,119.870359144,122.490938253,127.861381956,124.110474945,127.298861149,131.27362566,129.524409799,129.283765488	hyperbolic	0.08	132000
148207	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-104.161759581,-53.2170395449,-31.953442558,-14.768274631,-5.58514547304,1.22970276217,4.27874840394,13.1631570394,15.3761824667,14.7011211364,16.2893131789,17.982328261,20.48488357,26.3872799296,24.7301262903,24.8457794301,25.3147989785,26.8925660365,29.0427350718,28.2974735122	hyperbolic	0.08	132000
150745	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-64.510475916,-12.6264740546,14.3222507991,23.0587938302,35.872707163,42.9332981109,45.2406270422,53.0692800009,55.1991259794,59.5263861297,59.5366048238,65.493959293,67.2817369149,68.7883555699,66.1457793881,71.4913657966,69.8215728561,70.4561219225,71.7638468271,71.2604913102	hyperbolic	0.08	132000
150364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	83.6553463059,135.473071075,161.019776224,176.376135609,186.847657972,189.707938353,198.742565372,202.572152284,203.4053522,209.75899331,213.377658014,214.321227931,214.049351369,213.586956228,217.847018361,215.734185994,218.024754104,221.878997443,217.29557761,221.118526263	hyperbolic	0.08	132000
148112	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-77.9508811287,-30.217381372,-2.95602464368,12.0499112154,21.4685428494,27.1498544954,36.710107856,36.9074337628,43.9370420764,44.6762144664,43.7307825571,48.5160863732,53.0125640264,50.8095288765,52.0710805418,56.5156882701,58.4798721422,53.3199349102,58.7455407676,59.4728716233	hyperbolic	0.08	132000
150300	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-36.9835003222,11.7479877757,35.2164438805,55.5377583067,61.2801191406,72.5840164621,75.8608744695,82.5528086019,86.2061890363,88.012256502,86.2215012503,91.4002789051,89.9673405345,91.9554824017,93.821867057,97.9341405657,95.2743743784,100.606834167,98.6375334584,97.2720590219	hyperbolic	0.08	132000
148975	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	32.8603053312,82.4282209245,106.883894001,122.875475823,135.109229618,143.61203039,147.165673116,154.376917429,155.014216948,154.339644254,161.737219209,162.374622401,161.523415432,161.454132097,167.344863582,169.69810675,169.830739159,167.525859598,166.375135812,173.753236528	hyperbolic	0.08	132000
150506	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-89.8743298554,-40.9527348862,-20.9749941997,-1.59096376684,6.02218670846,13.4609481626,16.1453431742,24.2646853836,27.1191026399,31.8991354498,30.4018561981,35.4456925752,35.3632498788,36.4286047311,34.7412602493,39.8675883601,37.1382683663,41.9124091734,43.9493259432,39.7016401369	hyperbolic	0.08	132000
148914	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-129.355477873,-80.9162546505,-50.7603985788,-34.4023933015,-28.803390461,-21.9596634241,-15.8006235198,-13.4057703877,-5.77480776784,-6.22008310792,-1.77698764359,-1.28828390268,0.784343976456,-0.763834753397,0.517432719037,3.74595432697,3.64877388881,5.24118316994,8.4226740171,6.20169299088	hyperbolic	0.08	132000
150096	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-129.437749102,-73.5256435703,-52.4969932631,-37.6278921172,-23.4309038319,-19.8767560205,-13.2431782645,-12.2189885939,-9.34416148209,-0.804860384234,1.9717780299,1.75548600046,-1.22211145553,3.68035180452,5.57405214209,4.55539567769,3.52250138778,4.38737664193,7.8694072744,12.3630531691	hyperbolic	0.08	132000
