ID	X	Y	func	noise	original_trajectory
325079	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.152944947,182.232928059,185.988970572,184.871103921,185.495245669,185.691350525,186.528801818,187.649829156,188.2095781,186.74174719,188.082969923,188.167307934,187.248325845,188.124431396,186.45527133,186.242858156,188.386016894,187.488815354,187.823860968,192.11522738	tan	0.08	308000
327279	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.436621139,217.801471566,216.74850698,216.415712375,216.800470638,219.04629686,218.922127537,218.886923795,220.392103772,220.782022292,218.659410429,220.601739404,218.956377114,219.669927311,218.280715539,219.430579975,219.684454636,221.73668274,221.160085288,227.215534508	tan	0.08	308000
327727	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.520852832,176.104087689,180.762744923,179.286000214,178.575973072,181.357819623,178.487675387,179.21302514,179.127560528,180.674179833,181.169069385,179.857346377,180.256258952,182.550100442,181.726134917,183.826871599,180.843193769,182.780187214,185.508445647,185.537041918	tan	0.08	308000
327970	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.614178421,182.283057613,185.326596899,184.968481975,182.763900577,183.255564503,187.06766268,187.185177448,185.796336269,185.980397988,187.185438864,185.847980809,184.655350228,186.57675493,185.433750143,186.906374768,186.474474207,188.408548311,190.26539631,192.411658671	tan	0.08	308000
324431	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.308492148,190.910447218,193.08400957,191.886605945,193.214568607,192.2956146,191.74475583,194.164339415,194.595728455,193.621600911,191.916821504,193.03702917,193.21268691,193.849063476,195.15446196,194.199953457,196.166636331,197.155317577,195.174120035,199.737648773	tan	0.08	308000
324434	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.860805247,202.132187827,203.865173899,204.015678566,205.055544606,204.661732276,206.420804126,205.209733278,207.068645456,205.0608447,203.410793041,206.295509863,206.85646264,206.423210678,207.506597001,204.747950706,207.443792318,207.136394786,207.304864546,213.296252939	tan	0.08	308000
325700	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.8658805,193.551691297,193.47373124,194.988805053,192.903033187,195.323789117,196.523395922,195.204358307,194.236549112,194.542696674,193.620222983,197.035484093,195.991132753,194.700931381,195.027417114,198.008587366,196.871280778,198.311764501,199.422494322,202.634233688	tan	0.08	308000
326906	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.613544252,207.440639226,210.504222707,212.503677718,210.99998446,212.696295566,211.782919506,210.555890737,212.633012779,213.147573334,213.693890943,212.741208622,214.4504295,213.994466109,211.693705253,212.654893588,212.000863501,216.431742732,216.66677226,216.922501484	tan	0.08	308000
327622	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.107331345,215.789330745,214.346931589,214.543409734,216.807368685,216.595182199,215.83019512,216.955876854,218.729047581,215.596534836,217.155060476,215.991256295,219.250096489,219.537856887,217.427514915,220.012497421,217.550464921,218.429826618,222.270213977,224.056207903	tan	0.08	308000
327979	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.343304633,201.34579916,202.332483049,201.929653851,202.199447747,202.992056824,203.707266479,206.334743782,205.380761402,205.116630591,204.104398791,206.460029748,204.662190529,205.41146656,205.913649701,206.178977753,205.928602989,207.747098146,209.346256378,209.085905745	tan	0.08	308000
