ID	X	Y	func	noise	original_trajectory
158850	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-76.9780851808,-28.3356928351,-3.03296141792,14.2274939579,24.8494154177,24.559659744,38.0591249941,34.1461022194,38.8752404632,42.2147774172,45.6160335299,47.2690325659,49.4806933485,46.8719586851,56.972187052,59.106824158,56.4246587269,58.7046669656,52.7870262203,54.7405249828	hyperbolic	0.12	132000
158596	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	32.1363091164,77.3247875751,101.767203946,120.416522757,130.898043491,138.616586113,138.873173667,141.187889239,146.942616353,149.158135761,153.508838423,153.113045801,155.358128395,153.82842122,156.199483395,164.121380075,160.290305952,164.560080771,163.331526002,168.814477373	hyperbolic	0.12	132000
159158	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	13.2901125448,57.7209093488,85.7778836583,101.905664502,107.335194407,116.32639125,127.030158442,125.940339668,134.7787884,130.762792942,137.395977783,142.091927506,134.939747717,135.763350082,144.372981623,144.250731519,141.410719775,147.211514375,143.189389501,144.51949646	hyperbolic	0.12	132000
157950	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-108.827472413,-57.1710719671,-29.3382353331,-11.2688468035,-0.297533848252,-1.4748572325,6.63642692301,13.1117389007,10.079392662,19.6736660473,16.4415071235,18.2982019627,25.957028343,30.0264068838,22.1664283669,22.323846629,28.4278141545,32.97088736,34.3973526905,27.5033578162	hyperbolic	0.12	132000
156572	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	35.0650019146,80.2082551414,105.777552509,121.787025045,135.586975016,141.302544309,143.047795371,147.507359906,152.323292727,158.950123742,153.153000037,156.594296607,158.852921951,164.776204789,162.754325978,159.978034709,160.030544935,162.985273051,168.736602429,167.024001799	hyperbolic	0.12	132000
157265	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	38.9951489322,88.8704621222,111.766892122,128.102521609,132.745156658,139.831016897,149.55943256,149.222246248,157.468788766,161.001945814,163.750798829,160.463326908,159.293307107,163.164298697,164.667387595,166.692458885,164.466951049,166.347181068,166.752784243,173.757020982	hyperbolic	0.12	132000
156023	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-124.380459528,-73.0830900962,-48.4543883694,-33.3700059894,-24.5515923404,-19.2004519513,-11.5909252022,-10.8620779427,-9.95131088024,0.256676721546,3.10779077582,4.62197753883,8.37222391657,8.69511238562,4.87025471035,4.65903441497,7.05360643279,9.07539359935,6.22317483825,11.6068951561	hyperbolic	0.12	132000
157866	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-122.652658926,-66.5784051841,-46.4085114493,-35.6848869162,-19.1021706788,-15.0582808808,-10.66496376,-1.47664832886,-1.67174367949,3.85296345544,5.63065216595,2.03523237946,9.42762412275,6.93326244163,4.87473383663,7.74224863188,10.1480810983,14.5934523841,17.6772806088,18.6180732746	hyperbolic	0.12	132000
156626	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	130.020226636,180.203788833,207.100805474,221.65467329,224.649691152,235.697676948,241.983158708,243.154565224,253.812629009,251.256481948,251.999492332,256.802664188,253.449219333,256.979603569,263.769847289,262.17314402,266.369648035,262.151400506,260.240601637,263.620624531	hyperbolic	0.12	132000
158589	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-114.889337908,-66.6140847992,-41.3379161756,-19.6891929462,-8.8849989622,-5.02773872446,-4.65637144364,0.991882258214,8.2621235634,11.8736650675,14.2721160093,10.6828976371,13.8958150324,15.8772960137,17.9630128121,14.7456583053,24.2960971417,26.3574541645,23.29550438,17.8552691036	hyperbolic	0.12	132000
157304	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-122.468871121,-73.9916427613,-40.58758259,-32.7253750666,-19.0124715264,-13.124826109,-9.35602852616,-6.82455904903,3.26542518627,0.130737953551,7.34363444318,2.13695931676,4.74328783232,11.5158666594,15.9191370374,12.0849324711,10.3624413418,9.43133709973,15.6538878411,14.8773575578	hyperbolic	0.12	132000
158767	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-117.657579142,-63.1120959486,-39.3534560005,-18.579419805,-16.9938423635,-6.44527876135,0.682246415423,7.08199607034,8.01084429165,8.52041182564,10.8278228254,17.5029092974,13.8174240211,12.4227978563,16.0074414502,14.1480042812,16.7305231333,16.430796319,17.5997616217,18.7908584629	hyperbolic	0.12	132000
158523	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.4944263108,139.989618074,159.168891006,179.525706086,180.840102494,188.436173394,196.718207851,199.793148089,200.549976896,208.157569813,215.147916153,208.140278983,211.672906519,210.984964094,217.583126777,214.089532127,218.172312448,222.417544718,215.132537283,224.91940113	hyperbolic	0.12	132000
158360	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-93.1774540166,-39.7291643016,-19.6412536852,1.90285238153,12.5089099503,20.7742613184,23.7771419818,21.9951795754,24.9809480836,34.3257843166,33.4706392158,34.1844422308,38.5282179783,41.5304523368,36.9643066114,43.1808561151,43.2453393276,40.1875641622,42.4006217254,40.912805321	hyperbolic	0.12	132000
158234	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	35.0376811739,88.722618076,108.533543286,129.969612539,132.839712047,138.705120349,146.637102759,152.795954895,160.499838626,154.093002178,162.832173876,165.083736936,169.304213692,164.432708543,170.245831149,165.009652461,173.711413208,173.073121623,170.339689307,173.994550699	hyperbolic	0.12	132000
159767	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	10.0597303323,52.908022027,83.2914137872,97.1568059835,104.098145101,119.011823495,121.383719675,120.09533094,128.14254145,126.259902448,137.206700371,134.355396027,133.924332687,132.818562348,137.489595232,135.676502451,145.606447874,144.062474541,143.408326263,139.383402779	hyperbolic	0.12	132000
159009	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-112.851122617,-69.2312194278,-45.2538505062,-26.6129407466,-12.1846108942,-5.80828145443,-5.99205084568,-3.46555463917,5.50174976876,8.40745809324,8.35863779782,14.3719439968,12.0067611983,13.431810843,13.9904513823,18.0387301346,18.6068364379,20.6916233036,14.5305810238,16.9055191743	hyperbolic	0.12	132000
156227	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	86.8050597544,141.316892513,160.700441498,177.560047257,191.74548073,194.764557297,205.661705701,202.590998818,208.062363278,209.317102183,212.576241932,222.086676874,215.567697565,218.964179739,225.199581244,221.98250521,228.798854253,229.119712631,226.549071031,222.279276232	hyperbolic	0.12	132000
156395	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-53.3593300686,2.7789515696,21.3855354954,41.5915617547,50.1678655057,61.9190586599,58.693162689,72.1780670124,70.9956194112,72.9374079094,74.3710132685,82.338277178,73.99569629,85.3699737606,76.7706597234,82.2176559952,81.8680073195,88.2359115433,90.4446320702,84.847795845	hyperbolic	0.12	132000
158207	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-92.1501116542,-32.5254477427,-8.33690617542,2.46321859216,10.6810202597,24.502676219,26.6262528448,34.6352322256,33.1232627772,37.7091491881,33.3132030863,35.1181708698,38.9515565713,44.597639976,43.8616542925,40.7055738023,45.2290238421,48.5166260401,49.1139077684,46.9494455359	hyperbolic	0.12	132000
157282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	110.707767483,157.912757829,184.83710721,201.094356403,208.599079923,221.178466313,219.642892077,231.742206102,236.244409548,237.693986547,232.400236225,238.828709422,244.138576484,242.368034899,247.240672425,245.688686497,242.883481312,247.028026091,245.352137561,251.863926235	hyperbolic	0.12	132000
158883	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	32.7115766749,80.1108023715,106.24946518,124.685339789,138.078466435,138.412864456,143.547783513,146.970170763,150.837855189,156.699117159,163.036413178,156.737426069,162.107766717,164.151759073,165.861307388,166.142018644,163.312129209,169.940545737,169.591867965,169.379696536	hyperbolic	0.12	132000
156872	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	121.022849685,178.307805386,198.032147906,216.077856758,229.549035465,227.687993126,240.425303256,245.539495908,241.875681156,246.012627355,254.071439708,254.807095019,256.401806953,253.70787836,252.307165631,254.039591203,254.758628448,262.989153142,262.444237227,259.511291131	hyperbolic	0.12	132000
158138	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-132.938805281,-85.7028719699,-53.5326892364,-38.9908220039,-36.6642175803,-25.5461849782,-21.0256844566,-17.0887594218,-13.198528276,-13.4080918836,-7.63594053475,-7.82276966116,-6.1620536364,-3.64559754677,0.4020389942,0.541963035684,-4.11988457854,-0.66298209007,2.69393932656,7.38817405322	hyperbolic	0.12	132000
158200	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	27.1524932748,81.951880564,110.291092075,124.701743258,130.24607907,134.982850004,138.807435498,145.540615069,149.966032352,153.615303748,157.700873039,161.924824768,162.458532397,165.426511612,164.522397867,163.446404276,166.988809172,165.128552619,161.660223695,170.356202445	hyperbolic	0.12	132000
158036	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-93.4989796962,-36.8423697037,-12.3212933498,3.90385200147,13.1100930118,14.0658294861,17.888850727,27.5073214971,26.8966562243,37.0579791082,38.914362649,41.1061743954,38.3198211428,43.5934646083,45.4205877522,38.1631142606,40.2208723689,43.1005697507,44.2634576928,45.7501156652	hyperbolic	0.12	132000
157402	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-10.6410002947,41.3114637744,62.7713937484,82.3377297459,92.6821065573,98.2202081509,103.03727945,110.087607251,113.368964387,112.421520125,116.098578323,114.41833088,119.11008815,123.20297415,118.891614099,126.854326723,127.912102333,130.226830438,123.111765538,125.250432518	hyperbolic	0.12	132000
156229	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-72.874431422,-23.9866028453,3.95708697751,23.6542103097,29.655782918,38.3807909662,37.1218005331,41.5713865253,50.1697906961,54.2139625857,51.2464066623,57.7943527573,58.7795442979,60.3667400986,65.5795853715,60.6644638663,60.6180947334,64.8882739137,68.8341158922,65.2938599569	hyperbolic	0.12	132000
156285	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-63.2516807742,-7.87399439293,18.1467351566,30.8155356306,40.4522980078,50.343772211,52.7388861968,60.2334211404,64.8833680074,60.5010884203,68.8932444384,63.316138038,67.6088906568,72.6427723448,71.2138424268,75.3080249566,75.6176857881,77.1547698528,71.5462298132,78.3326579101	hyperbolic	0.12	132000
158547	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-73.0615772629,-20.0887708333,-0.467631557071,13.70888111,23.8474449904,39.6819283259,42.6090306173,46.8198663074,48.0562371466,49.6878919611,53.4613854966,57.8308565228,59.8466749833,52.6215989243,54.7302608021,59.9513453885,61.0173270135,56.7573204089,58.9122540564,64.4754959796	hyperbolic	0.12	132000
157415	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-70.5269081047,-26.4219246416,-2.83629252126,12.3037831542,29.3098710412,29.3615468331,40.8733429295,42.8720531221,50.6854801329,44.5800594492,53.1470646277,56.2609220439,59.2089035126,58.8212869872,61.0849282962,61.5566361146,55.7373479401,60.714574062,57.6363429853,64.2247586404	hyperbolic	0.12	132000
158280	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.7477845987,110.338202419,129.649356446,150.325520502,158.95968968,158.578535945,166.951822581,173.290583734,173.504959745,174.379383595,182.977467469,187.351123113,189.782201293,185.405720865,189.739467594,189.673640381,187.499894273,190.931825326,192.329407383,197.221770419	hyperbolic	0.12	132000
159044	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.6060773624,142.027949021,166.514306001,183.001521893,190.421140992,199.997474574,203.146458563,209.457279472,206.43241777,211.670261745,212.508020543,215.143599357,219.849782794,216.754765885,225.403825635,228.073402085,223.323612426,228.925101615,221.859027483,231.001693208	hyperbolic	0.12	132000
157396	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	71.5527927383,124.044037762,149.75872002,159.345100237,170.767684384,182.169628588,188.557727293,187.087888883,192.947609591,195.080130863,194.373909377,200.837150189,204.596060761,209.121708184,209.698122942,202.827245305,204.65748045,208.769513287,205.635397415,210.373370789	hyperbolic	0.12	132000
158228	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	66.7796864579,122.60765751,141.387855337,153.669080911,166.152409474,174.308005126,177.805854068,183.293797805,188.947813517,192.074641262,195.349725191,189.656199293,192.590074845,202.5377258,197.686826682,203.642150732,198.267551414,199.82621933,204.820391795,202.513287434	hyperbolic	0.12	132000
156839	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1.72723176394,55.2504961273,72.7784447036,95.3836058714,100.962367469,103.713960073,112.903434148,118.686567148,120.680403972,119.051899879,123.416776314,128.949119465,131.080611729,132.15223507,129.452020542,137.836402783,134.982496486,134.660139754,132.9712819,131.939024317	hyperbolic	0.12	132000
156398	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-107.197919686,-55.9665307079,-30.4814489088,-19.6453029919,-11.9923472539,2.53410648061,8.022417598,4.21701532131,9.72652076738,14.0140173098,15.6012480292,20.6269179196,21.6960935553,24.401477951,24.7231094572,21.9298764475,25.7136508445,26.1275638396,31.3510824754,27.5853402009	hyperbolic	0.12	132000
