ID	X	Y	func	noise	original_trajectory
332354	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.127517371,188.829074118,191.676439664,192.205742526,189.820127223,190.384757765,192.099361209,189.505844089,188.952495779,193.311313323,191.809109378,193.605375885,193.740408556,193.874338694,192.836730533,194.417364386,193.574764228,193.628329691,197.118669036,198.175519421	tan	0.12	308000
335690	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.844429518,181.244812117,183.831171595,184.154872063,186.470738251,184.347434647,184.228636587,183.611699235,185.02664936,183.564842672,186.842093224,184.385646354,188.629764396,188.783311181,185.733731534,184.415295826,186.534273676,190.329138386,187.034573425,190.278352654	tan	0.12	308000
334548	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	213.790761932,217.516352614,217.709516826,215.20184223,216.419222751,217.587928865,219.078801869,215.244326553,216.543891792,215.428757566,219.887707248,216.619080186,216.19822012,220.864478784,221.01850475,220.920569935,218.060172677,218.819476434,220.077761629,225.766925558	tan	0.12	308000
335966	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.964044357,176.189635505,176.857089226,179.281950517,181.576659463,177.23892038,182.14502702,180.682878269,180.245314368,181.899484665,178.130237636,181.520708622,183.27232451,180.648536336,181.84308681,180.51046585,182.709333679,182.590902107,183.795017151,183.772728715	tan	0.12	308000
332131	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.962153557,194.827150535,198.194309729,197.388138586,202.76537786,200.524793935,199.454730899,200.147043923,203.596971492,202.6135147,200.439555743,199.242965018,200.622667499,202.928261413,200.108131096,200.171966837,203.243472311,204.381411385,204.206149119,206.010161777	tan	0.12	308000
332679	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.811943214,197.052756467,196.138022531,197.938248857,195.241144379,199.451482586,194.711822709,198.402661737,195.798554897,196.571504728,199.839724055,200.524387422,198.264175351,200.738483174,196.125769941,198.277015938,196.370464872,197.285777686,198.477023811,205.016645378	tan	0.12	308000
332858	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.970545982,213.328644659,215.419406193,214.013477186,215.321378795,212.059648702,215.263970899,212.715661177,214.008607622,213.767267887,213.307121859,215.99142849,216.357200376,216.225146625,214.821730506,216.385478932,218.077598546,216.793254813,215.544820088,222.281252538	tan	0.12	308000
335113	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.490671849,206.07865402,208.455712107,210.520715273,206.734947851,210.70583358,211.705713841,210.30165094,210.972973935,210.163127831,212.029741937,208.185829349,208.319519459,212.662466999,208.581341129,210.57830089,211.580641918,213.409664848,215.124278399,213.900272228	tan	0.12	308000
332535	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.004469942,185.744865173,185.533693338,186.47047897,184.738616642,183.575258688,188.327059187,185.310000537,187.284661935,189.168213723,189.534484,189.924512182,188.167256666,189.919285649,190.933208612,189.000772526,189.590129096,190.757741089,193.133599719,190.599294752	tan	0.12	308000
333318	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.640728874,214.711162351,210.72885148,215.566652178,214.958577615,213.400436432,216.622560044,213.282595134,213.755723352,217.084563806,212.591521212,216.581449961,213.109605325,218.818341747,215.622867291,216.912761113,217.174549583,215.601825851,219.611940059,222.208793627	tan	0.12	308000
