ID	X	Y	func	noise	original_trajectory
343196	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.145754348,200.012583219,194.29108245,202.565353366,201.081207885,201.684310772,195.553394082,203.688661635,199.736663748,203.479155351,200.468185581,201.201956359,203.525033707,199.688255734,202.750947696,204.797016183,202.034449236,203.464051296,203.228001539,207.078269096	tan	0.16	308000
341970	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.058643097,208.542007656,209.730509621,211.068691419,207.978018092,213.117396762,214.793922782,209.748179664,214.14556477,213.806672756,214.28100553,214.977434767,213.215626116,213.926859912,214.672447601,211.97628372,210.453262661,214.935088119,211.445083461,221.6811739	tan	0.16	308000
341430	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.014791873,180.565795897,187.035587583,185.504493947,186.422213794,184.906998727,188.526295714,184.537387014,190.426261387,190.572660326,184.868832268,190.583172642,188.823609817,186.0198137,183.649138909,184.940908834,190.706747504,185.274683991,192.703587671,189.060169975	tan	0.16	308000
340095	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.664198923,211.393982863,215.320288643,217.929004048,215.924180332,218.569811135,213.143253414,216.721524738,212.00562505,212.383658778,219.553955445,214.627917009,217.916238607,219.198329774,218.278761089,214.090709684,217.633829989,218.500938685,216.287524356,223.682993628	tan	0.16	308000
341039	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.272387431,175.080248922,178.787337647,178.581290898,178.419480946,181.341586473,183.591135421,179.524963086,181.010776349,183.502703556,181.407191612,185.652136479,180.229158563,182.783548667,179.970559941,182.015168513,182.197373447,187.955263786,186.111453455,186.361273588	tan	0.16	308000
341986	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.135175442,203.459571271,198.448211073,205.509562454,206.269608242,200.082430917,206.170285011,202.325420739,201.199892145,201.704053844,202.806612203,203.707308108,206.796311507,207.577583129,203.928104461,207.674358091,201.98107548,203.852138951,206.228082422,207.492861042	tan	0.16	308000
341134	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.653533502,194.743955321,193.577953417,191.00535397,192.512078496,196.240757582,194.01002769,195.866257555,196.740594535,196.299198538,196.919334738,199.969644923,200.023932554,192.976811569,198.257170598,193.026098017,196.747664333,200.253164823,199.674363346,202.278991299	tan	0.16	308000
342001	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.273304862,211.988279711,214.405082535,215.209284692,220.803644934,217.534650767,213.496935017,215.766793738,219.716065479,221.664041889,217.957384467,216.59084439,219.151413468,218.397486713,217.570409115,217.151824676,221.817926881,216.467657428,217.790813688,224.182099006	tan	0.16	308000
341465	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.764249704,181.449591206,186.553949796,187.439700512,189.521886478,188.575830966,191.111263302,191.009269557,185.041334106,186.18123426,187.012074828,184.972535111,186.888115044,191.81072202,193.201448136,187.224167439,190.905502213,190.914236197,194.573726289,195.862807695	tan	0.16	308000
340750	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.681302429,196.56039127,192.254877417,197.15948793,196.634139553,195.115059026,194.010467568,198.273146804,196.216398765,196.24673945,196.462984096,199.581803625,199.683130568,199.61609212,195.54255256,198.900582867,198.57526509,197.009142086,201.150161023,208.046118892	tan	0.16	308000
