ID	X	Y	func	noise	original_trajectory
167205	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-68.3741733948,-8.33424151774,12.0750801501,29.6954559267,43.8128829338,50.9001458281,52.9865345031,60.5150535886,54.1907479874,57.6797056629,65.1252185096,69.5313359409,61.3266847142,68.1706352371,63.9836540895,69.8675103989,71.258234708,77.0255426332,71.2768932787,74.2704739221	hyperbolic	0.16	132000
166627	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	64.0620963689,115.716829315,138.622347839,156.892241569,169.104446955,176.962135174,174.372176938,187.000971881,193.620603212,194.891087157,193.374156393,201.235666896,191.622668705,201.389226965,199.451537508,193.770564479,199.885262891,199.269538811,206.385561678,204.884203848	hyperbolic	0.16	132000
164162	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-56.4053064888,-10.9612496791,6.24847243252,30.2299957706,39.4134550584,41.5401862372,51.554319389,51.2783870057,59.5845099229,61.8941997309,64.760285501,63.4055731105,67.7860797551,68.4051159907,68.4048205046,76.4770141062,74.6117122119,75.3003903704,73.8464584161,80.109124637	hyperbolic	0.16	132000
166237	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.7228332067,133.381331514,159.070093778,172.679391486,193.808935891,193.246293606,200.51969013,200.028451171,206.384211912,211.579941604,209.950718727,212.076981402,217.436090306,219.521646664,226.164201092,222.37784328,223.703217554,222.636085963,220.488421236,231.249268876	hyperbolic	0.16	132000
164738	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-90.9635728048,-39.7257546854,-6.87771998189,0.318031820907,18.1280386143,27.0286951479,27.2215385774,34.2853300372,31.3519032238,34.6339780398,44.4342022305,44.3560797407,45.681988536,37.9274391694,47.0339381393,43.9626024747,45.6452744494,48.5256399477,48.6153190735,49.1452578427	hyperbolic	0.16	132000
164167	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	113.824300526,162.785735764,184.807086783,199.887311065,209.907623084,223.341034036,227.197522194,234.949097048,230.809380747,239.144186747,237.508168862,235.25567264,239.981403801,250.507052265,238.714862587,244.633192791,242.460576185,254.722483931,255.60866835,248.594271975	hyperbolic	0.16	132000
166201	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	94.2199290627,146.516826981,175.453240424,184.248489429,202.102774943,209.373776981,219.492479849,220.788506761,220.011233826,225.215360588,232.285738579,224.832351689,232.25809621,231.202395316,228.471363752,226.488873562,231.197076921,229.178967376,242.479441127,241.534964949	hyperbolic	0.16	132000
167383	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-94.8617668794,-52.3047295333,-23.1679268859,-4.49803580555,-4.82504362091,6.07543459641,6.67505632176,14.0783420915,16.2002820933,25.2745800586,31.7769515012,21.3719651277,31.7793164992,34.4120845451,25.6576980387,28.4355512358,30.218357212,40.7240553721,37.3607637935,40.5751393961	hyperbolic	0.16	132000
165841	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-29.5653269091,29.1963028048,43.3486035268,61.464134522,77.9148037546,76.5200036222,82.186208691,85.3052092334,97.3220375078,100.066839584,105.551032504,98.8082173732,109.431001153,98.819086502,107.230896108,104.789071037,107.241358059,115.778871678,104.245405004,107.176372925	hyperbolic	0.16	132000
165138	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	54.1175066351,92.1279083089,124.660658202,135.876695888,142.20794306,157.327987597,164.27262794,158.872375062,173.581381233,165.286043335,167.720621268,180.709026151,183.962309468,181.94829315,184.716906883,185.181854727,184.988884718,186.900383445,179.837495365,189.939893266	hyperbolic	0.16	132000
167061	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-101.291168075,-54.7587371376,-31.9943871902,-17.2227983071,-0.312170393247,5.70324478537,1.16462540762,14.2383150181,17.0733011007,16.4994571325,20.2108477021,22.4121463153,23.9873623791,25.2891989458,20.0159335559,27.9743898187,30.8550695041,23.7216825298,24.5646035495,32.9310079214	hyperbolic	0.16	132000
167308	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	93.1299908085,133.052186519,161.790559803,182.705947031,191.217245948,200.598895711,199.233685472,200.490032814,207.256460646,209.300369962,216.358374894,220.84513025,214.502210011,215.191794335,214.505508654,214.538502648,217.070033163,222.248688253,219.876215612,225.017640246	hyperbolic	0.16	132000
