ID	X	Y	func	noise	original_trajectory
341771	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	215.660030446,213.784293135,219.861498488,219.695693979,215.103562105,215.119741201,221.400287932,218.022648247,218.159815514,220.50385248,222.100962165,216.009053875,217.60523095,216.007468501,217.348195453,217.624851773,222.507264809,217.783892881,222.830632431,223.318257572	tan	0.16	308000
340450	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.305874278,178.712879944,185.988111264,180.409305881,185.908574061,185.561636083,182.622228156,185.210257487,186.061718676,188.265725584,185.731261665,189.39285301,184.622498152,183.426231788,189.339720695,189.343040201,187.040532978,184.42194404,188.552895856,192.196029359	tan	0.16	308000
340878	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.03897952,213.651633072,212.302532853,216.030384107,217.754099761,215.375190837,217.847939706,219.172751699,213.111701842,218.933798139,217.698154843,219.030826285,213.116268589,214.223921798,213.144563346,220.366767848,218.709523847,216.77808658,222.679171461,222.395489475	tan	0.16	308000
343171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.820363176,184.687975708,188.414326648,185.084956602,187.079978494,186.680154622,185.763598445,185.217855443,191.632867346,187.803187686,193.262024975,190.685337686,188.152187139,189.432427601,191.434302905,188.011747399,187.7478852,191.034274898,191.297224634,194.414278349	tan	0.16	308000
340131	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.75642034,202.064119251,209.663445208,209.439465361,208.218333453,207.194022634,209.562093772,205.345001556,209.89405862,211.312760266,209.577375956,211.651744143,207.938765943,208.664251848,212.267030289,206.320538239,210.53199836,212.83675978,211.439109699,218.10113457	tan	0.16	308000
340457	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.688293442,208.528715604,214.985301166,215.922420364,216.701309412,214.853968759,213.820537633,212.309594617,211.111227388,217.573285359,218.332711592,216.27584658,218.245229662,214.713237154,213.884775236,216.566298019,213.805476975,217.67021229,215.33894067,220.738330194	tan	0.16	308000
340330	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.390704609,194.348699214,198.781079671,196.523844348,197.280180059,192.940389631,199.700323343,199.335728479,197.451251606,196.544952245,201.460115683,198.766989738,200.659548926,202.16269813,196.23881669,200.648498789,195.923134952,199.04542365,202.350931982,206.303332391	tan	0.16	308000
341307	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.287335275,178.818784862,184.116964399,180.516177511,179.1794122,180.95332501,185.851929799,184.520940798,182.738852717,179.89095231,184.057300209,185.823521715,186.252857548,184.416977657,181.449553849,186.75375882,188.074589802,181.328972925,185.919998751,186.142661415	tan	0.16	308000
342497	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.039686527,180.702565602,187.463885404,183.810635497,187.015246143,190.248206175,188.160755278,190.203918541,185.473394388,188.772473733,186.676558099,191.83748424,186.036767994,189.945716318,184.469533891,192.401718817,190.182098358,188.810306138,194.553480446,191.335742375	tan	0.16	308000
341171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	171.954018842,176.93038649,181.31986566,181.652967512,180.024232707,183.722544465,178.737996547,179.391175343,182.63128835,178.463823471,185.081371938,178.163501358,178.69787007,184.921303077,182.460295746,179.240351881,179.121843433,185.422217159,183.780105022,188.989013187	tan	0.16	308000
341047	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.542519219,178.862276772,181.719342999,182.427660555,181.202433923,184.298156255,184.093722232,184.261399831,178.746348735,185.389558249,177.797409579,178.591636736,182.065046873,185.353898781,184.03355666,183.333278255,182.034186669,184.138017305,187.694343964,188.089328113	tan	0.16	308000
343825	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.232113855,188.477139555,191.69716767,191.478066738,197.01734811,196.382030042,198.155058089,194.792158991,193.597368713,199.490863413,196.058683293,192.922199927,192.326137808,194.69504889,196.672749059,195.07516181,197.286524406,196.932973418,199.105306586,205.660716728	tan	0.16	308000
341206	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.675541627,209.863249798,207.9297046,214.393353156,215.79428411,211.627495745,215.401898732,210.640523426,212.628634912,210.242374188,211.231054618,214.210635444,216.318572555,210.849098924,217.013004962,215.618992901,217.253840376,219.216190399,217.84464329,223.170801721	tan	0.16	308000
341325	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.553326166,186.879715282,181.854490753,185.38829323,184.786396823,187.305079611,189.825290739,184.335434387,189.115337553,187.732728911,189.669028628,185.33172054,189.440442515,189.500831385,186.607362162,189.191031634,190.221916089,187.391539746,189.669997816,190.044526808	tan	0.16	308000
342543	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.2032296,190.386576928,190.494669814,187.709693047,191.486281849,194.824249143,192.991124262,193.097466194,191.891410671,191.112014244,189.459529616,195.278352114,195.36921701,196.96551361,196.630451515,197.277649366,192.516547411,198.560456411,195.148245468,202.878972834	tan	0.16	308000
343860	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.93269662,194.265179668,198.143061819,197.985260373,196.577351437,201.773117156,202.229935767,200.271664144,199.395027491,195.400257645,198.722545561,202.250775186,196.399721362,199.489444609,195.679983855,196.888911423,203.40486499,198.244174717,205.249885312,204.274720216	tan	0.16	308000
340415	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.363873854,192.035135149,191.214535793,195.847591008,197.080858569,198.733975202,196.186763505,200.279744355,194.803955568,196.846098949,197.687789864,200.374016675,200.410098484,194.400085088,196.354283509,198.703658528,198.161491943,201.078916533,202.29876162,200.959783551	tan	0.16	308000
340582	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.736750751,204.518976683,207.716425441,210.183834688,210.521126328,206.677287308,205.854030922,210.790132333,204.459480932,208.563068761,208.716031112,206.264623654,207.95676378,206.4776278,208.15311257,209.479515216,209.683434013,210.061538647,209.31959893,211.989362487	tan	0.16	308000
341359	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.492737066,199.054354469,194.173743423,198.592213835,202.434855845,196.174013313,199.37590418,200.054189873,200.822948664,201.37227568,201.853770362,201.160821739,198.533669453,198.617727976,202.12567542,197.920322335,203.057624358,199.752065574,199.790073513,205.343282114	tan	0.16	308000
340679	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.756163939,208.842951124,212.613191134,209.689564367,210.783542868,210.479902154,209.507245883,210.883643465,214.137813222,211.435391179,211.580791755,207.549823143,208.840039394,211.540745828,208.402143558,213.970172352,211.810498829,211.134757461,213.841939966,218.911232914	tan	0.16	308000
342757	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.64712163,189.9548555,189.52201295,191.919735231,190.440035059,194.322885917,194.050079008,196.269129834,192.033724965,191.886226134,197.490838432,191.56666411,197.959275258,198.25888206,194.205592351,198.598011651,192.577635751,193.007828199,200.487659691,200.13353974	tan	0.16	308000
340493	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.765030757,174.972537117,183.179167135,179.846048194,181.731774401,180.548195186,182.064441144,184.392222896,184.559615866,179.671286631,182.49638819,182.716093281,183.862897397,179.807023428,181.42066854,181.304129807,185.102622845,180.694296805,188.207582276,186.46758696	tan	0.16	308000
341759	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.477888625,210.075624332,212.632309007,217.559310307,212.435961157,214.24303537,215.534730978,211.778460873,215.037894612,217.031845494,215.447524662,212.5096415,216.233728686,217.999463985,214.173635425,218.721660896,220.45315663,215.489986748,221.205466158,223.215028529	tan	0.16	308000
341840	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.633616023,211.972415684,220.68071634,216.440279421,218.605254859,219.197147187,218.300153011,220.249607591,221.938325133,216.690366295,216.532603627,220.021653,215.666389336,222.461292112,220.419230325,222.875849692,217.49556485,222.681975965,219.704981532,225.542646863	tan	0.16	308000
341263	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.049308563,205.840800633,205.066371978,207.711742574,205.891611022,206.227423239,203.378421634,206.957537143,206.926646381,208.320936993,206.872115527,211.248156821,207.934794436,207.249269899,207.946162714,206.455240775,207.640626219,211.094127641,206.714798357,215.63685755	tan	0.16	308000
343569	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.847294495,189.401669918,196.084846971,196.058306416,192.663743289,197.731341087,196.17990758,193.931163907,193.906706762,191.901339509,197.163804645,194.814599657,196.912643136,193.026833516,191.677465394,197.553451781,197.984969492,198.847046871,200.817438182,200.251616544	tan	0.16	308000
340439	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.908562847,201.611658205,202.173925201,201.046197549,206.902618195,204.423188361,201.611236151,204.959193993,208.70253846,208.543216935,203.892439224,205.761637144,208.439957036,210.24135598,204.321966089,208.72324213,209.709146018,205.242788699,205.373128573,214.126321156	tan	0.16	308000
