ID	X	Y	func	noise	original_trajectory
341972	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.926150187,219.526723865,215.677294255,216.689368923,219.137324167,214.773400568,219.256031795,219.335716742,219.577973678,214.67962898,217.006955289,219.869651306,218.357904866,219.831658603,215.593946824,217.047648642,217.963920905,220.932926662,222.012436578,228.297323994	tan	0.16	308000
341500	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.270755301,198.066831097,191.493088562,196.876468455,195.747631493,196.7087112,196.514996301,192.972432583,195.854974177,195.204325318,193.536407046,197.109371419,201.665934777,201.663143246,199.742759462,198.205065575,199.52839851,199.956053316,201.68225134,204.443397615	tan	0.16	308000
343131	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.38004643,214.208722386,213.748683607,216.294685947,218.746984932,218.374702592,221.064768102,220.076593569,218.810775742,218.346082178,218.928664432,216.93635943,219.794820825,220.369323214,222.888261827,220.2970942,220.209171165,218.673731803,223.94093958,222.854234009	tan	0.16	308000
340843	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.19827913,210.963506464,209.554157673,207.098708938,210.964029906,212.99133948,206.496156641,206.144894054,212.735246537,210.992448784,208.618414768,206.927087825,211.671375796,209.750511111,208.508380675,211.689860705,207.90623366,212.749837713,214.733076118,215.368945244	tan	0.16	308000
343023	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.599014987,208.782146377,208.104811295,204.443718199,210.477636724,203.877746995,209.914774995,206.640503193,207.83372931,209.924365753,208.909236308,212.249939213,207.718319552,211.557381621,212.099342314,207.792291221,212.342114451,206.772532228,214.351682835,217.301267127	tan	0.16	308000
341475	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.941532078,191.420900638,191.48207878,195.958753261,196.978594524,197.523401273,194.901338226,194.459303899,190.691934907,191.668790003,193.297094441,194.303401151,195.67604255,195.379605018,194.772424808,195.418955603,193.108957842,198.350446599,201.521409621,202.055917851	tan	0.16	308000
340581	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.975769794,200.579326526,201.877962401,203.43491023,202.820906317,202.953341279,200.634901342,207.713002879,207.206624336,207.53423181,201.019582556,207.696068003,208.577731964,201.575312973,202.240031058,205.369439992,208.926632211,202.869573707,206.144904244,207.777376501	tan	0.16	308000
343749	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.81026695,186.783868624,184.559648587,183.613966549,189.610982437,187.60870904,191.407723933,191.546644611,186.320151552,187.083724756,192.41313249,190.435153043,186.111014826,185.688644633,192.229832002,187.840143837,187.263998039,188.125070427,190.531672229,194.41051372	tan	0.16	308000
343089	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.671817834,212.299766077,214.05140082,213.023506667,214.226516726,212.0366178,209.119263734,210.420985736,215.79879239,214.611856589,216.270182345,210.819101467,214.616515619,216.664476226,210.02856074,212.529268902,215.27593187,216.64832798,218.083693583,216.260494694	tan	0.16	308000
340901	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.365139505,209.534378935,211.383996502,216.571883732,213.568758802,218.156036092,219.778112844,213.069878731,213.212894439,214.895069062,214.641714563,218.927194544,217.34469236,213.948545038,216.135465304,219.670096353,219.646551208,220.431835486,219.234228395,225.995661989	tan	0.16	308000
342216	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.533395526,191.710641395,195.536322587,190.760867642,191.257648695,193.759931312,193.200685,195.223167388,197.672608964,190.860218153,196.880441313,191.988809143,191.746004508,196.50196715,194.183363284,192.926339443,192.57132993,196.995292074,201.232528774,197.117585817	tan	0.16	308000
