ID	X	Y	func	noise	original_trajectory
173939	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	122.169579401,170.780874617,196.040927451,214.315940551,221.459283806,227.401035724,227.989966572,233.497550402,234.668287756,247.246628603,245.766109975,254.532119952,245.382053869,254.186408608,248.443539624,252.330280245,259.195220701,262.824733522,266.438667814,252.104433441	hyperbolic	0.2	132000
174015	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.1730008263,45.7499370032,60.6803138159,70.5080234718,96.2364420226,88.9885867966,103.542495881,102.23591428,103.993567065,103.714439454,112.439882989,109.364809991,116.472530185,115.300122455,113.849032482,116.116190246,127.945218881,128.511279666,114.904593556,121.531240627	hyperbolic	0.2	132000
173541	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-25.5057510225,15.4692084305,39.1448101444,49.9120340445,71.396619198,79.4541075927,76.1900769774,90.8236927951,91.315624659,80.9392649173,92.5975920732,101.724152723,88.459414309,91.5418126407,89.2431846317,106.712209359,102.702311168,92.6151932449,102.904914441,109.947328456	hyperbolic	0.2	132000
175932	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-61.6644531924,-11.0739268444,12.4624002474,24.7697937943,24.5996999135,44.3086965716,40.3175371736,44.882009761,55.4056753985,47.2591053107,55.5942284499,60.7018011046,54.6997088572,60.8970225025,57.1336856053,58.383092834,66.5366244415,64.6782764989,67.839714318,65.3891861107	hyperbolic	0.2	132000
172520	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	101.247617783,148.328645305,186.313963393,187.863859207,194.395374677,216.105064691,218.758058374,227.158880558,216.704883525,228.821860522,219.897910517,222.956279327,225.514261712,236.136457642,237.360089865,240.161202325,230.047169958,231.169799138,245.636199314,243.858794549	hyperbolic	0.2	132000
172074	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	26.241399738,81.8137265594,110.939521665,114.353055031,138.565603486,141.184245809,136.625754117,142.279677171,151.865759426,155.50527075,149.359938258,149.319296972,152.095988519,157.173228489,167.067290745,154.071838307,163.870973013,169.608550959,165.450627891,165.083812487	hyperbolic	0.2	132000
175419	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-140.234118797,-87.4247792842,-50.461190925,-43.3924727418,-36.9233770282,-19.3495939991,-19.5229769365,-17.6006641148,-16.5408621619,-0.804540193413,0.67178636657,-2.31903485704,1.14978561679,-0.539398962982,-1.52298543546,2.40576089032,7.31444174706,8.5658266082,-1.96957517585,6.91606839836	hyperbolic	0.2	132000
175834	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-54.2225248673,-0.462739517365,17.5256608987,36.2008558639,46.0476246585,52.4082110886,59.016572681,66.0194424115,65.884506729,73.0375958144,74.2225595436,78.430951903,72.8961694995,76.8609503816,80.1310905777,81.1788592499,79.5450429462,86.3114091068,88.4294741171,88.0163498879	hyperbolic	0.2	132000
172209	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-49.1111859134,-2.20732193596,26.9093722463,37.9487262373,53.7047233322,57.6854713935,67.1560949694,71.8409734063,75.6147037915,65.4357836187,75.8676022366,70.5889031896,69.2839542684,76.9798739525,72.4619004688,85.5412853076,73.5562350547,81.5309758165,76.5533641315,89.2806058469	hyperbolic	0.2	132000
175244	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-81.2860010946,-33.2069034174,3.11680280574,9.21447918539,18.9464861025,34.4814864247,32.4380537411,39.5868937351,36.2638925504,35.1725469627,47.6036351341,52.1437328815,44.955660679,50.6056172544,49.8589527164,49.3429017347,60.0218429419,50.4284655912,48.6982649929,53.4796438727	hyperbolic	0.2	132000
173051	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-42.8567337985,2.39769078433,30.1256023203,46.870446672,50.5674097107,69.2258387841,60.1933030901,62.3749992294,67.3357946447,73.7148243363,78.0534020684,82.1260293465,85.2218492872,86.0465938245,90.3033593369,85.3903733132,91.5828191589,79.8571282864,82.9126852189,94.7779059726	hyperbolic	0.2	132000
173531	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	92.7923967489,140.701650858,170.372064498,173.096111172,197.98810776,204.639839936,202.832111844,210.712825904,202.967658074,204.979601685,207.768634382,216.363025531,213.915672149,212.368641864,222.519046323,225.711101148,231.68661235,227.472598936,229.559474926,227.277182915	hyperbolic	0.2	132000
172492	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.7191677861,98.2228680306,125.031634216,141.468933887,143.576514748,149.730909796,163.344814439,157.079259926,162.747140247,164.228320406,166.807539422,175.373016265,166.59454666,165.607952139,168.606017194,177.471334785,176.666678017,171.663331532,177.202152487,171.254493496	hyperbolic	0.2	132000
173743	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-130.662769268,-72.7526137038,-52.1615930297,-44.5281347446,-24.8678819044,-18.6944490329,-14.2543874031,-8.47185118064,-15.3650497011,-15.2011738963,-10.2970316069,0.192011922424,-1.66213968427,0.667219313024,3.19146366929,0.643491504959,8.27605699463,9.53553614528,-1.26389052248,-2.73960956451	hyperbolic	0.2	132000
172199	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	60.315429274,106.652125043,127.562778377,143.156003529,163.852532807,171.19535209,181.217471507,186.292080497,182.384686959,175.430132031,188.775643757,185.343374447,195.284652094,198.471496063,185.86888023,191.917735464,191.24378903,193.053588253,190.903801175,200.299949914	hyperbolic	0.2	132000
175929	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	134.138942228,184.548630484,209.250399026,214.690437367,226.416349078,241.154065244,246.91857733,252.810329039,255.048296437,248.944595999,262.460897837,264.603238223,264.110533741,261.70521689,257.158233309,257.311224849,268.484601516,262.393371326,269.517374349,262.715659305	hyperbolic	0.2	132000
172998	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	116.459124298,170.480656938,191.605009303,205.773342189,227.800571851,232.924025751,237.93335181,237.557117844,246.698068203,241.632273435,244.921280764,243.384660041,248.648029763,246.515491736,250.340672525,254.531968073,253.077074096,253.084546883,255.5403374,265.782512839	hyperbolic	0.2	132000
172865	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	68.4721924767,110.172741959,139.611097967,163.534334622,167.720271185,175.551684022,172.614719796,174.90078582,183.711417608,179.753908995,186.529535857,190.586781749,198.072765002,201.528959854,197.523707573,203.442926701,201.08379731,201.450842686,201.678767148,192.424636342	hyperbolic	0.2	132000
173783	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-40.6144823649,6.23225361478,39.460730999,57.4723959477,54.6314178027,72.4372797042,65.2126829473,67.7002058382,76.0635214474,75.5346026142,88.3391864547,81.4469654484,94.1047138816,84.1737452358,94.3457207386,94.2443900095,84.808603815,87.4996737738,87.5260199782,93.5129039759	hyperbolic	0.2	132000
175046	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-27.2342702627,35.1963833603,59.4297202508,64.4132518606,72.8952396208,91.6211217238,88.3293882612,97.1811548226,98.1422733197,106.439478042,97.7160243494,98.9810832032,104.937575271,101.820876619,105.912443061,106.069375891,111.250016383,116.19961168,117.781802204,113.788833825	hyperbolic	0.2	132000
172377	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-67.5438779247,-8.03859273068,12.5310299182,26.3956841688,33.4906257242,33.896408141,52.487421622,51.3431839219,48.1623164323,61.3815337624,54.8570403521,53.0744225673,65.0141548057,60.0892240957,68.6548845634,64.8175928663,74.2709293672,75.6043961869,67.4611883292,71.0528911035	hyperbolic	0.2	132000
172929	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.6849016513,97.6344443264,109.181033883,133.674956001,150.944899297,158.20589801,151.820557496,162.864589593,158.42046452,172.84812947,159.24537616,173.310023079,162.897677317,168.317576831,175.146121353,177.81706799,178.943890884,170.076941925,171.507625706,175.676051076	hyperbolic	0.2	132000
174875	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	18.924706944,67.8921636299,82.6626938011,100.432058595,108.784853578,120.252856347,126.96814806,134.45169275,141.004502925,140.782458215,141.870066448,138.671730483,150.495564864,143.328240661,138.859991901,154.317405478,153.216873798,140.826328921,148.345221102,156.937729105	hyperbolic	0.2	132000
175404	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	64.063748915,128.128293611,142.284535739,169.582368544,171.532270896,176.101764936,187.447261079,195.180455834,188.787835456,198.318036091,195.518051716,207.034022837,202.968840129,200.726508887,200.546812969,196.058787804,205.601510086,207.838274026,213.150979461,209.734966474	hyperbolic	0.2	132000
173074	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-123.94248797,-71.577403393,-55.2435850712,-34.3703925831,-23.1037661219,-15.769781795,-6.08172449483,-12.2236920755,-10.0832771258,-8.8357930259,0.563232995267,3.01360650679,5.65177784549,3.6818105769,4.91466551705,6.59427831325,-0.0622684799319,3.52413513282,3.46232354234,10.4227560682	hyperbolic	0.2	132000
175930	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-16.5685780479,34.7047816582,63.5712101921,78.9873699051,89.6165632113,99.1674741714,94.664807745,114.201944161,116.579892866,104.521613176,107.456685199,121.27516059,121.741037755,113.423286604,128.03711958,126.959272856,126.094146638,126.188883085,130.192609429,131.167522103	hyperbolic	0.2	132000
174708	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-90.4338018246,-37.6391572686,-17.6208491203,3.20130641542,6.84440780745,7.77484073341,14.2869494693,23.2338698737,25.9243189241,26.119725628,39.3260224657,28.90680563,41.1711108603,33.8211095448,40.7899927507,43.0773200708,47.6109626608,42.8022413088,46.9783311431,39.1560792441	hyperbolic	0.2	132000
