ID	X	Y	func	noise	original_trajectory
96621	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.8234578685,62.8955994199,39.3040181922,21.7067049563,9.48251295324,-4.57217995944,-14.2701538689,-23.1518279734,-28.4446498384,-35.1084377081,-37.8552230557,-43.0337559265,-45.356967682,-48.6697861858,-53.679620994,-52.6723231601,-56.960050414,-58.5079511107,-57.1892975935,-60.5768465731	exponential	0.04	88000
99723	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.56133078,156.425253988,138.179292221,119.168119361,102.738646767,94.0814694173,84.6768709285,72.4133708155,68.7343767403,61.8826414601,54.8648843539,54.2133848846,50.4418440762,47.1118062941,43.3161285237,41.7039927731,39.7783932508,39.9261552699,37.0145801458,36.612456321	exponential	0.04	88000
98253	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	232.72712827,208.92935935,191.056341253,169.75596301,159.044796464,143.630412565,134.653852482,127.279755958,120.523057275,112.702674881,107.994580293,103.369272463,102.601043586,97.85960881,96.1453107971,96.6238188671,91.7700303004,93.5859752994,90.3072061809,87.4428659469	exponential	0.04	88000
99549	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	75.8900242091,53.5113720731,30.6478655724,14.4992970603,0.292056656262,-12.3730245326,-22.857325593,-31.0447753478,-37.8022360611,-44.5043979418,-49.1346968898,-53.9650829444,-55.0639021825,-57.9495148186,-60.6302245994,-61.133563224,-64.0303541848,-66.1146190142,-65.607579506,-67.0161145348	exponential	0.04	88000
99862	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	278.362509052,253.81816629,233.386025912,215.610002211,203.902746966,190.156840589,179.617017245,172.723994294,165.933654286,158.828473505,154.246808636,150.751178339,148.175980239,144.622236619,141.536121103,141.695595586,139.265688132,136.724118489,135.505319965,134.83937646	exponential	0.04	88000
99016	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	261.812825223,238.377014453,217.539641225,199.883643336,182.652550251,172.040609536,162.22985484,154.000706452,147.496036153,141.407215057,135.884233853,131.244591502,131.126467666,126.648527927,125.565277223,120.16937924,121.996648112,119.779431291,119.581803025,117.591313463	exponential	0.04	88000
99853	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.718965118,167.184484276,146.334153882,131.759050195,114.86153838,105.659637167,93.7260331586,84.0714501781,80.2817751747,74.6431930771,68.3002168324,63.9422052868,59.262892046,57.3970222894,56.8242837464,52.7984854935,49.9502763281,51.8886105993,47.9578824015,46.4409045168	exponential	0.04	88000
98929	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	148.533375638,122.121874825,99.7827485843,85.6068790224,69.5776753654,55.8925936055,47.9802478052,38.6166307021,33.6863058531,27.6930149215,20.4051148917,18.2107118667,15.6744261963,11.8150516972,9.34252239227,8.39528761673,4.91423254526,2.4035381158,2.94883846396,2.88536867068	exponential	0.04	88000
99908	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.64578513,149.874737923,129.065394918,109.296520584,97.4852002181,85.0466889978,75.2587100083,64.7000340723,59.0317950486,54.5245706873,47.0292228437,44.7236779173,42.3069842205,38.7375345996,35.5264368888,33.7763616171,34.2415098039,29.6403013968,30.5111447586,28.4215447777	exponential	0.04	88000
96117	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.8030290691,30.7781966849,12.317746288,-8.67013957517,-22.8154017376,-31.2169369948,-42.3878200287,-52.1863414329,-56.7193215962,-66.2035290194,-71.207635783,-71.9106405655,-78.3417056009,-80.7575578463,-81.0698625031,-84.8471776593,-85.1304911949,-85.9232849959,-89.7769480839,-87.977330169	exponential	0.04	88000
96711	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	126.503504823,99.3133182984,77.9487586771,60.8576959984,45.6324339796,36.1133347822,22.8692227168,17.9902941585,10.4045652674,2.94165894164,0.371597257024,-3.39917607386,-9.2006650893,-10.2024734838,-14.1266463343,-16.4198004523,-17.4255152109,-17.5280053724,-21.9912349389,-22.2166496904	exponential	0.04	88000
97374	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.237218903,165.499111201,146.661632149,129.004836506,112.570440637,101.14792172,94.496170828,82.550374999,77.847767854,71.3118885369,65.5110687464,64.3029750664,60.6218473509,56.5720418186,51.8065511545,51.1105337519,49.6603605913,49.1325256715,49.0352013302,47.5123935534	exponential	0.04	88000
96753	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.138491652,100.811215169,78.1775441195,62.8464777187,46.0257067725,34.6511918348,25.8426697227,18.8912964788,10.4637775427,2.60196684317,-0.234066056009,-3.29782586845,-8.45232559128,-8.84135830933,-14.8839753505,-13.4331880228,-15.8635476068,-19.0779480367,-20.528016285,-20.4420419963	exponential	0.04	88000
99956	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.640146798,167.871582552,145.117852638,129.50962915,116.236327061,103.058749198,90.9519014345,82.9357380681,75.8333533891,71.8727119427,66.6310673083,61.1817384746,57.5354942312,55.6926087778,56.6497043585,52.6074275513,50.5215721035,50.5867827974,49.6240757056,48.1912858869	exponential	0.04	88000
98051	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	241.510579665,216.006096706,195.589408674,174.909848163,161.19409918,150.91344067,139.877691508,130.579383944,124.271226129,120.52024349,113.569471845,110.788507054,104.472098875,104.351020192,100.124357156,100.13168402,95.8954923294,97.9036915676,93.9607401228,92.7522554998	exponential	0.04	88000
96451	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	138.809028086,115.692478192,94.3016291011,75.3896988601,60.8292511122,51.6323349744,40.4188653691,31.8163361255,23.0863869525,18.2774265849,12.8304970521,11.6409703822,4.87267672683,4.48710392554,3.37460390691,-1.90426360429,-2.71101150759,-2.77758133466,-5.3080344036,-4.99682179965	exponential	0.04	88000
96414	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	69.9598726076,45.0657861144,27.6277158543,10.0185849089,-8.18963871986,-18.8850663382,-29.2131012611,-36.3731679383,-44.7516297497,-47.4420747853,-55.3969635078,-60.444356173,-61.4024228227,-65.8788064788,-67.1920503996,-69.4590282897,-69.4069610821,-73.7446085525,-75.015287471,-71.9416878376	exponential	0.04	88000
97771	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	114.924586913,88.1373736226,70.7640865717,52.2836653373,37.3022996719,26.8491988473,16.561922196,6.35966934251,-0.684263605474,-6.223175464,-11.2349931578,-13.3798290687,-16.4982798433,-21.0325487185,-23.0349152922,-24.63576521,-27.7593168286,-27.730894086,-28.9733411442,-30.2297137677	exponential	0.04	88000
98067	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	292.425562895,267.005212904,245.556586305,229.034132352,213.468537109,202.358619569,194.170065791,185.764653738,175.741628771,171.623554505,166.493460645,160.437912909,160.013943367,155.630713215,155.325923518,153.57105638,150.196345942,149.967273087,145.682313163,147.088928288	exponential	0.04	88000
