ID	X	Y	func	noise	original_trajectory
112008	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	265.660718328,236.871998295,218.851961622,206.692568149,191.826116499,175.673688047,162.482363382,162.678178284,155.212213178,138.396308378,137.845340413,131.278257891,134.399950733,134.550526597,130.989015748,123.828895333,121.562163313,119.004483621,127.092735675,117.278220906	exponential	0.12	88000
113748	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	229.880727784,214.444192683,182.809016141,175.3081424,160.219917587,149.330713608,140.441584375,132.214930146,119.117485761,113.375428174,107.97957748,100.235489599,97.1397410314,97.6909806242,96.3993748982,97.033130644,96.6455392957,93.209976519,88.3106268889,90.8374695977	exponential	0.12	88000
115719	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	280.89503699,254.709120043,238.940620851,213.264086497,198.878402259,196.552132788,179.719958886,165.67073753,165.916532933,161.879978602,150.438428798,151.043738041,146.405197112,137.732599815,140.703295207,141.027754224,135.275648725,141.998057666,129.763079505,140.262973604	exponential	0.12	88000
115830	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	171.383067895,145.055712096,118.315822649,100.414211459,86.8364780078,81.0462172068,66.559477827,61.5276108547,54.7559949616,37.8295081731,43.2468991933,30.7592841424,38.1875868893,24.6556680677,21.5618586613,29.2718302457,28.6363647771,16.6182464623,20.7170612341,15.6463649291	exponential	0.12	88000
114348	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	89.2011730823,56.785323126,36.8020763829,24.859576403,3.01984910713,-5.8368745326,-14.7071517816,-26.0489098291,-34.4150534214,-35.9161588176,-38.5739182591,-49.1237024692,-49.7987037294,-48.4443190109,-59.945184893,-62.3455968907,-57.7255450769,-63.8662408622,-58.3760892857,-61.3101254566	exponential	0.12	88000
114147	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.896209398,167.070406161,147.04986952,125.74731832,118.907234919,103.812960279,94.1589427775,80.3704702651,80.8905956203,75.2779802282,63.7131558341,66.0258665328,57.6705544983,49.1648624819,56.4636366445,56.0964538182,48.9606202818,49.8644790979,46.4713074026,49.3355800544	exponential	0.12	88000
114582	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	251.110976181,221.842048396,205.867587911,189.048221919,173.688777714,167.494208159,153.771989789,141.479440715,133.816912243,131.050126164,132.659689441,122.545126822,113.841773924,111.292189913,119.109879731,109.49344243,107.096863651,114.347022217,111.383513831,105.86014282	exponential	0.12	88000
112645	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	225.029903216,203.806654781,180.339958693,162.771286013,146.084786996,145.33715223,128.444290382,123.731221132,113.575139087,106.354258124,101.012529334,103.694922561,94.9663649864,94.4271029238,91.32153261,88.7771732887,92.5109057406,83.2023476443,81.5040156796,85.2021496291	exponential	0.12	88000
114718	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	118.99402066,102.579499332,85.8084757197,65.0910457294,47.2866327433,31.9235343334,25.0727799421,22.5816226981,12.1873673999,9.33106422209,3.49997220976,-3.2255036062,-8.56028405086,-13.4888039302,-9.85263494822,-10.4557656777,-17.4398905474,-21.351766922,-13.4275509749,-25.2574702626	exponential	0.12	88000
112433	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	90.1327850359,70.7817260159,43.1996685628,26.3513552382,12.7296921878,5.62811248685,-5.09702488705,-19.6170942476,-21.1687456305,-31.8222225171,-37.817811106,-33.6234332259,-43.0201726691,-36.4998920592,-43.6745575885,-46.0539075068,-41.4041721685,-43.978075576,-53.5298394331,-51.2247315025	exponential	0.12	88000
113047	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.144160606,145.527481283,133.448443089,111.104833756,94.1099941412,77.6594838594,71.7453412323,71.6207944353,54.2841060948,57.1507807621,48.1894342857,48.9524796847,44.1957971568,34.2186521851,32.6765590386,29.2856893765,26.5925036372,32.9841433668,35.7685953305,34.269967444	exponential	0.12	88000
112561	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	264.13938683,244.904671086,221.965845325,203.527697224,183.368294058,172.341279592,162.530450899,152.891873491,144.497145183,140.334129617,135.530570515,132.227827424,136.102693747,128.236338334,131.225492579,127.511121573,122.536372928,123.758965235,122.058936481,113.851591593	exponential	0.12	88000
113349	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	17.6173188049,-18.966251314,-33.8388256281,-45.5843710107,-68.6663764826,-72.6341555412,-81.8373043523,-101.960721634,-99.1593938517,-103.338296213,-116.047259823,-122.563134768,-117.407654572,-128.887971134,-120.503740267,-131.822006688,-124.140927457,-125.289099023,-132.363979952,-131.505404128	exponential	0.12	88000
