ID	X	Y	func	noise	original_trajectory
115284	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	229.296806916,213.005750388,194.330860949,168.432466555,151.577034249,147.251112025,136.228782358,125.896570362,116.819385277,106.968673661,103.752767527,102.174694308,104.811025458,94.4902035632,101.113933665,96.8107664468,94.5565420615,96.6892723142,92.1516883674,84.0427658708	exponential	0.12	88000
115714	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	137.275510256,115.529546203,101.554237772,77.9362655796,64.1503842093,49.7943429467,39.4783305474,28.9348836835,28.1611720152,24.1224961638,16.8598219035,14.2223196743,11.8958899768,0.451535416826,0.0443703791405,-2.60572862832,-2.22385621078,-0.51867189135,-2.69939947018,-3.36178082286	exponential	0.12	88000
114300	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	104.148485927,82.3776345752,54.9495642715,45.0691540783,22.4110350225,19.3893112735,10.7676841686,-3.27227044224,-14.9213922705,-12.8092549497,-25.8262011416,-29.2249762264,-22.1695839578,-33.53721842,-37.188275784,-29.8280909697,-39.2339700295,-35.0222111964,-34.8950890049,-42.5253786152	exponential	0.12	88000
114234	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	27.2088718204,12.0366570072,-17.980674958,-37.2420209496,-40.5460182385,-64.157078023,-66.3902596305,-81.1323178806,-84.3776634795,-94.46315485,-91.7283010193,-101.414550353,-98.3487718538,-105.568695214,-112.314789371,-105.252879151,-115.706459159,-110.017787644,-116.02211688,-112.742908387	exponential	0.12	88000
113682	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	242.576450355,212.861461993,200.500897374,175.566169899,165.956784616,159.420144073,140.615730272,130.680993169,132.667625774,119.712666118,118.033531876,108.511446333,114.723361969,112.495932272,112.264088287,101.513979139,104.803423785,106.356759703,99.1782143917,99.4741096735	exponential	0.12	88000
112928	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	149.566894786,117.482024857,93.3578186232,84.2079804931,70.4321487597,60.571320939,42.3658801493,37.4718180974,28.7289749359,23.0045847729,16.47438211,9.16182222692,8.20902580794,2.36211419671,5.84184138977,7.02708633399,8.82991486127,6.71531601652,1.03723149548,-3.39223250188	exponential	0.12	88000
114106	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	80.1971935005,51.0831449438,34.9406140928,9.12049057362,-1.09758693382,-7.69100613279,-16.8702998982,-32.2115828414,-35.5387848734,-47.304940027,-50.773996903,-56.5460791994,-61.153746673,-58.6642176068,-55.7333368034,-57.025660127,-57.865183127,-60.0039104813,-68.1228703448,-64.6842074984	exponential	0.12	88000
115159	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	16.3052718299,-18.7457662638,-35.6229252423,-46.4202160781,-67.5059521654,-76.5948804884,-86.8841978288,-97.5067894818,-103.835857455,-102.749061893,-110.132220537,-116.577296291,-120.174333534,-121.628138897,-122.116181927,-133.422684251,-129.69966397,-135.876995759,-125.736936136,-138.205285655	exponential	0.12	88000
115626	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	125.418398207,102.400375361,73.5140749207,59.808650223,40.0134244986,34.1459958455,22.161234201,19.0065557558,0.950650471219,-5.48754192731,-10.7936925096,-7.99544096512,-6.58990735893,-15.6783499334,-18.0132079469,-18.8311688395,-24.0228398909,-19.3785239667,-23.3703414158,-27.1507592768	exponential	0.12	88000
115988	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.1552041849,57.3457801205,29.9880589347,18.8757194772,-2.17484665587,-4.02577571169,-19.4696386706,-31.3674656648,-35.2529248001,-35.4673496528,-44.2845951175,-45.3743884376,-55.8688929472,-52.0723253074,-55.9425841744,-57.1528878887,-55.4318708851,-67.2287669199,-65.1769408795,-59.4050745965	exponential	0.12	88000
115806	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.216463511,190.092183479,165.314035093,150.933676827,134.845671292,117.605394902,108.568470066,102.102626848,100.884994707,88.7138900351,84.4187695969,78.7517296663,79.9352259309,74.1634115782,72.8700743413,74.2728072738,67.4420491044,68.4989527691,66.0669030107,64.0935182952	exponential	0.12	88000
114532	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	226.808023074,206.073691236,183.307400648,163.518527942,148.566858098,138.347628697,127.301252354,124.65341095,116.0634003,111.450538812,110.485011199,95.2058453164,101.759502503,98.1445424297,91.6220972246,86.6904064431,92.8661323117,89.0237228539,88.9683657693,79.840912527	exponential	0.12	88000
112196	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.5561031803,-10.252889535,-39.7185923954,-53.6832770239,-73.5458873334,-74.4163037708,-90.0004251794,-94.085375155,-103.466764199,-107.976247194,-114.308038576,-122.485767419,-123.83248016,-120.502411152,-123.94945305,-125.304239,-132.664035147,-139.189235831,-136.685164357,-128.930376026	exponential	0.12	88000
115209	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.8657168674,-6.29583083726,-33.5323193679,-52.6255127005,-62.4886158074,-68.604463345,-78.0850019949,-97.3303484613,-103.130540756,-101.336128984,-113.261925925,-115.062211212,-120.588773397,-124.774114219,-122.692276806,-121.887775072,-120.491096619,-125.445342091,-133.076825313,-134.100972922	exponential	0.12	88000
115451	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.614429042,143.828574103,121.454162031,109.318643714,89.8181886902,85.1833860558,66.6260285386,66.3928311974,49.5750770908,48.6747990351,39.9202340079,35.3054056165,37.7695504754,28.5651507835,36.3862999672,30.2133511398,28.0045393618,24.8573527701,27.8359907249,22.4945533543	exponential	0.12	88000
114469	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.091190546,188.534297341,166.020668014,148.379550177,125.995592969,121.45015176,108.58157547,105.682654961,98.6191727626,93.241177979,80.1692289545,85.7386347173,73.3358477936,67.7708298349,71.9486238243,75.8232511153,66.7253297367,60.7297554483,65.7127003967,63.1836252069	exponential	0.12	88000
112403	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	166.262155004,138.772821848,122.005184714,102.493164401,84.7009993404,70.8258621214,58.3405858059,54.2118117305,44.5093444375,44.9731026794,41.6957826915,26.6449326693,30.5323385933,30.3409504988,25.03875404,20.3855997978,19.9367930259,21.4763679015,22.0636724164,13.4166746765	exponential	0.12	88000
114356	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	240.213490824,213.981964351,193.355938935,182.850501603,163.055421431,156.25531027,147.569819186,138.131232351,132.59329624,118.266295094,124.445112284,112.342215515,111.176623019,104.669626369,109.934974201,103.207143582,100.617142809,104.810059133,97.5719645536,99.0732540628	exponential	0.12	88000
114307	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	258.143801204,229.132797914,209.242479005,196.177794546,175.335722542,160.616960172,161.238433098,154.076117404,138.32994462,134.585202997,130.236467897,123.24345323,121.17749189,124.100147719,119.422731479,120.83321783,113.141949796,116.938776472,117.214507179,115.265595704	exponential	0.12	88000
112461	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	100.902155194,76.8994846499,61.8388764629,44.0498444823,30.4920396889,8.09520326708,-2.35075337596,-2.69524746664,-13.0507710831,-13.881808767,-28.8879903548,-21.2340293675,-34.8155678905,-32.516752486,-37.7175292189,-37.6920782164,-33.8321188782,-42.8984540479,-38.2040192768,-45.2974299959	exponential	0.12	88000
113055	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	243.49761807,218.756442776,195.057153874,179.904261347,170.530739985,155.720709551,143.791167127,132.610067881,122.589137651,127.818383327,114.970223097,107.652352302,111.185790964,113.112940846,99.5474369817,102.234870126,95.2456789159,103.191427321,92.5443647516,99.7790510849	exponential	0.12	88000
112962	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	112.725115721,95.9899723475,71.1840207546,56.6133774273,40.7264072486,22.1426010279,13.200987696,3.22041358108,2.38236625437,-7.91685051995,-4.64336516999,-17.5749967965,-19.1537571745,-24.2838661274,-17.1630928153,-25.0758425976,-28.8735683657,-31.601449145,-28.6572549859,-25.7663499446	exponential	0.12	88000
115118	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	58.1914037639,33.5311721948,9.8199252511,-14.1202937419,-20.8093301812,-43.9898600062,-53.0119696752,-60.3847148104,-69.3459902341,-65.4567625177,-76.3783578975,-74.4369265714,-75.3143105119,-89.4131725845,-92.225052988,-93.697404467,-95.465519272,-94.3931007898,-96.184605695,-93.489658642	exponential	0.12	88000
