ID	X	Y	func	noise	original_trajectory
274445	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-3.23861706785,-3.36103768192,-3.28198677143,-2.50224418905,-1.04280301574,0.967702411823,4.67900371049,8.39772702167,12.1270123205,15.0328215713,16.5851150689,15.5705463622,12.0759548412,8.40896366037,4.44192869901,1.67653649038,-0.614696642321,-2.78130810902,-3.04689908121,-4.00159730365	norm	0.04	264000
275479	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.4987834057,6.26602877197,6.5917453624,7.22000136741,8.45238353021,11.1399972441,14.5403597081,18.0724647502,22.0804108752,24.8568739606,26.1865486431,24.4607407316,21.4722273318,18.3232153044,13.8458070298,10.6205862074,8.32910539209,7.04822670204,6.56759879188,5.99469739733	norm	0.04	264000
275788	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.6209585814,14.1821138682,14.9279873336,16.1275743739,17.5339334606,19.5425991761,22.0762755319,26.0547383952,29.9153086397,33.2724679986,34.0671723739,33.5331462136,29.8460576018,26.8367571007,22.5222583782,19.764321654,17.0101898177,15.9805962875,14.5949697578,14.8661695252	norm	0.04	264000
273350	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	0.394939474027,1.11679627873,1.54689975749,2.20055647725,3.91043996942,6.25744517218,9.326560836,12.5252383197,16.7491042959,19.6765643359,20.3321229036,20.084376727,17.1111278083,13.0761587893,9.50940581044,5.36792096809,3.71658888234,1.95419634529,1.76089267698,1.24491168262	norm	0.04	264000
272108	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.388052436,-15.4616485902,-15.4178351185,-14.6913057984,-12.4058645986,-10.3179374864,-7.47895333082,-3.20540289126,0.0411765771273,2.87180527719,4.7993965595,3.53456320369,0.352946222041,-3.25109233092,-7.62387231908,-10.9920294975,-12.7626091715,-14.6028364045,-14.4814088247,-15.8054820137	norm	0.04	264000
273786	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-13.2769647605,-13.7653508894,-13.1812135539,-12.6736810968,-11.1961720689,-8.59229370846,-5.45192418456,-1.80780310629,1.99706967406,5.00770119378,5.92593531459,5.27496271473,2.22262796018,-1.1636120783,-5.54073825928,-8.70709729532,-11.204828694,-12.1361577375,-12.5361528311,-12.8577732879	norm	0.04	264000
272319	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-4.79417501774,-4.79839983558,-4.10217268508,-3.64342987344,-2.32991897007,-0.0287191125303,3.26083786736,7.15015823337,10.6798019525,13.8982676464,14.7198333829,14.0578654764,11.3630170482,7.18609473379,3.69363742554,0.223723974932,-1.90541918174,-3.5670532095,-4.26245377109,-4.464462721	norm	0.04	264000
274678	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-11.242700511,-10.5523423044,-9.84153237475,-9.3165378009,-8.3388724904,-5.77328440912,-2.47925908803,1.52153052891,4.9607669866,8.41835107233,9.56610127363,7.63783506199,5.33243182157,0.741968434095,-2.43061096193,-6.04948095067,-8.54951950559,-9.80825818641,-10.742631976,-10.8930125921	norm	0.04	264000
275620	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-11.1899531106,-11.2738695125,-11.3971196313,-10.6667409406,-8.54135495832,-6.61496316846,-3.14679454645,0.175051188527,3.80556479826,7.35439797243,8.12723236003,6.88528850275,4.50563388604,0.11292507821,-3.40230613855,-7.08259448944,-8.63152947772,-10.2034151429,-11.3234989793,-11.5659384108	norm	0.04	264000
272694	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-2.98644237114,-2.91708597616,-2.76019724625,-2.44559454899,-0.831107541279,1.66784255645,4.73289402511,8.9859571472,12.4612363341,15.2815757325,16.7414078644,15.4877571578,12.4146886283,9.08330504628,5.04049266983,1.45432841053,-0.837670682527,-1.7733711602,-2.47555688055,-3.03774545836	norm	0.04	264000
275726	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-12.3379760558,-12.6544936449,-12.1112488772,-11.3637837608,-10.1742673872,-8.15992627369,-4.89050978622,-1.16373967598,2.81518638892,5.67905792286,7.03597473661,5.98323287787,2.84334974619,-1.18462453707,-4.68033372261,-7.46284802237,-9.8917268416,-11.244065335,-12.2483466418,-12.4613813546	norm	0.04	264000
272746	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	15.7804020323,15.4053779059,16.0163582365,16.5406358536,18.1476796325,20.102651534,23.4465670659,26.8901755421,31.4236734504,34.3971054291,34.7950431934,34.1903619849,31.5169292183,27.5046771454,23.8010146272,19.8464482463,18.0244544323,16.5257371628,16.1931870665,15.3901884545	norm	0.04	264000
272721	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	12.5441435055,12.6682180396,12.2227318844,12.9682296419,14.5113901241,16.8516144794,20.0714437283,23.7717535663,28.0117275906,30.5612464291,31.9951617364,30.8030694279,28.0372829131,23.813444123,20.238608767,17.4111642523,14.7785861807,13.7939574001,12.3247689823,12.3816549922	norm	0.04	264000
275246	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-8.05345694315,-7.250872875,-7.45316093787,-7.0870109951,-5.68475319413,-2.52459890628,0.635945663106,3.73310439966,8.5265378516,11.2688833449,12.3699729273,10.6369460023,8.4763729765,4.17841517879,0.66607266265,-2.63276317966,-5.23815688799,-6.5395344309,-7.79532705568,-7.31337516335	norm	0.04	264000
