ID	X	Y	func	noise	original_trajectory
272767	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.74255467886,7.18220936028,6.93447636635,8.55965247008,9.76666825905,11.4971263021,15.2129673037,19.0134249477,22.3729256794,26.0797412471,26.9974778289,26.1490874776,22.3812610936,19.4507892727,15.1310494766,11.6172522466,9.82586053792,8.37428971253,6.96088223286,7.32769060389	norm	0.04	264000
274262	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	15.330691554,15.8887681225,15.9690646726,16.8740225015,18.3281744667,20.2036148401,23.9679515443,27.7793793717,31.1612983742,34.178854923,35.4045899797,34.0507465766,32.0477063573,27.9133284929,23.5901513429,20.424834153,18.3102408191,17.0557834977,16.5572047614,15.4436434515	norm	0.04	264000
361122	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	147.210679995,146.746715503,147.431122482,146.121966495,146.900458661,146.662631953,146.129239741,146.879235527,146.854411023,146.778739769,147.179784546,147.795361318,148.046118065,148.458534629,148.081167015,148.620887042,148.698773823,147.637786835,147.430578811,146.789267731	sin	0.04	352000
362421	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	151.409742783,150.582788,150.994315353,151.073980408,150.238432836,150.244101687,150.826774847,151.019519702,151.256293262,150.737300974,151.582563135,151.887644402,151.52237942,152.867536045,152.590205167,151.830872842,152.651472973,152.177583867,151.117750003,151.06297185	sin	0.04	352000
52148	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	3.03331096893,6.56784601072,10.7377710514,15.6399583136,20.0149918353,23.5352167564,27.0338881755,30.1051249041,34.8869167105,39.9091650151,42.7785976757,48.1075998777,52.087425501,54.3146268935,60.0401801216,62.1303059505,66.5258849835,71.2640608136,76.2651856901,79.8230736733	linear	0.04	44000
53702	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-19.7292596956,-15.8692234409,-12.3250337025,-6.56776396632,-3.60253925516,0.746775732006,4.81969864124,7.91745652949,12.818030848,16.6922740086,19.7106847185,25.2039247151,29.3236993637,33.5900337107,36.8984881617,40.9884671268,44.7772351117,48.9990388675,51.6795702622,55.61942817	linear	0.04	44000
318354	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.03031401,187.247512953,187.708642852,188.222215124,189.222841262,188.733306182,188.591696049,188.842156311,188.863193381,189.260807024,190.547118479,189.980493231,189.295482354,190.619567771,191.206867714,189.821890088,190.088947902,191.377006548,192.181598666,195.862243728	tan	0.04	308000
319411	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.292150662,210.768262525,211.515826733,211.59060696,212.899457161,213.786648007,212.614780729,213.527421461,212.645467796,213.580295621,213.848124939,213.646420699,212.984679237,214.40442624,213.531985595,213.864648298,215.502735314,215.103185599,217.71222536,219.662510126	tan	0.04	308000
143960	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	58.3990768478,108.824937747,132.807524223,147.643323593,158.874959352,165.231856815,169.533164174,174.552307635,179.432885763,182.125504523,184.305505358,186.653676133,186.010249659,187.282912949,189.508650379,191.663988681,192.801405205,192.625200764,192.910668813,192.523013744	hyperbolic	0.04	132000
143018	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-10.7524178046,40.1282650015,63.6623453483,77.7147959113,89.9731637187,96.071043164,101.459823126,103.889886417,109.221366437,110.313631178,114.500968195,114.747747888,118.61788916,120.051022108,120.858378255,120.772452956,120.602798487,122.369977498,123.886141893,123.284997009	hyperbolic	0.04	132000
187094	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	26.9500392286,23.597622191,21.7628064972,18.7898021467,16.839483807,14.9400928004,14.0136930888,13.4627351694,13.3969763415,13.2974340942,13.101886793,13.8364808795,15.4584309001,16.8209225174,18.7388009264,21.2745572308,24.2127655164,27.0938860502,31.2238997444,35.0713943978	poly	0.04	176000
186763	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	9.14500077613,6.5252945824,2.96836707078,1.15247092756,-1.46037590531,-2.84032742951,-4.18040038646,-4.92896633838,-4.87305522878,-4.5854285891,-4.39714646537,-4.27913195444,-2.51139790823,-0.923963623411,0.551373497966,3.78363241636,6.16102345635,9.18269574967,13.1861531443,16.5486165114	poly	0.04	176000
