ID	X	Y	func	noise	original_trajectory
304792	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	2.29445508382,0.119949885223,0.223831282508,1.95897556555,4.87255370512,8.45751305777,9.381084894,15.3968930332,18.9316186689,19.3767634381,19.368366213,21.6434166907,19.6701554248,11.3051831114,8.62281811272,4.20748175099,5.19736052047,4.11323170537,3.19031896009,1.63299216834	norm	0.2	264000
304541	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	18.4868654743,17.3957331458,17.4698749918,17.5441733862,20.3644171387,24.3605377874,24.6732688633,29.306981209,32.1326452501,35.5716637221,38.4934125502,34.5447107602,32.7629732069,28.7084970418,28.4017427926,21.7535017674,19.9775466204,20.4322832323,20.1639750851,20.0421165938	norm	0.2	264000
394741	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	142.157648449,149.165237094,148.632033926,148.572461886,141.154760636,142.174885638,145.138110389,148.749656561,142.008943043,143.071444852,148.129076157,146.902715474,146.84604422,148.350012921,148.580811742,145.794048822,149.248273789,143.062146712,149.077179717,142.486220265	sin	0.2	352000
393019	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	165.592625205,163.153734537,160.312765047,165.297644411,160.411364706,163.869272228,162.16371144,163.53856053,161.058320706,163.396474946,162.228988161,162.466150783,163.928834865,167.15808965,164.895509531,166.193053715,162.804665183,161.185162584,165.390121953,161.49111105	sin	0.2	352000
84780	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.3510556117,81.1990552611,82.4673187979,91.3243775552,90.1473393264,92.4442837015,95.3157520765,98.5966178329,108.400940808,106.35427684,117.769663246,114.090923008,124.468708961,129.640276654,131.434708696,134.739253326,143.419934874,143.871449976,142.720955884,149.007759285	linear	0.2	44000
86244	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-48.7166216589,-44.3199188659,-38.4002604684,-33.627648213,-30.3172636489,-22.5248590377,-21.0429434749,-17.5735918867,-17.4714788449,-15.1709793987,-7.23392764702,-4.61184230113,5.34014816548,7.68355176475,15.19918125,8.30605622225,20.0249121046,21.8556910434,26.8871140266,25.2235448543	linear	0.2	44000
436243	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-145.204813476,-130.231572028,-155.362451858,-149.314181431,-137.414924538,-125.695763683,-142.062080929,-117.703731104,-101.120123845,-87.6685338815,-81.5513022227,-45.9201133233,-39.4262984529,4.32446325396,5.26313846147,-5.48843334383,16.7200803489,8.84379809336,9.52489092062,-1.93888206707	scurve	0.2	396000
437496	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	17.659393342,35.7811227375,38.6190408718,39.3992397877,46.4184236807,44.5617542504,36.4349559655,62.9597403611,74.7755895209,93.3477088854,120.183213579,144.98352607,158.017505413,166.139298795,179.569059964,175.474547786,192.782320667,190.916970485,178.888237992,195.277239562	scurve	0.2	396000
172274	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	61.0465823146,103.928227118,129.668502168,158.807389504,154.380998129,168.802918421,180.941711553,171.758086498,189.148897405,185.695750931,182.363776271,182.668026734,195.008714753,198.142959209,200.198443058,201.763382611,193.859054452,192.435964478,198.476502593,192.697923101	hyperbolic	0.2	132000
175694	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	37.3387933973,75.0782766157,114.821439988,117.054663096,127.757223564,144.027356598,152.327543617,156.933626331,146.898228205,157.810654275,154.11448625,156.282374715,166.339838121,158.760930733,156.183193743,172.10741289,163.592994616,171.458953569,166.372645864,164.568695417	hyperbolic	0.2	132000
217201	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	7.46680117855,1.65193667431,0.0642168015482,-2.93749719117,-6.58397595247,-5.53605972244,-6.74537873589,-5.77716863567,-8.20472613022,-6.88890761612,-10.0533254591,-5.98413213693,-8.08929402791,-6.16615006131,-4.21047064697,1.19082012406,1.23874572195,5.34129245932,11.5776234866,12.2095321594	poly	0.2	176000
217798	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	10.285928948,7.3478906986,3.60716961766,3.20311919266,0.278535050607,-1.23941593348,-2.30833306639,-2.39656353713,-3.90046530329,-5.03712959256,-5.21960849109,-0.96450379084,-2.71518897778,0.758699186889,5.05279993201,5.60108181673,7.45561689141,9.18441693554,13.0216957118,19.4575596978	poly	0.2	176000
